userId,profile
AY8Y7IIPNA3QA,This person likes shopping genres such as Tools and Home Improvement.
A1DJB2UWNGVT2Y,This person likes shopping genres such as Appliances.
A1PCWBP1S03CBE,This person likes shopping genres such as Tools and Home Improvement.
AHMTP4CR8YOAS,"This person likes shopping genres such as Tools and Home Improvement, Appliances."
ASHJS9CC9TKLX,"This person likes shopping genres such as Tools and Home Improvement, Appliances, Home and Kitchen, Kitchen and Dining."
A16O51QTKV0RSW,This person likes shopping genres such as Tools and Home Improvement.
A192QCAO4JDIJK,"This person likes shopping genres such as Tools and Home Improvement, Appliances."
A3MY06ZBGWTFGF,This person likes shopping genres such as Tools and Home Improvement.
A1D8XX92IEO4J9,This person likes shopping genres such as Appliances.
A1RFPIZZ8R1UL1,This person likes shopping genres such as Appliances.
A3IKJ2KCRSE8IG,This person likes shopping genres such as Tools and Home Improvement.
ATZFZONPLXQJN,This person likes shopping genres such as Tools and Home Improvement.
AR3OHHHW01A8E,This person likes shopping genres such as Appliances.
A14LF3YC5ZNZJX,This person likes shopping genres such as Tools and Home Improvement.
A85CBFEVZ01M2,This person likes shopping genres such as Tools and Home Improvement.
ADOG9BFO5ASA0,This person likes shopping genres such as Tools and Home Improvement.
A2P5BW17M2SBYX,This person likes shopping genres such as Tools and Home Improvement.
A1LPKMJATSPW0W,"This person likes shopping genres such as Industrial and Scientific, Appliances."
A53M2T97W79KG,This person likes shopping genres such as Tools and Home Improvement.
A2SSKCX604EQTG,This person likes shopping genres such as Tools and Home Improvement.
A3Q9T1LM695M81,"This person likes shopping genres such as Tools and Home Improvement, Appliances."
A31WCIXS3ADDHI,This person likes shopping genres such as Tools and Home Improvement.
A2EVSS0F182CCL,"This person likes shopping genres such as Tools and Home Improvement, Appliances."
A1ODRTB0JZ9AER,This person likes shopping genres such as Tools and Home Improvement.
A34A1UP40713F8,This person likes shopping genres such as Appliances.
A26FGDZRC7DNZA,This person likes shopping genres such as Kitchen andamp; Dining.
A3LZIFZKJBP7GK,This person likes shopping genres such as Home and Kitchen.
A75OYUK0QUI59,This person likes shopping genres such as Tools and Home Improvement.
A1YSCQBOH14RON,This person likes shopping genres such as Tools and Home Improvement.
A3FAES0FPQNQYK,This person likes shopping genres such as Tools and Home Improvement.
A1FGEAEGWVYJ2I,This person likes shopping genres such as Tools and Home Improvement.
A2MT8TG1J29G9T,This person likes shopping genres such as Tools and Home Improvement.
ARC2MBWY8RKHH,This person likes shopping genres such as Appliances.
ACTSN400XQJ90,This person likes shopping genres such as Appliances.
A9K0W1K9NTDQU,This person likes shopping genres such as Appliances.
A3V0D97QKXDN5R,This person likes shopping genres such as Tools and Home Improvement.
AQBARA01YG3F4,This person likes shopping genres such as Tools and Home Improvement.
ADEOYOY6I8GW3,"This person likes shopping genres such as Tools and Home Improvement, Appliances."
A2AP059CCLBWPU,"This person likes shopping genres such as Tools and Home Improvement, Appliances."
A23ER8LNT5KXVN,This person likes shopping genres such as Tools and Home Improvement.
A2AUZPX2TJ20YO,This person likes shopping genres such as Tools and Home Improvement.
A1DTKTRQGEUSZN,"This person likes shopping genres such as Tools and Home Improvement, Appliances."
A2M8J6B01Z2NIL,This person likes shopping genres such as Tools and Home Improvement.
A7QQUU3YA43AL,This person likes shopping genres such as Tools and Home Improvement.
A1VPEWW3D9T9SF,This person likes shopping genres such as Appliances.
AO14HUFWN96CT,This person likes shopping genres such as Appliances.
A3EUVDLAD4NNLN,"This person likes shopping genres such as Tools and Home Improvement, Appliances."
ARTMDS29M8EKY,"This person likes shopping genres such as Tools and Home Improvement, Appliances."
A12Y974TRRMR95,This person likes shopping genres such as Appliances.
AUFW0LEC5N4CS,This person likes shopping genres such as Tools and Home Improvement.
AO3Q1S2BGS4BV,This person likes shopping genres such as Tools and Home Improvement.
A2I3BWIY35O2SX,This person likes shopping genres such as Tools and Home Improvement.
AXEJ19RQS1T2N,This person likes shopping genres such as Tools and Home Improvement.
A2CSBF6OEGN3IZ,This person likes shopping genres such as Tools and Home Improvement.
AF7REHI1Y5DQD,This person likes shopping genres such as Tools and Home Improvement.
A1R6MO79RRJCZ4,This person likes shopping genres such as Tools and Home Improvement.
A243KU68DROO1Y,"This person likes shopping genres such as Tools and Home Improvement, Appliances."
A1WAGJPSCX33CP,"This person likes shopping genres such as Tools and Home Improvement, Tools andamp; Home Improvement, Appliances."
AYTMJP1FKT4LQ,This person likes shopping genres such as Tools and Home Improvement.
AYJ6PGYMBDAGJ,This person likes shopping genres such as Appliances.
A1IHD1381I7LB8,This person likes shopping genres such as Tools and Home Improvement.
A3CNFU4DVC5981,This person likes shopping genres such as Tools and Home Improvement.
A1NUD9STOU9MB0,This person likes shopping genres such as Tools and Home Improvement.
