itemId,title,category,description,option1,option2,option3
8867323385,"Moleskine Art Plus Soft Cover Sketch Album, Plain, Square (7.5&quot; x 7.5&quot;) Black - Sketch Pad for Drawing, Watercolor Painting, Sketchbook for Teens, Artists, Students",Office_Products,"['The Moleskine Art Plus Square Sketch Album has a cardboard cover and sketch-grade paper. The album will house your sketches and designs, combining the fine elegance of a Moleskine cahier with the functionality of an album. Features: cardboard black soft cover with visible stitching on the spine; plain pages, all detachable; ivory-colored 120 gsm/81 lb. sketch-grade paper; flap with space for collecting loose notes.<br><br>Specifications: <br>- Layout: Plain Paper<br>- Dimensions: 7-1/2"" x 7-1/2""<br>- Soft Cover with elastic closure.<br>- Color: Black<br>- Pages: 88<br>- Internal Pocket<br>- Paper Weight: 120 gsm/81 lb.; FSC Certified Paper; Acid-Free (pH Neutral)', 'Art Collection sketchbooks and albums are inviting blank spaces to fill with sketches and drawings. Portable comfort zone: be creative on the move, wherever you go. Keep your artwork private or share with the world. <br>A range of professional artistic tools to capture the imagination and enable creativity <br>- Hard Cover Notebook <br>- Rounded corners<br>- Elastic closure <br>- Moleskine ivory paper<br>- Matching ribbon bookmark <br>- Paper: 120 gsm, acid-free, ivory, plain<br>- Incase of Loss printed on the flyleaf<br>- Expandable inner pocket in the back<br>- Reusable paperband B-SIDE featuring additional printed tools<br>- Lies flat, opens at 180 <br>- The history of Moleskine is inside<br><br>- Moleskine srl. creates and sells FSC-certified products']","['A square size Sketch Album from the Moleskine Art collection', 'This black soft cover book contains 88 pages of sketch paper', 'The 81lb ivory-colored paper is ideal for pencil, pen, charcoal or marker', 'Sketch album has detachable pages and a storage flap', 'Square size Sketch Album measures 7.25 x 7.25 inches']",Moleskine,7784
B0000302YN,"Dremel 290-01 0.2 Amp 7,200 Stroke Per Minute Engraver includes Letter and Number Template",Tools_and_Home_Improvement,"['', '<b>Features and Benefits</b>']","['N/A', 'Imported', 'Engrave, decorate, or personalize a wide variety of materials', 'This handy tool includes a letter and number template for infinite artistic possibilities', 'It also features a soft-grip body, replaceable carbide engraving point, and variable stroke control', 'Ideal for decorative engraving or adding security by personalizing your valuables', 'Engraves on metal, glass, wood, plastic, and ceramic', '5-position calibrated stroke adjustment dial regulates engraving depth', 'Includes replaceable carbide steel engraving point', 'Letter/Number template included']",Dremel,2348
B00004Z2UB,Xacto X5282 Basic Knife Set,Tools_and_Home_Improvement,"[""The X-ACTO precision knife is the original cutting tool for any application requiring a precise, accurate cut. This cutting and trimming tool has been used for years by graphics artists, designers, hobbyists and others for making careful cuts and trims consistently and with confidence. Now you can purchase the original X-ACTO knife (numbers 1, 2, and 5) along with a full set of X-ACTO precision knife blades, all in one convenient set. The original X-ACTO knife has been praised for more than 50 years as the standard for precision. Attaining this level of precision, accuracy and reliability starts with supreme quality craftsmanship. The X-ACTO precision knives are built with carbon and steel sharpened blades for a reliable cut every time. Add a full set of X-ACTO precision knife blades, you will have a knife to make the precision cut you need - every material, every time. Set contains: No. 1 knife for precision cutting and trimming of lightweight materials, No. 2 knife for precision and trimming of medium to heavy weight materials, No. 5 knife for precision cutting of heavy weight materials; and numbers 2, 7, 10, 11, 16, 17, 18, 19, 22, and 24 precision knife blades. For more than 65 years, Elmer's Products, Inc. has been providing creative adhesive solutions that support success and turn ideas into reality."", 'The X5282 is a basic knife set for lightweight precision cutting. Includes: No. 1 knife w/No. 11 blade; No. 2 knife w/No. 2 blade; No 5 knife w/No. 19 blade; 1 each No. 7, 10, 16, 17, 18, 19, 22, and 24 blades; 2 each No. 11 blades. Will cut wood, cardboard, paper, plastic, cloth and foam board. Comes with a wooden chest.']","['Xacto basic knife set for lightweight precision cutting', 'Ideal for cutting wood, cardboard, paper, plastic, cloth and foam board', 'Craft', 'Housed in a handsome wooden chest, Made in China', 'This is an aftermarket of generic part', 'Xacto basic knife set for lightweight precision cutting', 'Ideal for cutting wood, cardboard, paper, plastic, cloth and foam board', 'Comes with a variety of blade types including straight edge, general purpose, fine point, and scoring blades', 'Housed in a handsome wooden chest, Made in China', '6.5-by-5.5-by-1.5-inches ; 10.1-ounces']",X-Acto,1219
B00005NWQR,"SINGER | Finishing Touch 14SH6540 Differential-Feed Serger Sewing Machine including 4-3 Stitch Configuration, Color-Coded Lay-in Threading System",Arts_Crafts_and_Sewing,"['With this 3/4 thread machine the stitches are made with 3 or 4 cones of thread. The needles are SINGER type #2022, which are essentially sewing machine needles, but a little more heavy duty.', 'Equipped with a differential feed to permit gathering fabrics for ruffles and sewing knits without stretching them, the two-needle SINGER 14SH654 Finishing Touch serger sews six stitches with three or four threads and allows for quick, easy stitching, trimming and overcasting. It provides convenience, speed and reliability.', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/sota/6ae40593-405e-4577-bfb5-b9688f787771._SL220__.jpg"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/sota/d4057c34-29ca-47c2-954f-190a23df9e21._SL220__.jpg"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/sota/b36e0438-d506-4d32-b1da-d64572f83df0._SL220__.jpg"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/sota/fb5ac007-1c60-4684-aad9-acc18dcffdeb._SL220__.jpg"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/sota/824c027f-c885-46e7-b05a-66eb12449b31._SL220__.jpg"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/sota/a8291342-e2ad-46f1-bfb2-2510737925da._SL220__.jpg"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/sota/ee985319-3b83-491f-bb4f-13676a9de77c._SL220__.jpg"">', '<img alt="""" src=""https://m.media-amazon.com/images/S/aplus-media/sota/3a201540-2063-4c1d-bcee-f33fc5dc88cb._SL220__.jpg"">']","['SINGER SEWING MACHINE: The SINGER Finishing Touch 14SH6540 Serger machine has 4-3 thread capability providing a wide selection of stitch options for all types of projects with professional results every time.', 'SEWING SPEED: The SINGER Finishing Touch 14SH6540 serger has a maximum sewing speed of 1,300 stitches-per-minute, so projects can be sewn quickly.', 'BEST SEWING MACHINE: The SINGER Finishing Touch 14SH6540 serger has a wide range of stitch options for sewing seams, hems, decorative edges, rolled hems, cover hems, and more.', 'SEWING MACHINE ACCESSORIES: A variety of accessories are included with all-Purpose Foot, Needle Set, Tweezers, Spreader, Screwdrivers, Clean Pocket, Spare Cutting Knife, Spool Caps, Anti-Spill Thread Net, Oiler, Brush, Cone Adapters, Soft-Sided Dust Cover, CD Workbook Included, Instruction Manual with included Stitch Guide, Foot Control, Power Cord.', 'WARRANTY: The SINGER Finishing Touch 14SH6540 Serger has 25 Year Limited Warranty.', 'This sewing machine is warranted for use in the US and Canada at 110 volts only.', '<span class=""a-size-base a-color-secondary"">\n                Easy Threading Diagram\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Built-In Rolled Hem\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Extra-High Presser Foot Lifter\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Moveable Upper Knife\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Free Arm Sewing\n            </span>']",SINGER,6757
B00006B8FS,"Avery T-Shirt Transfers for Inkjet Printers, For Light Fabric, 8.5&quot; x 11&quot;, 6 Transfers (3271), Clear",Office_Products,"['Avery T-shirt Transfers for Inkjet Printers, 8.5 x 11 Inches, Clear, 6 Sheets (03271)']","['Quality results for a professional, fashionable look', 'Use to personalize your T-shirts, hats, aprons and even bags', 'Designed for use on white/light-colored, 100% cotton/poly, cotton blend fabrics', 'Color shield formula means colors stay bright, even after being washed', 'For more information go to avery.com/transfers']",Avery,1558
B00006IBPK,"Crayola Classpack Assortment, 800 Regular Size Crayons, 16 Different Colors (50 Each), Great for Classroom, Educational, All-Purpose Art Tools",Toys_and_Games,"['Teachers will have their entire class coloring with this supersized assortment of 800 Crayola Crayons in one bulk class pack. Stock up on these teaching supplies that are boxed and conveniently organized by the 16 assorted colors (with 50 crayons of each color!). Kids and students alike can use these bright crayons to color and create.', 'Crayola 800ct Classpack Crayons include a color palette of educator preferred color selection and provides hours of creative coloring fun. Contains 16 different classic colors which provide hours of creative coloring fun.']","['Crayola Classpack Crayons features 800 Crayola crayons in 16 assorted colors.', 'This art set has 50 crayons in each color, including yellow, blue violet, blue, blue green, carnation pink, red violet, green, brown, yellow orange, red orange, yellow green, red, black, orange, white, and violet.', 'Crayons are separated into individual sections by color in the organized storage box.', 'Crayola crayons in bulk are great for teachers as classroom supplies.', 'Safe and nontoxic, ages 5 & up.', '<span class=""a-size-base a-color-secondary"">\n                There are 50 crayons in each of the following 16 colours: Yellow, Blue Violet, Blue, Blue Green, Carnation Pink, Red Violet, Green, Brown, Yellow Orange, Red Orange, Yellow Green, Red, Black, Orange, White and Violet.\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                This bulk Crayon Classpack includes enough supplies for the entire class! A total of 800 crayons are included in this set.\n            </span>']",Crayola,5248
B00006IC2S,"VELCRO Brand All-Purpose Strap with Handle | Load rated for 75 lbs | Cinches tight for Secure Hold | Ideal for Carrying Bulky Items | Black, 6ft x 2in","Office_Products, Office_Supplies, Tape_Adhesives_and_Fasteners, Interlocking_Tape_and_Mounting_Products, Interlocking_Tape",['Ideal for carrying bulky items! Heavy duty fully adjustable strap cinches tight and adheres to itself for a secure hold. Integrated handle makes carrying larger items a breeze. This 4x8x2 inch inch package contains one 6 foot x 2 inch all purpose Velcro strap With handle. Load rated for 75lbs. Imported.'],"['NOTICE: Amazon is a trusted seller of Velcro Brand products. Warranty will not be valid on any items purchased through third-party sellers.', 'Super strong and adjustable', 'Great for power cords, camping, and more', 'Camouflage printed', 'VELCRO Brand offers a variety of straps to suit your needs']",VELCRO Brand,32
B00006IC2T,"VELCRO Brand - Industrial Strength | Indoor &amp; Outdoor Use | Superior Holding Power on Smooth Surfaces | Size 4ft x 2in | Tape, Black - Pack of 1",Health_and_Household,"['', 'VELCRO Brand Industrial Strength tapes, coins, and strips offer significantly more holding power than everyday VELCRO Brand Sticky Back fasteners. They feature a molded plastic hook and a heavy duty, water-resistant adhesive for superior holding power on smooth surfaces, including plastic. Designed for indoor and outdoor use.', '&nbsp;', 'VELCRO Brand fasteners with heavy duty adhesive are recommended for indoor or outdoor use on most smooth surfaces, including plastic.', 'Instructions:<br />1. Clean and dry surface before application<br />2. Peel tape from fastener and press firmly into place<br />3. Adhesive reaches maximum strength after 24 hours', 'Note: Recommended for temperatures between 0&deg;F to 150&deg;F. Not recommended for fabrics, dashboards, flexible vinyl or underwater use. Continued exposure to full sunlight can damage fastener. May not adhere well to certain types of brick &ndash; testing is recommended.']",[],VELCRO Brand,7880
B00006IFFX,"Uni-Paint PX-20 Oil-Based Paint Marker, Medium Point, Assorted Colors, 6-Count",Office_Products,"['Unleash your inner artist with uni-paint permanent markers. Valve-action marker writes on virtually any surface: glass, metal, wood, rubber, stone, plastic, paper, vinyl, leather, canvas and more. Quick drying ink marks opaque and glossy on light and dark surfaces. The archival-quality, acid-free, oil-paint ink is fade-, water, and abrasion-resistant, ideal for projects that need to last. Ink is permanent and certified AP-non-toxic. Includes black, red, green, blue, yellow, and white.']","['Valve-action marker writes on virtually any surface: glass, metal, wood, rubber, stone, plastic, paper, vinyl, leather, canvas and more.', 'Quick drying ink marks opaque and glossy on light and dark surfaces.', 'The archival-quality, acid-free, oil-paint ink is fade-, water, and abrasion-resistant, ideal for projects that need to last.', 'Ink is permanent and certified AP-non-toxic.']",Rolodex,8041
B00006IFN9,"Fiskars 12-94518697WJ The Original Orange Handled Scissors, 8 Inch",Arts_Crafts_and_Sewing,"['Known worldwide for its quality and precision, Fiskars trusted Orange-Handled Scissors has sold over 1 billion since 1967. Introduced to the world as a quality fabric scissors, the Original Orange-Handled Scissors redefined the standard for cutting performance. High-grade, stainless steel blades feature a precision-ground edge that stays sharp longer and cuts all the way to the tip  essential for anyone who cuts fabric. A lightweight design and ergonomically sculpted handle provide unmatched cutting control, and a bent handle design keeps materials flat for precise cuts every time.', 'Introduced to the world as a quality fabric scissors, the Original Orange-handled Scissors redefined the standard for cutting performance. High-grade, stainless-steel blades feature a precision-ground edge that stays sharp longer and cuts all the way to the tip  essential for anyone who cuts fabric. A lightweight design and ergonomically sculpted handle provide unmatched cutting control, and a bent handle design keeps materials flat for precise cuts every time.']","['Ideal for cutting a wide variety of materials including denim, silk and multiple layers of fabric', 'High-grade, precision-ground, stainless steel blades offer a lasting sharp edge that cuts all the way to the tip', 'Handle is sculpted to fit your hand, maximizing control and comfort, while the bent-handle design keeps material flat for mistake-free cutting', 'Length: 8 Inch', 'Full lifetime warranty']",Fiskars,154
