userId,profile
A2G398EFSZ542W,This person likes shopping genres such as Arts Crafts and Sewing.
A15U43N6OEKMY6,"This person likes shopping genres such as Knitting Kits, Knitting and Crochet, Arts Crafts and Sewing, Toys and Games."
A1IBOU8LJT1H47,This person likes shopping genres such as Arts Crafts and Sewing.
A141AQG2MQX1YP,"This person likes shopping genres such as Charms, Arts Crafts and Sewing, Beading and Jewelry Making."
ACICUJWBWZHCI,"This person likes shopping genres such as Arts Crafts and Sewing, Toys and Games, Kitchen and Dining."
A2R63V1U5F0EZD,"This person likes shopping genres such as Arts Crafts and Sewing, Beading and Jewelry Making, Beading Cords and Threads, Office Products, Beading Supplies."
ATUQ652LN6PER,This person likes shopping genres such as Arts Crafts and Sewing.
A37HABHW8BN1BU,This person likes shopping genres such as Arts Crafts and Sewing.
A2IWIHB3I8CJQW,This person likes shopping genres such as Arts Crafts and Sewing.
A13F3STKSYUAXK,This person likes shopping genres such as Arts Crafts and Sewing.
A36KHGA778VNPI,"This person likes shopping genres such as Home and Kitchen, Arts Crafts and Sewing."
A205GJP561H24P,"This person likes shopping genres such as Home and Kitchen, Office Products, Arts Crafts and Sewing."
A1O5QJWZVR0KCZ,This person likes shopping genres such as Arts Crafts and Sewing.
A2WINB4E15M7XS,This person likes shopping genres such as Arts Crafts and Sewing.
A2SSC1Q92QU8GN,This person likes shopping genres such as Arts Crafts and Sewing.
A10HHM1V8KAFZE,This person likes shopping genres such as Arts Crafts and Sewing.
A31S84PB9BB6CS,"This person likes shopping genres such as Home and Kitchen, Arts Crafts and Sewing."
A1XN2ORFU4W0SY,This person likes shopping genres such as Arts Crafts and Sewing.
A7SVCCHDG9YP7,This person likes shopping genres such as Arts Crafts and Sewing.
A2D0G8M0XY6KU9,This person likes shopping genres such as Arts Crafts and Sewing.
A1WY4FI3NCWJFR,This person likes shopping genres such as Arts Crafts and Sewing.
A1SIAT35JO8Q5H,This person likes shopping genres such as Arts Crafts and Sewing.
A38STL750JQ45W,"This person likes shopping genres such as Stamps and Ink Pads, Arts Crafts and Sewing, Stamps, Scrapbooking, Cling Stamps, Office Products."
A1N8KLT7H2BTJ7,This person likes shopping genres such as Home and Kitchen.
A2GYPI82BWZCOS,"This person likes shopping genres such as Tools and Home Improvement, Arts Crafts and Sewing."
A3LEV5QBWQAG8N,This person likes shopping genres such as Arts Crafts and Sewing.
AP3GA2D3K60T8,This person likes shopping genres such as Arts Crafts and Sewing.
A2MGW068OEQDTP,This person likes shopping genres such as Arts Crafts and Sewing.
A1E23YTGHD2RD6,"This person likes shopping genres such as Arts Crafts and Sewing, Kitchen and Dining."
A1508AVKVR035Q,"This person likes shopping genres such as Fabric Painting and Dyeing, Arts Crafts and Sewing, Dyes."
A2YZL8F4HL8CXR,"This person likes shopping genres such as Tools and Home Improvement, Arts Crafts and Sewing, Toys and Games."
A7P4M35WAQDDB,"This person likes shopping genres such as Tools and Home Improvement, Arts Crafts and Sewing."
AW772664S074M,This person likes shopping genres such as Arts Crafts and Sewing.
A24GRRP1WEQ3IP,"This person likes shopping genres such as Arts Crafts and Sewing, Toys and Games."
A1W8G5Y12WZVNJ,"This person likes shopping genres such as Home and Kitchen, Arts Crafts and Sewing."
A1V8RKLVJHJH3,This person likes shopping genres such as Arts Crafts and Sewing.
A365PBEOWM7EI7,"This person likes shopping genres such as Office Products, Arts Crafts and Sewing, Toys and Games."
A2EM1S3FFXDSKZ,"This person likes shopping genres such as Office Products, Arts Crafts and Sewing."
A3R0R6LP0JXZLM,This person likes shopping genres such as Arts Crafts and Sewing.
AKD5WD08AWHVM,This person likes shopping genres such as Arts Crafts and Sewing.
A3OSAQFIF2T1S6,This person likes shopping genres such as Arts Crafts and Sewing.
A2PUSUUCGGW8RT,"This person likes shopping genres such as Home and Kitchen, Arts Crafts and Sewing."
AWSK8ZGLNA6GP,This person likes shopping genres such as Arts Crafts and Sewing.
A111YF0NJYRIO0,This person likes shopping genres such as Home and Kitchen.
A1QO063FBC1QMD,This person likes shopping genres such as Arts Crafts and Sewing.
A1MISN5HC28N2R,"This person likes shopping genres such as Knitting and Crochet, Crochet Kits, Arts Crafts and Sewing."
A3PU3WAVD4P2X1,This person likes shopping genres such as Arts Crafts and Sewing.
A3R2D1WZ04F9BO,"This person likes shopping genres such as Office Products, Arts Crafts and Sewing."
A11H661S979C3W,This person likes shopping genres such as Arts Crafts and Sewing.
A34TVUVJU9JY0X,"This person likes shopping genres such as Tools and Home Improvement, Arts Crafts and Sewing."
A1BRJE4E7X9SX6,This person likes shopping genres such as Arts Crafts and Sewing.
A81IT7NIXQ2C7,"This person likes shopping genres such as Office Products, Arts Crafts and Sewing."
AQO5YIR606S61,"This person likes shopping genres such as Bobbins, Sewing Notions and Supplies, Arts Crafts and Sewing, Sewing."
A3JY541QOSR6TE,"This person likes shopping genres such as Arts Crafts and Sewing, Toys and Games."
ADDOTT8YOT0NS,This person likes shopping genres such as Arts Crafts and Sewing.
A1A8EO4B4DDFSE,"This person likes shopping genres such as Home and Kitchen, Arts Crafts and Sewing."
A26KJHBI5IADZJ,This person likes shopping genres such as Arts Crafts and Sewing.
A277F8WI4ICNX9,"This person likes shopping genres such as Tools and Home Improvement, Arts Crafts and Sewing."
