userId,profile
A1F1A0QQP2XVH5,This person likes shopping genres such as Automotive.
A2MKG8P7L2PPPB,This person likes shopping genres such as Automotive.
A30X4BLUOH44CI,"This person likes shopping genres such as Automotive, Tools and Home Improvement."
A3SPU6CO7733DV,This person likes shopping genres such as Automotive.
A2VHNK9KG4FN9F,"This person likes shopping genres such as Automotive, Interior Accessories, Electrical Appliances."
A2T3LDIFKGES8R,"This person likes shopping genres such as Automotive, Tools and Home Improvement."
A32EGC11L6HP40,This person likes shopping genres such as Automotive.
A2923UGG72KRCY,This person likes shopping genres such as Automotive.
A1248QW7I0WUDP,This person likes shopping genres such as Automotive.
ACONL8D537A59,This person likes shopping genres such as Automotive.
A3RN5W72C5CEFN,This person likes shopping genres such as Automotive.
A1TZO47ULNU0KC,This person likes shopping genres such as Automotive.
A16891I4E68KES,"This person likes shopping genres such as Alarm Accessories, Interior Accessories, Anti-Theft, Remote Starters, Automotive."
A217HERCQUYQYU,This person likes shopping genres such as Automotive.
A2YGVT3IQVRLBU,This person likes shopping genres such as Automotive.
ANBTTR2QT4C7,"This person likes shopping genres such as Automotive, Tools and Equipment, Jump Starters Battery Chargers and Portable Power."
A3N345YKO56BO6,This person likes shopping genres such as Automotive.
ANOI41S8Z4XS7,This person likes shopping genres such as Automotive.
AI64B0PETFIZO,This person likes shopping genres such as Automotive.
A3PNNCZRLMXJXA,"This person likes shopping genres such as Automotive, Tools andamp; Home Improvement, Patio Lawn and Garden."
A3LKHES6B721Q8,This person likes shopping genres such as Automotive.
AOITH6V4PFYQJ,This person likes shopping genres such as Automotive.
A1I4KXAC9WP3EF,This person likes shopping genres such as Automotive.
A1A4Y89JVUJPLI,"This person likes shopping genres such as Automotive, Tools and Home Improvement."
A7PL0B5XXP58R,"This person likes shopping genres such as Tools and Home Improvement, Automotive."
AUDLAN1D4AD97,"This person likes shopping genres such as Automotive, Electronics."
A39KA7AQMYVCPY,This person likes shopping genres such as Automotive.
A3NWP4CG5S2PDE,This person likes shopping genres such as Automotive.
A30R6GXTEWBHJ6,"This person likes shopping genres such as Automotive, Tools and Home Improvement."
A1DXS4XEIW98ZR,This person likes shopping genres such as Automotive.
A22QKNGN59XYZG,This person likes shopping genres such as Automotive.
A1ZTR0FR5AW9B4,This person likes shopping genres such as Automotive.
A2XXRN2ANQDBKO,This person likes shopping genres such as Automotive.
AP37T7UPLQGWU,This person likes shopping genres such as Automotive.
A3V2PI7YM6U7YI,"This person likes shopping genres such as Automotive, Tools andamp; Home Improvement, Tools and Home Improvement."
A16JC1YESGEZJ0,"This person likes shopping genres such as Automotive, Tools and Home Improvement."
A2JJDQ3B7O6Z1Z,This person likes shopping genres such as Automotive.
ATIRDWCREPOPC,"This person likes shopping genres such as Automotive, Batteries and Accessories, Batteries, Replacement Parts."
A202TMVCRNZ56M,This person likes shopping genres such as Automotive.
A3ISZ8KLXYYI7P,This person likes shopping genres such as Automotive.
A18XQSJ1UNBYKL,This person likes shopping genres such as Automotive.
A13288YJJOJC0Q,"This person likes shopping genres such as Automotive, Interior Accessories, Anti-Theft, Alarm Accessories."
A2O8D5AMI8B1GZ,This person likes shopping genres such as Automotive.
AK5M23CHZUF6U,"This person likes shopping genres such as Automotive, Patio Lawn and Garden."
A3GQGZC5GLSB9N,This person likes shopping genres such as Automotive.
A39VAOOYHW7AHP,This person likes shopping genres such as Automotive.
A1R0QNHP1CPJTY,This person likes shopping genres such as Automotive.
AEYDW8F5OPI9R,"This person likes shopping genres such as Automotive, Tools and Home Improvement, Electronics."
A3NFYX16H2N4M8,This person likes shopping genres such as Automotive.
A1PNFIY4JFQ7C3,"This person likes shopping genres such as Automotive, Interior Accessories, Anti-Theft, Keyless Entry."
A1L6J70351U0DR,This person likes shopping genres such as Automotive.
A273XKEOAXHEYF,"This person likes shopping genres such as Automotive, Electronics."
A3OD7IIQBNTB0D,This person likes shopping genres such as Automotive.
AF3D31QX07BWW,"This person likes shopping genres such as Automotive, Interior Accessories, Anti-Theft, Remote Starters."
A1X1CEGHTHMBL1,This person likes shopping genres such as Automotive.
A3GLNWAAK2283K,This person likes shopping genres such as Automotive.
A3PM2KL1PNWAZR,This person likes shopping genres such as Automotive.
AT9WSQYW1REJ6,This person likes shopping genres such as Automotive.
