userId,itemId,rating
A2W298B381QR29,054549284X,5.0
A348AAXO1D384T,054549284X,4.0
A10FBPICKC6Z6G,054549284X,5.0
A2AGR0AFAFITU6,054549284X,5.0
A2KZH22DJZMRV5,054549284X,5.0
ATUO8F8GEYIAX,054549284X,5.0
ARMNG35270HFT,054549284X,5.0
A2EZMIZIR7PD5F,054549284X,4.0
A2AX9XIBMCNXCJ,054549284X,5.0
A2D6HEAAIQR1KU,054549284X,5.0
A8EUJ5IUQ9K9P,054549284X,5.0
A1HRL0JHT1053F,054549284X,5.0
A1PJRQBRFCPBGL,054549284X,4.0
A2P4QGWLOX8V8Q,054549284X,5.0
A2AOWIR8QK8Z6T,054549284X,5.0
A1P3TX3COXC8BQ,054549284X,5.0
A2DJVA8VLVSJB9,054549284X,5.0
A3CMHH9J66DCLM,054549284X,5.0
AH287OC5LS3WD,054549284X,5.0
A2ZTYRTW0BE0FV,054549284X,5.0
A309V9XLZPVB3E,054549284X,4.0
A1HLKZ9HON5YEX,054549284X,5.0
A3R8D7IXNTF2FE,054549284X,5.0
A2RHTJ6Y253AMB,054549284X,5.0
A21YB9I0U5QAFQ,054549284X,5.0
A2A4SJKOR06JPA,054549284X,5.0
A2OZU4VQL8QX9D,054549284X,5.0
A8PV4N7YIUINC,054549284X,4.0
A1PLNAJXX01MHB,054549284X,4.0
AGCZ6F70U98HS,054549284X,5.0
A2STZ6OSSNN9GK,054549284X,5.0
A36JLBW7FZCFT5,054549284X,4.0
A3E6T3O5SW96OS,054549284X,5.0
A3LJ4ZPTFM25WY,054549284X,4.0
A254FM1QY40L1L,054549284X,5.0
A3EQQOP6CBF030,054549284X,5.0
A19KR7YVXRPRXX,054549284X,4.0
A23Z7MESZMC74,054549284X,5.0
ARR3CNGPLKCKU,054549284X,5.0
A25ZIOZ6VTOU7O,054549284X,5.0
A1HW52SI0DWZ10,054549284X,3.0
A3BVI9MQC5NUMI,054549284X,5.0
A329H8GQL3LJKQ,054549284X,5.0
A2CCDVBL5SOJG7,054549284X,5.0
A2PVVWK3SHLH50,054549284X,5.0
APE7GH935TABN,054549284X,4.0
A3EUTMIQ2WPR3H,054549284X,5.0
A3LYIC3AVCKU4T,054549284X,5.0
A3GMKJWD8X7DKO,054549284X,4.0
A15I19H3JDWPW1,054549284X,5.0
A26LYCAN75QIFT,054549284X,4.0
A2C0K1F2JXY2AY,054549284X,3.0
AIRRH9VEJZ1WI,054549284X,5.0
A3CLYZT3PF40YA,054549284X,5.0
A30KZ8JI45X2FC,054549284X,3.0
A2EGZB8UWD4V73,054549284X,4.0
A1R0AC34XATRYN,054549284X,5.0
A34QP7R5PN511P,054549284X,4.0
A1K3BCUBHOCQMB,054549284X,4.0
A2JWEQ5UZ0KKQK,054549284X,5.0
A1EG4GIFI6EQ76,054549284X,5.0
A1X4JXS00QPSEM,054549284X,5.0
A24PIUVWIF1TPQ,054549284X,5.0
A1HS3GU9Z7KFVE,054549284X,5.0
AU0NC2903OY6L,054549284X,5.0
A3UO4QEDZ6D3K9,054549284X,5.0
A3B6D5MY69JE6A,054549284X,5.0
A15N3CDRM6O8L7,054549284X,4.0
A1B2SZLTCA6I2V,054549284X,5.0
A3M9SAG18LZL3U,054549284X,3.0
A16SC2CQCOGBX5,054549284X,5.0
A1JS4EZQGFDV6L,054549284X,5.0
A2TL7W4H80LZOW,054549284X,5.0
A3RAIT4KGUYABX,054549284X,5.0
A3GOSTBKYLEXJZ,054549284X,5.0
A232210THWFB3Y,054549284X,5.0
AFMXRBUGU3A7X,054549284X,5.0
A9KEJCIXLQWYP,054549284X,3.0
A223JTEICJKUM4,054549284X,3.0
A2QU5R2GCK4EQC,054549284X,4.0
A3S82965ECLTDR,054549284X,5.0
A2YH6J3XLSRTWV,054549284X,5.0
A2R592GH0JFS3J,054549284X,5.0
A2MTXS6IQIDIFC,054549284X,4.0
A3J09XNT9G434S,054549284X,5.0
AX1BLGBMHPOSV,054549284X,5.0
A2T42K0VBL5E31,054549284X,5.0
A2Z9IFH45DBOGL,054549284X,4.0
A34O1LPE2UBP2,054549284X,4.0
A1ZEFGLCYK98YO,054549284X,4.0
A11KL4GOTFBEBR,054549284X,5.0
A17FQHN25ETAQH,054549284X,5.0
A24Y02Q7QI5OXT,054549284X,5.0
A30ZKP21ELEUQZ,054549284X,5.0
A32O8ULHZ0B891,054549284X,5.0
A1C826QP78HE29,054549284X,5.0
A3KBDYMDJ5IYW0,054549284X,5.0
AVPZW711AAGRP,054549284X,5.0
A1OZBL8M4NC11S,054549284X,5.0
A32SCXU696J2GQ,054549284X,5.0
A3QSHJ02COK6IW,054549284X,5.0
APMIYTHEO5H42,054549284X,5.0
A1KPI482QTMGL7,0545703301,5.0
A2A9NARKEB8IHB,0545703301,5.0
A22IGGJFLFH4G0,0545703301,3.0
AHW2BIHMB7LPI,0545703301,5.0
A1STO2TSX7L70T,0545703301,1.0
AINXRVBT04SGG,0545703301,5.0
AQ348N3174V1R,0545703301,4.0
AC2U3BIJXYN8D,0545703301,2.0
A1F8OS4F61M6OQ,0545703301,3.0
A1WU0DLA2YU00S,0545703301,4.0
AQ9Y6QZDCFTQO,0545703301,4.0
A1P24EJI1LB830,0545703301,5.0
A495CSMZEL6QQ,0545703301,5.0
A3P43JFIPURWXX,0545703301,5.0
A928NFZMRMSYR,0545703301,5.0
A8FMNGB68KV8M,0545703301,5.0
A254JHJEQ9DNV1,0545703301,2.0
AIFRQDRAFSF8S,0545703301,5.0
A2JHZX7E8FIRCT,0545703301,1.0
A1XSQPFFOID3I1,0545703301,5.0
A32J66FKMIP508,0545703301,5.0
A3ISHICK45HPQO,0545703301,5.0
A2GN8NCEJX8HX0,0545703301,5.0
A3FPAERU2I3OV6,0545703301,5.0
A33982BQJD61KS,0545703301,4.0
A3D3AN015NJZU6,0545703301,1.0
A3DOLU46ESI2BX,0545703301,5.0
A1OB9Q50VZDEDT,0545703301,4.0
AD6FOIR14AT3O,0545703301,5.0
A13F4JWDDJHURC,0545703301,1.0
A21Z2FGFDTJ9PW,0545703301,5.0
A2YYF5ZO5MR23D,0545703301,5.0
A1RHA1BYWRK02,0545703301,3.0
A2K75Z81IPBAO0,0545703301,3.0
AF9N6X7HZVTOL,0545703301,3.0
A3KXDWB5I8TALZ,0545703301,5.0
