itemId,title,category,description,option1,option2,option3
054549284X,Klutz Star Wars Thumb Doodles Book Kit,Toys_andamp;_Games,"['Make thumbprint versions of your favorite Star Wars characters. Simple step-by-steps include Leia and Luke, Han Solo and battle droids, Ewoks and Wookiees, Jedi and Jabba the Hutt. With ink art and a few quick lines, you can recreate favorite moments from the movies or from scenes never seen before...even in a galaxy far, far away.', 'Make thumbprint versions of your favorite Star Wars characters. Simple step-by-steps include Leia and Luke, Han Solo and battle droids, Ewoks and Wookiees, Jedi and Jabba the Hutt. With ink art and a few quick lines, you can recreate favorite moments from the movies or from scenes never seen before...even in a galaxy far, far away.']","['Design your favorite Star Wars characters using just your thumbprint', 'Comes with 4 ink pads (blue, black, green, brown), 1 black marker pen, 1 dual-tipped pencil (red, blue)', 'Includes a 40 page instructional book with Klutz certified crystal-clear instructions', ""Parents' Choice Award"", 'Recommended for children ages 6+']",Klutz,6282
0545703301,Klutz LEGO Chain Reactions Craft Kit,Toys_andamp;_Games,"['', '', ""Fascinate your friends by completing an ordinary task in an extraordinary way. Learn to build 10 LEGO machines that can swing, pivot, roll, lift, and drop. Then connect, rearrange, and experiment with the machines to create a chain reaction. With this book in hand and a handful of basic bricks from your LEGO collection, the only other thing you'll need is a little imagination. Includes 80-page book of instructions, 33 LEGO pieces, instructions for 10 machines, 6 plastic balls, string, paper ramps, and other components.""]","['NAPPA Silver Award Winner', 'Design and build 10 amazing moving machines - teach your bricks new tricks', 'Comes with 80 page instructions, 33 LEGO pieces, instructions for 10 modules, 6 plastic balls, string, paper ramps and other components', 'Includes a 80 page instructional book with Klutz certified crystal-clear instructions', 'Includes more than 30 essential Lego elements', 'Recommended for children ages 8+', '<span class=""a-size-base a-color-secondary"">\n                Super-clear Instructions\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Open-ended Creativity\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Rewarding Reading\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Skills to Build On\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Everything You Need\n            </span>']",Klutz,12
0545858461,Klutz Make Glitter Clay Charms Craft Kit,Toys_andamp;_Games,"['Design your own bracelet with itty-bitty sparkly charms! Sculpt miniature food, tiny aliens and robots, pocket-sized unicorns, and dozens of other cuties that you can customize with glitter for extra personality.', 'Design your own bracelet with itty-bitty sparkly charms! Sculpt miniature food, tiny aliens and robots, pocket-sized unicorns, and dozens of other cuties that you can customize with glitter for extra personality.']","['Make more than 35 sparkly charms to wear', 'Comes with 48-page book, 6 colors of clay, 2 colors of glitter, charm bracelet, glaze with brush applicator, clay shaping tool, drying rack', 'Includes a 48 page instructional book with Klutz certified crystal-clear instructions', 'Sculpt itty-bitty robot buddies, mini unicorns and more', 'Recommended for children ages 8+', '<span class=""a-size-base a-color-secondary"">\n                Super-clear instructions\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Open-ended Creativity\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Rewarding Reading\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Skills to Build On\n            </span>', '<span class=""a-size-base a-color-secondary"">\n                Everything You Need\n            </span>']",Klutz,2777
0881884995,Standard Wirebound Manuscript Paper (Green Cover),Books,"['(Manuscript Paper). 96-page wirebound book; 12 staves per page; 8 1/2 x 11 ; Music Notation Guide.', 'Founded in 1947, Hal Leonard LLC has become the worlds largest print music publisher, representing some of the greatest songwriters and artists of all time. We are proud to publish titles of interest to all musicians as well as music lovers, from songbooks and instructional titles to artist biographies and instrument price guides to books about the music industry and all the performing arts.']","['96-page wirebound book', '12 staves per page', 'Music Notation Guide.', '<span>\n        Use promo code GIFTBOOK18 to save $5.00 when you spend $20.00 or more on Books shipped and sold by Amazon.com.\n        Enter code GIFTBOOK18 at checkout. \n        \n        <span class=""a-declarative"" data-action=""a-modal"" data-a-modal=""{&quot;width&quot;:&quot;450&quot;,&quot;header&quot;:&quot;Promotion Details&quot;,&quot;url&quot;:&quot;/gp/promotions/details/popup/A7X5YQKNP1KYU&quot;,&quot;height&quot;:&quot;600&quot;}"">\n            <a href=""javascript:void(0)"" class=""a-popover-trigger a-declarative"">  \n            Here\'s how\n            <i class=""a-icon a-icon-popover""></i></a>\n        </span>\n        (restrictions apply)\n        \n    </span>']",Hal Leonard,1513
0912696362,Uses of the Most Popular Decorating Tips,Kitchen_andamp;_Dining,['Valuable reference and idea book for any decorator. Features the most popular decorating tip families and explains what each does. Shows the versatility of many tips by presenting varied cake designs.'],"['Soft cover; 48 pages', ""For use as a stand-alone or accompanied by Wilton's in-store Decorating Basics course"", 'Step-by-step instructions and photography for baking cakes, piping borders, and more', 'Great for birthdays, holidays, and other occasions', 'Measures approximately 8-2/5 by 11 by 1/5 inches']",Wilton,7801
1421697254,Black Cats 2013 Square 12X12 Wall Calendar (Multilingual Edition),"Books, Calendars, Animals, Cats",[],[],Cafetec,960
1421699222,Ferrets 2013 Square 12X12 Wall Calendar (Multilingual Edition),Books_andgt;_Calendars_andgt;_Foreign_Language,[],[],Cafetec,3531
1424556503,"The Passion Translation New Testament (Large Print) Black: With Psalms, Proverbs and Song of Songs",Office_Products,"['', '', '', '']",[],Broadstreet Pub Group LLC,9168
1424556511,"The Passion Translation New Testament (Large Print) Brown: With Psalms, Proverbs and Song of Songs",Office_Products,"['', '', '', '']",[],Broadstreet Pub Group LLC,1747
1424556813,"The Passion Translation New Testament (Large Print) Burgundy: With Psalms, Proverbs and Song of Songs",Office_Products,"['', '', '', '']",[],Broadstreet Pub Group LLC,8034
