userId,profile
A2W298B381QR29,This person likes shopping genres such as Office Products.
A348AAXO1D384T,This person likes shopping genres such as Toys andamp; Games.
A10FBPICKC6Z6G,This person likes shopping genres such as Toys andamp; Games.
A2AGR0AFAFITU6,This person likes shopping genres such as Office Products.
A2KZH22DJZMRV5,"This person likes shopping genres such as Education and Reference, Math, Children's Books, Books, Arithmetic."
ATUO8F8GEYIAX,This person likes shopping genres such as Kitchen andamp; Dining.
ARMNG35270HFT,This person likes shopping genres such as Books.
A2EZMIZIR7PD5F,This person likes shopping genres such as Toys andamp; Games.
A2AX9XIBMCNXCJ,This person likes shopping genres such as Books.
A2D6HEAAIQR1KU,This person likes shopping genres such as Kitchen andamp; Dining.
A8EUJ5IUQ9K9P,This person likes shopping genres such as Toys andamp; Games.
A1HRL0JHT1053F,This person likes shopping genres such as Toys andamp; Games.
A1PJRQBRFCPBGL,This person likes shopping genres such as Toys andamp; Games.
A2P4QGWLOX8V8Q,This person likes shopping genres such as Books.
A2AOWIR8QK8Z6T,This person likes shopping genres such as Books.
A1P3TX3COXC8BQ,This person likes shopping genres such as Kitchen and Dining.
A2DJVA8VLVSJB9,This person likes shopping genres such as Toys andamp; Games.
A3CMHH9J66DCLM,This person likes shopping genres such as Toys andamp; Games.
AH287OC5LS3WD,This person likes shopping genres such as Toys andamp; Games.
A2ZTYRTW0BE0FV,This person likes shopping genres such as Books.
A309V9XLZPVB3E,This person likes shopping genres such as Books.
A1HLKZ9HON5YEX,This person likes shopping genres such as Toys andamp; Games.
A3R8D7IXNTF2FE,This person likes shopping genres such as Books.
A2RHTJ6Y253AMB,This person likes shopping genres such as Books.
A21YB9I0U5QAFQ,"This person likes shopping genres such as Piano, Books, Music, Arts and Photography, Instruments."
A2A4SJKOR06JPA,This person likes shopping genres such as Books.
A2OZU4VQL8QX9D,This person likes shopping genres such as Books.
A8PV4N7YIUINC,This person likes shopping genres such as Toys andamp; Games.
A1PLNAJXX01MHB,This person likes shopping genres such as Toys andamp; Games.
AGCZ6F70U98HS,This person likes shopping genres such as Toys andamp; Games.
A2STZ6OSSNN9GK,This person likes shopping genres such as Kitchen andamp; Dining.
A36JLBW7FZCFT5,This person likes shopping genres such as Toys andamp; Games.
A3E6T3O5SW96OS,This person likes shopping genres such as Books.
A3LJ4ZPTFM25WY,This person likes shopping genres such as Toys andamp; Games.
A254FM1QY40L1L,This person likes shopping genres such as Toys andamp; Games.
A3EQQOP6CBF030,This person likes shopping genres such as Toys andamp; Games.
A19KR7YVXRPRXX,This person likes shopping genres such as Books.
A23Z7MESZMC74,This person likes shopping genres such as Books.
ARR3CNGPLKCKU,This person likes shopping genres such as Toys andamp; Games.
A25ZIOZ6VTOU7O,This person likes shopping genres such as Books.
A1HW52SI0DWZ10,This person likes shopping genres such as Books.
A3BVI9MQC5NUMI,This person likes shopping genres such as Toys andamp; Games.
A329H8GQL3LJKQ,This person likes shopping genres such as Kitchen andamp; Dining.
A2CCDVBL5SOJG7,This person likes shopping genres such as Office Products.
A2PVVWK3SHLH50,This person likes shopping genres such as Toys andamp; Games.
APE7GH935TABN,This person likes shopping genres such as Toys andamp; Games.
A3EUTMIQ2WPR3H,This person likes shopping genres such as Office Products.
A3LYIC3AVCKU4T,This person likes shopping genres such as Books.
A3GMKJWD8X7DKO,This person likes shopping genres such as Toys andamp; Games.
A15I19H3JDWPW1,This person likes shopping genres such as Books.
A26LYCAN75QIFT,This person likes shopping genres such as Kitchen andamp; Dining.
A2C0K1F2JXY2AY,This person likes shopping genres such as Kitchen andamp; Dining.
AIRRH9VEJZ1WI,This person likes shopping genres such as Books.
A3CLYZT3PF40YA,This person likes shopping genres such as Kitchen andamp; Dining.
A30KZ8JI45X2FC,This person likes shopping genres such as Toys andamp; Games.
A2EGZB8UWD4V73,This person likes shopping genres such as Toys andamp; Games.
A1R0AC34XATRYN,This person likes shopping genres such as Kitchen andamp; Dining.
A34QP7R5PN511P,This person likes shopping genres such as Toys andamp; Games.
A1K3BCUBHOCQMB,This person likes shopping genres such as Kitchen andamp; Dining.
A2JWEQ5UZ0KKQK,This person likes shopping genres such as Toys andamp; Games.
A1EG4GIFI6EQ76,This person likes shopping genres such as Books.
A1X4JXS00QPSEM,This person likes shopping genres such as Toys andamp; Games.
A24PIUVWIF1TPQ,This person likes shopping genres such as Books.
A1HS3GU9Z7KFVE,This person likes shopping genres such as Books.
AU0NC2903OY6L,This person likes shopping genres such as Kitchen andamp; Dining.
A3UO4QEDZ6D3K9,This person likes shopping genres such as Kitchen andamp; Dining.
A3B6D5MY69JE6A,This person likes shopping genres such as Kitchen andamp; Dining.
A15N3CDRM6O8L7,This person likes shopping genres such as Office Products.
A1B2SZLTCA6I2V,This person likes shopping genres such as Toys andamp; Games.
A3M9SAG18LZL3U,This person likes shopping genres such as Toys andamp; Games.
A16SC2CQCOGBX5,This person likes shopping genres such as Kitchen and Dining.
A1JS4EZQGFDV6L,This person likes shopping genres such as Kitchen andamp; Dining.
A2TL7W4H80LZOW,This person likes shopping genres such as Kitchen andamp; Dining.
A3RAIT4KGUYABX,This person likes shopping genres such as Toys andamp; Games.
A3GOSTBKYLEXJZ,This person likes shopping genres such as Toys andamp; Games.
A232210THWFB3Y,This person likes shopping genres such as Toys andamp; Games.
AFMXRBUGU3A7X,This person likes shopping genres such as Books.
A9KEJCIXLQWYP,This person likes shopping genres such as Books.
A223JTEICJKUM4,This person likes shopping genres such as Kitchen andamp; Dining.
A2QU5R2GCK4EQC,This person likes shopping genres such as Toys andamp; Games.
