userId,profile
A3OYO7B6SS7QLH,This person likes shopping genres such as Cell Phones and Accessories.
A38TYXTNN72TK8,This person likes shopping genres such as Cell Phones and Accessories.
A3RSLZMFS6KK6E,This person likes shopping genres such as Cell Phones and Accessories.
AKLZSMU0UQPIO,This person likes shopping genres such as Cell Phones and Accessories.
A3DWW41NZ3B0WG,This person likes shopping genres such as Cell Phones and Accessories.
A2ABZPTKTW5PUF,This person likes shopping genres such as Cell Phones and Accessories.
A2LLT3RGCRGRRE,This person likes shopping genres such as Cell Phones and Accessories.
A1EMAEKRRCKLG4,This person likes shopping genres such as Cell Phones and Accessories.
A3KUK3V001CPN7,This person likes shopping genres such as Cell Phones and Accessories.
A12M5CPE0PJX53,This person likes shopping genres such as Cell Phones and Accessories.
A211JZ4VECQYAI,This person likes shopping genres such as Cell Phones and Accessories.
AEML9AZPGVOXJ,This person likes shopping genres such as Cell Phones and Accessories.
A1Y8WQZH0M88BD,This person likes shopping genres such as Cell Phones and Accessories.
A20XZABYR4MSMT,This person likes shopping genres such as Cell Phones and Accessories.
A31V79JZTFY0CS,This person likes shopping genres such as Cell Phones and Accessories.
A9CDI43DKATK5,This person likes shopping genres such as Cell Phones and Accessories.
A1X9M7B4OOHI3F,This person likes shopping genres such as Cell Phones and Accessories.
A2UOBPRIH6UBEM,This person likes shopping genres such as Cell Phones and Accessories.
A2JVDWKY6NNHXD,This person likes shopping genres such as Cell Phones and Accessories.
A13EN7VKTVYZ92,This person likes shopping genres such as Cell Phones and Accessories.
A16ZL840T0GHYF,"This person likes shopping genres such as Cell Phones and Accessories, Electronics."
A1MC7LX1QW4RFH,This person likes shopping genres such as Cell Phones and Accessories.
A3C5ZNHUS21WZV,This person likes shopping genres such as Cell Phones and Accessories.
A2SK5N2XCBIBT8,This person likes shopping genres such as Cell Phones and Accessories.
AYPT1GLFH8FKL,This person likes shopping genres such as Cell Phones and Accessories.
A3HUOUZSDMBJ4R,This person likes shopping genres such as Cell Phones and Accessories.
AN9HYLQ28ENDW,This person likes shopping genres such as Cell Phones and Accessories.
A3JZT3X6T6KUQM,This person likes shopping genres such as Cell Phones and Accessories.
A3KLN3FZKN3DTK,"This person likes shopping genres such as Cell Phones and Accessories, Electronics."
ASY8H8JXES5WL,This person likes shopping genres such as Cell Phones and Accessories.
AAWA95ARLMFCK,"This person likes shopping genres such as Cell Phones and Accessories, Electronics."
ADUIEYCC8O8IR,This person likes shopping genres such as Cell Phones and Accessories.
A2EI1RVZBYSPDI,This person likes shopping genres such as Cell Phones and Accessories.
AGQ39L4546L4L,This person likes shopping genres such as Cell Phones and Accessories.
APRP8UBWTQ15J,This person likes shopping genres such as Cell Phones and Accessories.
A19O53R0L0W4O7,This person likes shopping genres such as Cell Phones and Accessories.
A37U4HM0UG7FQ0,This person likes shopping genres such as Cell Phones and Accessories.
A3VZGFK2A4X5J2,This person likes shopping genres such as Cell Phones and Accessories.
