userId,profile
A3417JZRGYZPHL,This person likes shopping genres such as Patio Lawn and Garden.
A2VM77ZT6FA8E2,"This person likes shopping genres such as Coffee and Tea, Home and Kitchen, Black, Coffee Tea and Espresso, Tea, Patio Lawn and Garden, Kitchen and Dining."
AVHE04E2RNXQX,This person likes shopping genres such as Office Products.
A1AQBZPNTN2KPZ,This person likes shopping genres such as Kitchen and Dining.
A2G3A9OC0O5ZM5,This person likes shopping genres such as Kitchen and Dining.
A36GGXMVXJS1NC,This person likes shopping genres such as Grocery and Gourmet Food.
A3OEGVSXY0Y07W,This person likes shopping genres such as Kitchen and Dining.
A3K6UCQBTEWJ7W,This person likes shopping genres such as Kitchen and Dining.
AKDTJRTXLERZ4,This person likes shopping genres such as Grocery and Gourmet Food.
ALJPQG37LCH5I,This person likes shopping genres such as Grocery and Gourmet Food.
A3GEOILWLK86XM,This person likes shopping genres such as Tools and Home Improvement.
A2P1T4E6FEFNFW,This person likes shopping genres such as Grocery and Gourmet Food.
A1U92INR4AE96M,This person likes shopping genres such as Patio Lawn and Garden.
A2PT77BPPMF0VT,This person likes shopping genres such as Kitchen and Dining.
A1BHQYKYX1SF71,This person likes shopping genres such as Kitchen and Dining.
A1LZLRUQPPZI7R,This person likes shopping genres such as Office Products.
AADKSB4CGB814,This person likes shopping genres such as Toys and Games.
A1V8TP75TAGSO6,This person likes shopping genres such as Kitchen and Dining.
A2X9DGA4CR8CU2,This person likes shopping genres such as Grocery and Gourmet Food.
A2NQRUAV5MYGAB,This person likes shopping genres such as Kitchen and Dining.
A3CIO3L47ZVF0T,This person likes shopping genres such as Kitchen and Dining.
AD311A3DU4RO5,This person likes shopping genres such as Office Products.
AP1M5SUK1HS5,This person likes shopping genres such as Grocery and Gourmet Food.
A2W57RPBTEABDV,This person likes shopping genres such as Office Products.
A2RID4JUGL48KB,This person likes shopping genres such as Grocery and Gourmet Food.
A1Z8D6VCC9D6LS,This person likes shopping genres such as Patio Lawn and Garden.
A14SN13DJH5038,This person likes shopping genres such as Grocery and Gourmet Food.
A1YH5N1HJ67QUA,This person likes shopping genres such as Kitchen and Dining.
A3HTYECCUX55HC,This person likes shopping genres such as Grocery and Gourmet Food.
A387EUNNI52BC,"This person likes shopping genres such as House Plants, Fresh Flowers and Live Indoor Plants, Live Indoor Plants, Grocery and Gourmet Food."
A28LAPSCL7IFAX,This person likes shopping genres such as Kitchen and Dining.
A1XU6CD5C9RVO5,This person likes shopping genres such as Patio Lawn and Garden.
A33P00D7RCE6F,This person likes shopping genres such as Grocery and Gourmet Food.
AEELPNFA73WCS,This person likes shopping genres such as Grocery and Gourmet Food.
AG730R0SRECKW,This person likes shopping genres such as Kitchen and Dining.
A6JXT4YLFZ2AP,This person likes shopping genres such as Kitchen and Dining.
A1K3Z9OA8TPR13,This person likes shopping genres such as Kitchen and Dining.
APG7PTXA4231S,This person likes shopping genres such as Grocery and Gourmet Food.
A2VVUXKYAQEAH0,This person likes shopping genres such as Grocery and Gourmet Food.
AQWD3UX23KH6K,"This person likes shopping genres such as House Plants, Fresh Flowers and Live Indoor Plants, Live Indoor Plants, Grocery and Gourmet Food."
A23H7VC8ZRD0NX,This person likes shopping genres such as Kitchen and Dining.
AR8CAMTTMN7MN,"This person likes shopping genres such as Grocery and Gourmet Food, Kitchen and Dining."
A285RQFOK8APPQ,"This person likes shopping genres such as House Plants, Fresh Flowers and Live Indoor Plants, Live Indoor Plants, Grocery and Gourmet Food."
A3Y1RZD1GJBKS,This person likes shopping genres such as Kitchen and Dining.
A25IGRP8M03U1B,"This person likes shopping genres such as Coffee and Tea, Home and Kitchen, Coffee Tea and Espresso, Tea, Kitchen and Dining."
A39N7NTHRR9T3Y,"This person likes shopping genres such as Kitchen and Dining, Grocery and Gourmet Food."
A2RV12BKT54DXH,This person likes shopping genres such as Kitchen and Dining.
AW3IZRZBVZYT,This person likes shopping genres such as Grocery and Gourmet Food.
AFBXQDFJF33VS,This person likes shopping genres such as Grocery and Gourmet Food.
AWSRBXQ639RA5,This person likes shopping genres such as Patio Lawn and Garden.
A2W955M8GV7RRP,"This person likes shopping genres such as Coffee and Tea, Home and Kitchen, Coffee Tea and Espresso, Tea, Kitchen and Dining."
A36R7M87HWESE2,This person likes shopping genres such as Patio Lawn and Garden.
A3LLE9QRWDXQNT,This person likes shopping genres such as Grocery and Gourmet Food.
A1JF8KGYE1DGC9,This person likes shopping genres such as Kitchen and Dining.
A30HGNVWJG3ZYD,This person likes shopping genres such as Grocery and Gourmet Food.
A1TSJF7XLH0UTN,This person likes shopping genres such as Patio Lawn and Garden.
A2KQYBDRRLF5YA,This person likes shopping genres such as Kitchen and Dining.
A3KR5QH39YFUTL,This person likes shopping genres such as Grocery and Gourmet Food.
A2I06KP7XUCEIB,This person likes shopping genres such as Kitchen and Dining.
A1SXYLFG0X1H1,This person likes shopping genres such as Grocery and Gourmet Food.
A32S7GHYNSM24K,This person likes shopping genres such as Office Products.
A2QRT7GMSB1EOA,This person likes shopping genres such as Kitchen and Dining.
A2CWGHK2QSO6WQ,This person likes shopping genres such as Kitchen and Dining.
A45LLVE5GDPDP,This person likes shopping genres such as Grocery and Gourmet Food.
A3JWSHMPQO6CQK,This person likes shopping genres such as Grocery and Gourmet Food.
A3CYWH6YSHNWO0,This person likes shopping genres such as Grocery and Gourmet Food.
A1OBFXX5UZEB99,This person likes shopping genres such as Kitchen and Dining.
A3GIBGOI5RMI5E,This person likes shopping genres such as Kitchen and Dining.
A3FV3W7PHRHFCP,This person likes shopping genres such as Grocery and Gourmet Food.
A3MPHEJ0N39W87,This person likes shopping genres such as Kitchen and Dining.
A396MD8PNX43ZC,This person likes shopping genres such as Kitchen and Dining.
A3GEZUJEVEN1FN,This person likes shopping genres such as Kitchen and Dining.
AXVOPM2IEUOY8,This person likes shopping genres such as Kitchen and Dining.
A3HFD4RNHNO0XG,This person likes shopping genres such as Patio Lawn and Garden.
A39EWSA2BD1U2U,This person likes shopping genres such as Kitchen and Dining.
A2GLQCRYYDF8TB,This person likes shopping genres such as Patio Lawn and Garden.
A1AYZ1V10AFHG9,"This person likes shopping genres such as Tools and Home Improvement, Grocery and Gourmet Food."
A1VHI0P51KLM0I,This person likes shopping genres such as Patio Lawn and Garden.
A3AD3MMDFJEHAL,This person likes shopping genres such as Kitchen and Dining.
A2M31FTC3ETYDW,"This person likes shopping genres such as Tools and Home Improvement, Grocery and Gourmet Food."
A2D2TIL93IJW68,This person likes shopping genres such as Grocery and Gourmet Food.
A1KGORFHUSJ313,This person likes shopping genres such as Grocery and Gourmet Food.
A16KGUOBQKPEKO,This person likes shopping genres such as Grocery and Gourmet Food.
AIAL4BWF4RAS1,This person likes shopping genres such as Grocery and Gourmet Food.
A1SQR1JBJ56ZK7,"This person likes shopping genres such as Fresh Flowers and Live Indoor Plants, Live Indoor Plants, Grocery and Gourmet Food."
A2EOXNG452VGFD,This person likes shopping genres such as Kitchen and Dining.
A3LORX8GMX1WCT,This person likes shopping genres such as Tools and Home Improvement.
AYDH7B7KB3W3C,This person likes shopping genres such as Patio Lawn and Garden.
A1HSGCVY2VTB9U,This person likes shopping genres such as Kitchen and Dining.
A1KTIADPTUQI8N,This person likes shopping genres such as Patio Lawn and Garden.
AMWN4UGD6BQPA,This person likes shopping genres such as Patio Lawn and Garden.
A3HXGSMCIOZEW8,This person likes shopping genres such as Grocery and Gourmet Food.
A27Z9NTXAVSL8D,This person likes shopping genres such as Kitchen and Dining.
A30H2335OM7RD6,This person likes shopping genres such as Grocery and Gourmet Food.
A2U0LAT0Q38GCN,This person likes shopping genres such as Kitchen and Dining.
A2NGWO396C9G61,This person likes shopping genres such as Kitchen and Dining.
A386RBC10KPNFP,This person likes shopping genres such as Kitchen and Dining.
A1B53QUGM64EM,This person likes shopping genres such as Grocery and Gourmet Food.
AMSXL0DTKJGTL,This person likes shopping genres such as Grocery and Gourmet Food.
A14ZBDV8G2PVAM,This person likes shopping genres such as Patio Lawn and Garden.
AYT4BA3ZJ2FEU,This person likes shopping genres such as Office Products.
ALGLR2CFXA7BC,This person likes shopping genres such as Kitchen and Dining.
A24I12GP4CVEM5,This person likes shopping genres such as Patio Lawn and Garden.
A9Y8SWJ5OZAVE,This person likes shopping genres such as Kitchen and Dining.
A3JZ6AY8RNEQ6S,This person likes shopping genres such as Grocery and Gourmet Food.
A2ML0BZHH5OPVC,"This person likes shopping genres such as House Plants, Fresh Flowers and Live Indoor Plants, Live Indoor Plants, Grocery and Gourmet Food."
A1R5G7ESKX2TFE,This person likes shopping genres such as Patio Lawn and Garden.
AEYT261Q20UI7,This person likes shopping genres such as Kitchen and Dining.
A1SUKIDPH2QDMU,This person likes shopping genres such as Tools and Home Improvement.
A26UT2PXS40W64,This person likes shopping genres such as Kitchen and Dining.
A20BKZTTFO1TF7,"This person likes shopping genres such as Toys and Games, Kitchen and Dining."
ADKI3PTD60A2X,This person likes shopping genres such as Kitchen and Dining.
A2MLKUXF2CBIGZ,This person likes shopping genres such as Patio Lawn and Garden.
A2I0QJ7H3T6WUM,This person likes shopping genres such as Grocery and Gourmet Food.
AVN3F3VFRTZ5I,This person likes shopping genres such as Patio Lawn and Garden.
A3M2X77SVUA7E4,This person likes shopping genres such as Kitchen and Dining.
A235L0Z536C4HL,This person likes shopping genres such as Toys and Games.
A20ZCHB9EV90D4,"This person likes shopping genres such as Fresh Flowers and Live Indoor Plants, Live Indoor Plants, House Plants, Patio Lawn and Garden, Grocery and Gourmet Food."
A38NS7OSD13K7W,This person likes shopping genres such as Grocery and Gourmet Food.
A1UE1HO983O6H5,This person likes shopping genres such as Grocery and Gourmet Food.
A38AKSRTPDI337,This person likes shopping genres such as Kitchen and Dining.
A1XILGCOA710RC,This person likes shopping genres such as Grocery and Gourmet Food.
A3CQBMZZ242VLI,This person likes shopping genres such as Patio Lawn and Garden.
A1608E6EYILG2U,This person likes shopping genres such as Patio Lawn and Garden.
A14RDJ92K3XVY2,This person likes shopping genres such as Grocery and Gourmet Food.
A68MFRO7DU8UE,This person likes shopping genres such as Kitchen and Dining.
A1ENEUNA9U2FUE,This person likes shopping genres such as Patio Lawn and Garden.
A1KHFG8BVFGBHR,This person likes shopping genres such as Grocery and Gourmet Food.
A2IY75YVIIPBFL,This person likes shopping genres such as Grocery and Gourmet Food.
A92QVE1AZG7C4,This person likes shopping genres such as Kitchen and Dining.
A158TN24LXROB7,This person likes shopping genres such as Kitchen and Dining.
A27VZ1O6QOMM3E,This person likes shopping genres such as Grocery and Gourmet Food.
AIX433Q5LAS44,This person likes shopping genres such as Patio Lawn and Garden.
AZK0A8CYH9GNA,This person likes shopping genres such as Patio Lawn and Garden.
A1WOOB8UYD3JLS,This person likes shopping genres such as Kitchen and Dining.
A4NNN5DA58YCP,This person likes shopping genres such as Grocery and Gourmet Food.
AIKRR46K4Z4YX,This person likes shopping genres such as Toys and Games.
A20NIKEGI7H7G6,This person likes shopping genres such as Patio Lawn and Garden.
ABAQ9SKKJ8Y67,This person likes shopping genres such as Grocery and Gourmet Food.
A1UMZFR1ETG6Q3,This person likes shopping genres such as Kitchen and Dining.
A1VVQ4ASJYOLS5,This person likes shopping genres such as Kitchen and Dining.
AFZPH5EPKTLT,This person likes shopping genres such as Kitchen and Dining.
A1T7HPAM7H7VMJ,This person likes shopping genres such as Kitchen and Dining.
ACX08TPBM4UQV,This person likes shopping genres such as Kitchen and Dining.
A17YS9GXY5O3E8,This person likes shopping genres such as Patio Lawn and Garden.
AHBEP2IWRYWEV,This person likes shopping genres such as Patio Lawn and Garden.
A2NHESI0QQ2DLG,This person likes shopping genres such as Grocery and Gourmet Food.
A2TFW9CPTKJAS0,This person likes shopping genres such as Kitchen and Dining.
A22QUJF9KVF5OY,This person likes shopping genres such as Kitchen and Dining.
AW7BIYHXUIZ62,This person likes shopping genres such as Kitchen and Dining.
A30Y2UTHJDGD62,This person likes shopping genres such as Kitchen and Dining.
A3PE6FV1YWND4H,This person likes shopping genres such as Patio Lawn and Garden.
A24E2L8A8UQY5C,This person likes shopping genres such as Patio Lawn and Garden.
A384C8P1GDXMRN,This person likes shopping genres such as Kitchen and Dining.
A3D0HMC6RQT0N0,"This person likes shopping genres such as Grocery and Gourmet Food, Kitchen and Dining."
