userId,profile
A3SDER9D24QD2I,"This person likes shopping genres such as Tools and Home Improvement, Home and Kitchen, Kitchen and Dining."
A3K6OFBZ5M21Z,"This person likes shopping genres such as Home and Kitchen, Audio and Video Accessories, Accessories and Supplies, TV Accessories and Parts, Kitchen and Dining, TV Stands, Electronics."
A257KXFXYKT32S,"This person likes shopping genres such as Travel and To-Go Drinkware, Home and Kitchen, Travel Insulated Tumblers, Kitchen and Dining."
A2EQ6ID1U99UG,"This person likes shopping genres such as Home and Kitchen, Thermoses, Storage and Organization, Travel and To-Go Food Containers, Appliances, Kitchen and Dining."
A2AXUIZAU5FRA7,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A11UFAL6F8KPQ8,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A3KD19YYARC835,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A32J2YNA0GG1X8,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A3K91X9X2ARDOK,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A2UFI637FCK3GO,"This person likes shopping genres such as Home and Kitchen, Audio and Video Accessories, Accessories and Supplies, TV Accessories and Parts, Kitchen and Dining, TV Stands, Electronics."
A9FLSYQOGOSQR,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A1VABWDOUQLULZ,"This person likes shopping genres such as Bakeware, Muffin and Cupcake Pans, Home and Kitchen, Kitchen and Dining."
A1I4NHYX40MFD,"This person likes shopping genres such as Home Dcor, Vases, Home and Kitchen, Kitchen and Dining."
A258D1ZEKEV71I,"This person likes shopping genres such as Home and Kitchen, Furniture, Speaker Stands, Living Room Furniture, TV and Media Furniture, Kitchen and Dining."
A1P9ZMD5KGA5K0,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
AIQWMQ4JWKZ3T,"This person likes shopping genres such as Laundry Storage and Organization, Laundry Bags, Home and Kitchen, Storage and Organization, Kitchen and Dining."
A2MNB77YGJ3CN0,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A39BUDCLVS7C1W,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A1HKWM1WLKW18A,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A244CRJ2QSVLZ4,This person likes shopping genres such as Home and Kitchen.
A30UP2KKD5IQEP,"This person likes shopping genres such as Tools and Home Improvement, Home and Kitchen, Kitchen and Dining."
A293HA28PN3VO4,"This person likes shopping genres such as Tools and Home Improvement, Home and Kitchen, Kitchen and Dining."
A1DQHS7MOVYYYA,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A26LD9FQHTM8ZH,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A19XMHRB3G4DIR,"This person likes shopping genres such as Industrial and Scientific, Kitchen and Dining."
A2GUV57F4541ZE,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
AW7OOW21LVQO3,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
AAAFY9RQDKMM3,This person likes shopping genres such as Kitchen and Dining.
A2YXQMZ32BY8XH,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A257XGMVGITLCT,"This person likes shopping genres such as Home and Kitchen, Office Products, Kitchen and Dining."
AQOVM5M1UTDC3,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A3CDF86VUZ1PZG,"This person likes shopping genres such as Home and Kitchen, Arts Crafts and Sewing, Kitchen and Dining."
ASC3AYAPJ97IH,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A19477B587MB26,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A13KA0HSAV9RQY,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
A31QHQUDPUV3DJ,"This person likes shopping genres such as Home and Kitchen, Kitchen and Dining."
AYLZWGTPIFND1,"This person likes shopping genres such as Home and Kitchen, Toys and Games, Kitchen and Dining."
A1JEJO29A280QO,"This person likes shopping genres such as Automotive, Home and Kitchen, Kitchen and Dining."
A2UD2ZY489ZZU2,"This person likes shopping genres such as Tools and Home Improvement, Home and Kitchen, Kitchen and Dining."
A27D0BK9L6A271,"This person likes shopping genres such as Tools and Home Improvement, Bedding, Mattress Pads and Protectors, Home and Kitchen, Mattress Protectors, Kitchen and Dining."
