itemId,title,category,description,option1,option2,option3
B0000223UV,"Gorilla Original Gorilla Glue, Waterproof Polyurethane Glue, 8 ounce Bottle, Brown","Industrial and Scientific, Tapes, Adhesives and Sealants, Urethane Adhesives","The product that started it all. Original Gorilla Glue built a name for itself with its incredible, industrial holding power and versatility. The water activated polyurethane formula expands into materials to form an incredibly strong bond to virtually anything. Gorilla Glue is a 100% waterproof glue, safe for indoor and outdoor use and strong enough to stand up to the elements. Gorilla Glues your solution for almost any project or repair. Sand it, paint it, stain it. Simply stated, its the Toughest Glue on Planet Earth. Directions: 1.Prepare and Dampen the Surfaces: All surfaces must be clean, dust free and tight fitting. For shiny surfaces, such as metals, glass and some plastics, roughen up the material to give the glue something to bite into. Lightly dampen one surface with water. We recommend using a damp cloth or spraying with water. Do not saturate the surface. For dense hardwoods, lightly dampen both surfaces prior to gluing. 2. Evenly Apply Gorilla Glue Onto the Dry Surface. Carefully apply onto the dry surface. Do not over apply. We recommend wearing gloves or spreading the glue with a disposable brush. 3. Clamp the Two Surfaces Together Tightly. Make sure the clamping pressure is distributed evenly across the surface. Or, if you dont have a clamp, use heavy objects or Gorilla Tape to achieve the appropriate clamping pressure. Clamp objects for 12 hours. For best results, allow 24 hours to cure. 4. Clean up: If you need to remove any uncured squeeze out or wet glue, we recommend wiping with a dry cloth or using a standard paint thinner. Once the glue is dry, it is best removed mechanically: Try sanding, chiseling, scraping or picking. 5. Storage Tips: After each use, wipe the bottles lid and nozzle clean with a dry cloth. While still squeezing, tightly replace the cap and then store in a cool, dry place. You should expect a year shelf life. Click on the Gorilla link at the top of this page to see more fine products from the Gorilla Glue Company.","Incredibly strong and versatile; The leading multi-purpose waterproof glue, Best for tough repairs on dissimilar surfaces, both indoors and out, ""100% Waterproof; Doesnt break down when exposed to outdoor elements"", Versatile; Easily bonds wood, stone, metal, ceramic, foam, glass, concrete and much more!, Incredibly Strong: Expands 3 times into the materials to form an incredibly strong bond",Gorilla,340
B00002N6FE,"3M Garnet Sandpaper, 9-Inch by 11-Inch, Assorted-Grit, 5-Sheet - 9040NA","Industrial and Scientific, Abrasive and Finishing Products, Manual Sanding Products, Sanding Sheets","3M Garnet Sandpaper is the choice of professional woodworkers for sanding a wide variety of bare and unfinished goods. Use on bare and unfinished wood. For best results when sanding wood surfaces, sand with the grain and work through a sequence of grits from course to ultra fine. Skip no more than one grit between each sanding step., Garnet sandpaper produces smooth finishes on bare woods. Garnet is a natural mineral that fractures during use to form new cutting edges. Available in very fine, fine, medium and coarse.","Assorted Grits, Made with garnet abrasive minerals, Sharp, clean cutting power, Designed to produce quality smooth finishes",3M,3019
B00002ND4I,Shop-Vac 9067200 Type I 10-14-Gallon High Efficiency Disposable Collection Filter Bag 2-Pack,"Industrial and Scientific, Janitorial and Sanitation Supplies, Vacuums and Floor Cleaning Machines, Vacuum Parts and Accessories, Vacuum Bags","Drywall collection filter bags. Picks up fine dust such as drywall, cement dust and cold ashes., For dry pick-up only, the Shop-Vac fine dust filter bag is ideal for pick-up of fine dust, like drywall, cement dust and cold ashes. Easy to use, this filter bag features a double-walled design and fits 10-to-14-gallon vacuums. This pack includes two fine dust filter bags.","N/A, Imported, ""EASY TO USE and INSTALL: These Shop-Vac High Efficiency Disposable Filter Bags are ideal for picking up fine dust such as drywall dust, cement dust and cold ashes. Theyre easy to use, install and replace. Theyll keep your tank clean, making cleanup a breeze."", EFFICIENT DUST COLLECTION: These disposable filter bags feature a double-walled design and fit standard 10 to 14 gallon vacuums. When the bag is full, remove it from the tank inlet and throw it in the trash for easy cleanup. Two bags are included in a pack., POWERFUL and ADAPTABLE: Our wet/dry vacs are your all-in-one solution for everything from household messes to heavy-duty workshop cleanup, featuring a wide selection of adapters, filters and accessories that make our vacuums a versatile tool for any task, ""LIVE, WORK, PLAY: Our wet-dry vacs were made to take on lifes messes at the jobsite, home, car or workshop. They come with a variety of accessories, including filters, hoses and attachments for pet groomers, car detailers, landscapers, homemakers and more"", SUPERIOR QUALITY: Our all-in-one multi-surface wet/dry vacuums and accessories are created for power, efficiency and convenience. Compare our vacuums to similar products by Ridgid, DeWalt, Stanley, Bissell, Crosswave, Craftsman, Workshop or Vacmaster.",Shop-Vac,2338
B00004R9U1,B&amp;C Eagle A3X131/22 Round Head 3-Inch x .131 x 22 Degree Bright Smooth Shank Plastic Collated Framing Nails (500 per box),"Industrial and Scientific, Fasteners, Collated Fasteners, Collated Nails, Framing Nails","""BandC Eagle collated fasteners are made to the highest quality standards and are guaranteed to work in tools for which they are intended. Our fasteners work with many brands of pneumatic tools like Bostitch, DeWALT, Senco, Paslode, Duo-Fast, Hitachi, Makita, Porter Cable and more. If your tool model number is listed below and our fastener fits within the size range of your tool, our fastener will work, guaranteed. We use only high quality collation materials and glues to keep the fasteners together before and during use. Use BandC Eagle fasteners for more positive drives, fewer jams and lasting quality. Please make sure you select the right coating for your application. Bright fasteners should only be used for interior applications in non-treated lumber. Hot Dip Galvanized fasteners are for interior or exterior applications in treated lumber. For the best corrosion protection available, always use Stainless Steel fasteners. Visit our website at www.bandceagle.com or give us a call for more technical information or if you have any questions on our fasteners. ***As of July 1st 2013 weve updated all of our packaging. Buy with confidence that you will receive our product shipped from AMAZON.COM intact. *** These fasteners are ENGINEERED TO FIT: BandC Eagle: SN2283, SN2290, Bosch: SN350-20F, Bostitch: F21PL, N88RH, N88RH-2MCN, N90RHN, N95RHN, RN90, Campbell Hausfeld: NS209000AV, NS219099AV, DeWALT: D51844, D51845, D51850, Duo-Fast: 903000, CN-350B, DF350S, NSP-350F1, NSP-350F2, SNP83, Fasco: F5C RHN 20-90, F5C RHN 20-90A SS, F6 RHN 20-90, Hitachi: NR83A, NR83A2, NR83A2S, NR90AC, NR90AC3, NR90AE, NR90AEPR, NR90GR, Makita: AN8300, AN922, AN923, Max: GS683RH, GS683RH-EX, SN80, SN883RH, SN890RH, SN90, Paslode: 5325 SRH, 5350 SRH-20, Porta-Nails: 660, Porter Cable: FR350, FR350A, FR350B, FR350MAG, Ridgid: R350RHA, Senco: FRAMEPRO 502, FRAMEPRO 600 , FRAMEPRO 602, FRAMEPRO 650FRH, FRAMEPRO 652, FRAMEPRO 700XL FRH, FRAMEPRO 702XP, FRAMEPRO 750XL FRH, FRAMEPRO 752XP, GT90FRH, SN60, SN65, SN65C, SN902XP, Spotnail: NPR90, YPR90, WEN: 61790, 61792, 91232. PLEASE CONSULT YOUR TOOL OWNERS MANUAL FOR SIZE RANGES. For the most up to date list of tools this fastener is compatible with, please visit our website at www.bandceagle.com"", B and C Eagle A3X131/22 Round Head 3-Inch-by-.131-Inch-by-20 to 22-Degree Plastic Collated Smooth Shank Framing Nails. 3 inch x .131 plain shank framing nails with full round head. Fits the following nail guns: Hitachi NR83A, NR83A2, NR83A2S, NR90AC, Duo-Fast CN350, Senco SN60, SN65, Makita AN8300, Porter Cable FR350, FR350MAG; Max SN890RH; Bostitch N88RH, N95RHN; DeWalt D51844, D51845.","Compatible with a variety of nail guns, Full round head, Available in a 500 count, For use in 20 to 22 degree plastic collation framing nailers, Plastic collated smooth shank, Bright finish for interior use in non-treated lumber only, Full round head, New and improved packaging helps protect product during shipment",B&C Eagle,5260
B00004RHAO,DEWALT DW4930 4-Inch by 5/8-Inch-11 Full Cable Twist Wire Wheel/Carbon Steel .020-Inch,"Industrial and Scientific, Abrasive and Finishing Products, Abrasive Brushes, Power Brushes, Wheel Power Brushes","Featuring high-tensile, heat-treated carbon or stainless steel wire, DeWalt HP wire wheels offer long-lasting, aggressive brushing action. An innovative internal holding plate construction provides helps to reduced knot movement and helps to increased control and brush life. Delivers smooth performance, with crimped wire for flexibility., The DEWALT DW4930 Cable Twist Wire Wheel consists of .020-inch carbon wire that is 100 percent inspected by the manufacturer for consistency, smooth performance, balance, and safety. The high-quality wire grades are constructed with an internal holding plate for perfect balance and consistent performance. Use the DW4930 wire wheel with 5/8-inch arbor for deburring, edge blending, rust removal and surface preparation. With a maximum speed of 20,000 RPM, the DW4930 can handle even the toughest jobs with ease.","Constructed with internal holding plate to ensure consistency and safety, Wire is 100% inspected to meet demanding quality specifications, Wire wheel is 100 percent inspected for performance, safety, and quality, 4-inch diameter wheel; 5/8-inch arbor size, Includes one cable twist wire wheel",DEWALT,9735
B00004RHKU,"Shop Vac 906-87-00 Universal Tool Adapter, Pack of 1","Industrial and Scientific, Janitorial and Sanitation Supplies, Vacuums and Floor Cleaning Machines, Vacuum Parts and Accessories, Wet-Dry Vacuum Accessories","2914-7634 Features: -Black. -Used to adapt virtually any power tool to work with all Shop-Vac brand wet/dry vacuums. Product Type: -Adapter. Country of Manufacture: -United States. Dimensions: Overall Height - Top to Bottom: -8.75"". Overall Width - Side to Side: -1"". Overall Depth - Front to Back: -16.5"". Overall Product Weight: -0.35 lbs., ""The Shop-Vac universal tool adapter allows you to connect virtually any power tool with an exhaust port to a Shop-Vac wet/dry vacuum. With a 1-to-2-inch diameter range, the adapter custom fits onto any vacuum cleaners standard hose end. Made of soft, pliable plastic, the adapter can be cut to many different diameters.""","The product is Univ Tool Adapter, Easy and simple use kit, The product is manufactured in China, Used to adapt virtually any power tool to work with all Shop-Vac brand wet/dry vacuums, Black, Genuine Shop Vac Part, Easy to Use, Rust Free Plastic, Used to adapt virtually any power tool to work with all Shop-Vac brand wet/dry vacuums, Black, Genuine Shop Vac Part, Easy to Use, Rust Free Plastic",Shop Vac,8711
B00004TBJF,"Scott Rags In A Box 75260, White, 200 Shop Towels/Box, 8 Boxes/Case","Industrial and Scientific, Janitorial and Sanitation Supplies, Cleaning Tools, Disposable Wipes","When you have tough jobs to tackle, you can trust Scott Rags in a Box, All-Purpose. These white disposable towels are made of cellulose fibers with a latex binder for thickness, absorbency, and strength. They are suitable for business projects, major home improvement projects, and general business cleaning and housekeeping (not recommended for direct contact with food products). The cardboard container has built-in handle holes to assist with portability and the pop-up hole in the center allows continuous access to individual wipes. Industrial wipes are non-woven disposable rags consisting of wood pulp, synthetic fibers, or a blend, and reinforced with a binder. They are used to wipe small quantities of solvents or other liquid from your hand, tools, equipment, or other surfaces.","8 boxes of 200; 1,600 disposable shop rags per case (Scott Rags in a Box, All-Purpose), Box of rags contains absorbent towels that feel and perform like a cloth; each one is 10"" x 12"", Strong, durable, and multi-purpose for thousands of projects like painting, polishing, detailing, spill clean up, staining, polishing and refinishing furniture, Designed for wet or dry cleaning applications, POP-UP Box (box of rags) with built-in handle allows you to take the product to the job while keeping rags clean, <span class=""a-size-base a-color-secondary"">\n                10 x 12 inches for single-handed use\n            </span>, <span class=""a-size-base a-color-secondary"">\n                Multi-purpose for use wet or dry\n            </span>",Scott,8
B00004XSFM,"InterDesign Orbinni Over Door Valet Hook for Clothes Hangers &ndash; Storage for Coats, Hats, Robes, Clothes or Towels - Single Hook, Chrome","Industrial and Scientific, Industrial Hardware, Hooks","Keep your home organized with this over door valet hook<br><br> The modern storage hook has a sleek design with clean curves and a rounded finial  no sharp edges that may damage your valuable hanging items<br><br> Behind the hook is additional ridged storage for clothes hangers, so your clothes can hang neatly behind the door, remaining crease free<br><br> Ideal for use in laundry rooms, bedrooms and bathrooms, the organizer hook transforms wasted space behind doors into useful storage, and is also compact enough to take with you when travelling<br><br> Fitting interior doors measuring up to 1<br><br>5 thick, no tools or mounting hardware are required, the hook simply slips over the top of standard doors to provide convenient accessible hanger storage<br><br> InterDesigns creative products enhance your dcor, turning simple home solutions into must-have accessories that shine<br><br> Designed in the USA, we are proud to produce a wide selection of high quality home, bath and storage solutions that excite, inspire and charm<br><br> Stylish, functional and affordable, our products have been enriching customers homes for over 40 years<br><br> <b>InterDesign: innovative products, exceptional value<br><br></b>, Fit this device over the top of any interior door of standard thickness and use it to hang clothes neatly. Great for a bedroom, bath, or laundry room, the valet provides a knobbed hook and four hanger notches for keeping suits, blouses, shirts, and trousers handy and unwrinkled. Chrome- plated for long-lasting beauty, it extends 5-1/2 inches from the door and mounts without screws. <I>--Fred Brack</I>","MODERN DESIGN: Steel hook with a sleek chrome finish  smooth curved lines add a modern feel., VERSATILE SOLUTION: A single hook with rounded finial plus 4 ridged clothes hanger slots., EASY TO INSTALL: Storage hook hangs over interior doors up to 1.5 thick  no tools or mounting., COMPACT STORAGE: Ideal for laundry rooms, bedrooms and closets, hook measures 1"" x 7.8"" x 5.1""., THE INTERDESIGN PROMISE: Still designing innovative affordable products that look great wherever you put them  over 40 years later.",InterDesign,6649
B00004YZQQ,Senco A209909 18-Gauge-by-1-2-Inch Electro Galvanized Variety Pack Brads,"Industrial and Scientific, Fasteners, Collated Fasteners, Collated Nails, Brad Nails","Value not found, ""The Senco A209909 variety pack of 1,200-count 18-gauge 1- to 2-inch electro-galvanized brads are great for moldings, picture-frame assembly, trim, and cabinetry building and are engineered to fit competitors tools.""","1,200 brads total; 1"", 1-1/2"", 1-3/4"", and 2"" nails, Use for moldings, picture-frame assembly, trim, and cabinetry building, Fewer tool jams than competitors, Highest withdrawal values for fasteners, ""Engineered to fit competitors tools""",Senco,2893
B00004YZQP,Senco A209809 18-Gauge-by-5/8-Inch to 1-1/4-Inch Electro Galvanized Variety Pack Brads,"Industrial and Scientific, Fasteners, Collated Fasteners, Collated Nails, Brad Nails","Senco A209809 18-Gauge-by-5/8-Inch to 1-1/4-Inch Electro Galvanized Variety Pack Brads, Senco A209809, 18 Gauge Variety Pack Brads,18 Gauge x 5/8"" - 1-1/4 Inch Brads, Electro Galvanized, 1,200 count. Engineered to Fit Competitors Tools. All Senco fasteners are engineered to fit other manufacturers tools","Chisel Point, Slight Head, Galvanized Finish, Plain Coating, Straight Strip Collation,1,200 Brads per pack, This product is manufactured in China, Great for moldings picture frame assembly trim and cabinetry building, Fewer tool jams than competitors, Highest withdrawal values for fasteners, Fits A125BN and A200BN AccuSet brad nailers, 1,200 Brads per pack, Great for moldings picture frame assembly trim and cabinetry building, Fewer tool jams than competitors, Highest withdrawal values for fasteners, Fits A125BN and A200BN AccuSet brad nailers,",Senco,7369
