userId,profile
A3M8R15QBXLD6J,This person likes shopping genres such as Tools and Home Improvement.
A1WMF76JPRG1PT,This person likes shopping genres such as Tools and Home Improvement.
A3HN5DKJQDB0VV,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
ALZBHGIKDD55R,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Automotive."
A5IJSRZINII14,"This person likes shopping genres such as Semiconductor Products, Tools and Home Improvement, Industrial and Scientific, Industrial Electrical, Signal Converters, Signal Components."
A3G158QI50PQA3,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A23HEKC8OD90JA,This person likes shopping genres such as Tools and Home Improvement.
A10ZZC3W6LJPQK,This person likes shopping genres such as Tools and Home Improvement.
A1KG4BUAQG9FTK,"This person likes shopping genres such as Tools and Home Improvement, Arts Crafts and Sewing."
AFKIUSC5QOWGI,"This person likes shopping genres such as Tools and Home Improvement, Semiconductor Products, Industrial and Scientific, Industrial Electrical, Signal Converters, Signal Components."
A1W04P3U1HHQ5H,This person likes shopping genres such as Tools and Home Improvement.
A1LHHHRQ3PG0L1,"This person likes shopping genres such as Tools and Home Improvement, Semiconductor Products, Industrial and Scientific, Industrial Electrical, Signal Converters, Signal Components."
A1V049V253CKAI,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A3LTL4R7GFB2WA,This person likes shopping genres such as Tools and Home Improvement.
A3PNKVTKA1LS9K,This person likes shopping genres such as Tools and Home Improvement.
A2WD94JBL8N4Y9,"This person likes shopping genres such as Automotive, Industrial and Scientific."
A11VFRBNF3R0FT,This person likes shopping genres such as Tools and Home Improvement.
A2T8WTJCX0XQ6M,This person likes shopping genres such as Tools and Home Improvement.
A13XSM0RPVNOP7,This person likes shopping genres such as Tools and Home Improvement.
A2VY8UTLXQ5TIQ,"This person likes shopping genres such as Industrial and Scientific, Office Products, Kitchen and Dining."
A1JZFGZEZVWQPY,This person likes shopping genres such as Tools and Home Improvement.
A7QU4WBFIOXYT,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A2OW5HPRQ6JKUS,This person likes shopping genres such as Tools and Home Improvement.
A1QE9G1V0NK3EH,This person likes shopping genres such as Tools and Home Improvement.
AKN6V9Y0YH421,This person likes shopping genres such as Tools and Home Improvement.
A2X06FP2PQ6EK0,"This person likes shopping genres such as Automotive, Tools and Home Improvement."
A3OXHLG6DIBRW8,This person likes shopping genres such as Tools and Home Improvement.
A1ODOGXEYECQQ8,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A3JDYGP8T4145S,"This person likes shopping genres such as Home and Kitchen, Electronics."
A2MEN74OQVUP2B,This person likes shopping genres such as Tools and Home Improvement.
AI757Z7LWG3AS,This person likes shopping genres such as Kitchen and Dining.
AF5AJ5V9T6LTS,This person likes shopping genres such as Tools and Home Improvement.
A2OV1CN9TXP6RD,This person likes shopping genres such as Tools and Home Improvement.
AO5UF46SVX9RC,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A3LKJ0Y9WPTD49,This person likes shopping genres such as Tools and Home Improvement.
A15VLJ2ZKCHRB3,"This person likes shopping genres such as Tools and Home Improvement, Health and Household."
A2P1PB0V5U0V97,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Home and Kitchen."
A2LXX47A0KMJVX,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A3LRUEEC7SR3DR,This person likes shopping genres such as Tools and Home Improvement.
A3LQWS6IHMHQJD,This person likes shopping genres such as Tools and Home Improvement.
A2Q1JBAYZBPVEN,This person likes shopping genres such as Tools and Home Improvement.
A2QCMM975FJWS7,This person likes shopping genres such as Tools and Home Improvement.
AUQ4LB0IUPCIR,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Automotive."
A21H9MTUM0D1OY,This person likes shopping genres such as Tools and Home Improvement.
A3VCQVL3XXY8T0,"This person likes shopping genres such as Tools and Home Improvement, Patio Lawn and Garden."
A36XC1YV18PIGT,"This person likes shopping genres such as Tools and Home Improvement, Kitchen and Dining."
A17T6CJ1Q7UHDE,This person likes shopping genres such as Tools and Home Improvement.
A3NX64C5IAPKUF,"This person likes shopping genres such as Tools and Home Improvement, Office Products."
A21JS8VQ3QQK26,"This person likes shopping genres such as Automotive, Industrial and Scientific, Tools and Home Improvement."
A1X5ND1XCYWNOA,This person likes shopping genres such as Tools and Home Improvement.
A3DXWLHCHTB5OB,"This person likes shopping genres such as Industrial and Scientific, Kitchen and Dining."
A20HKXJ6HOUJ91,This person likes shopping genres such as Tools and Home Improvement.
A3AI0JDPXBOI97,This person likes shopping genres such as Tools and Home Improvement.
A1FNPF8RU9JX2K,"This person likes shopping genres such as Automotive, Tools and Home Improvement, Kitchen and Dining."
A2DMSXF12L9ODZ,This person likes shopping genres such as Tools and Home Improvement.
A2JKE14W7D0G0N,This person likes shopping genres such as Tools and Home Improvement.
A3E9QI5H6VHXFD,This person likes shopping genres such as Tools and Home Improvement.
AEC90GPFKLAAW,"This person likes shopping genres such as Tools and Home Improvement, Arts Crafts and Sewing, Automotive, Electronics, Kitchen and Dining."
A3SJQ6ASOQDW4B,This person likes shopping genres such as Tools and Home Improvement.
A3RD18Z9JOETF5,This person likes shopping genres such as Tools and Home Improvement.
A134WHSNYNWFZ,"This person likes shopping genres such as Tools and Home Improvement, Kitchen and Dining."
A28E34GB514UWA,This person likes shopping genres such as Tools and Home Improvement.
A204K1OFE8OB9Y,"This person likes shopping genres such as 3D Printing Filament, 3D Printing Supplies, Industrial and Scientific, Additive Manufacturing Products."
A2MUL3LZVQUAMH,This person likes shopping genres such as Tools and Home Improvement.
A3A0UW5TNMAJ6P,"This person likes shopping genres such as Automotive, Tools and Home Improvement."
A1G31HU3GHDGYK,This person likes shopping genres such as Tools and Home Improvement.
AZXMHCBHXWDCL,This person likes shopping genres such as Tools and Home Improvement.
A3JGIXQPX65TGJ,This person likes shopping genres such as Tools and Home Improvement.
A3W3ZN2ZB333GN,"This person likes shopping genres such as Passive Components, Industrial and Scientific, Industrial Electrical."
A1HV17UY6NMCKP,"This person likes shopping genres such as Automotive, Tools and Home Improvement."
A1NUTYNSRRPXCU,This person likes shopping genres such as Tools and Home Improvement.
A28XR93SVDJEUB,This person likes shopping genres such as Tools and Home Improvement.
A1K9ZTXMHO4QFX,"This person likes shopping genres such as Tools and Home Improvement, Digital-to-Analog Converters, Audio and Video Accessories, Accessories and Supplies, Electronics."
A2NK2POZB0ZZM,"This person likes shopping genres such as Tools and Home Improvement, Home and Kitchen, Kitchen and Dining."
A1WY9N377PM44N,This person likes shopping genres such as Tools and Home Improvement.
A2VW1QYZOELXS3,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Kitchen and Dining."
A1VDS6KO245214,This person likes shopping genres such as Tools and Home Improvement.
A22VUYNXFE2CRY,This person likes shopping genres such as Tools and Home Improvement.
AB1X6QC3WJTSG,"This person likes shopping genres such as Tools and Home Improvement, Passive Components, Industrial and Scientific, Computers and Accessories, Industrial Electrical, Furniture Hardware, Casters, Hardware, Plate Casters, Camera and Photo."
A2U2IBF78PV9ZI,This person likes shopping genres such as Tools and Home Improvement.
A1GJ3DGWK1F76A,This person likes shopping genres such as Tools and Home Improvement.
AWESDAEUTBDHG,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Office Products."
A1A04TI7OVH1MI,This person likes shopping genres such as Tools and Home Improvement.
ALRK7AJO16OJT,This person likes shopping genres such as Tools and Home Improvement.
A1FSMGPB1TOF9K,This person likes shopping genres such as Tools and Home Improvement.
A3P5IKCDMLFC7J,This person likes shopping genres such as Tools and Home Improvement.
A1HPLO89CSQFDA,This person likes shopping genres such as Tools and Home Improvement.
