userId,profile
AV9E7SJWU0PQ9,This person likes shopping genres such as Musical Instruments.
A3CEV9KBYLPK2L,This person likes shopping genres such as Musical Instruments.
ATZFZONPLXQJN,This person likes shopping genres such as Musical Instruments.
A2ZPY4IM17L09F,This person likes shopping genres such as Musical Instruments.
AUKVM8TXMBUR5,This person likes shopping genres such as Musical Instruments.
A2T2PJ8BWUO7D,This person likes shopping genres such as Musical Instruments.
A1IVXL7131OOIW,"This person likes shopping genres such as Musical Instruments, Electronics."
A3DMRLRVT0KRTE,"This person likes shopping genres such as Computers and Accessories, Musical Instruments."
A2053ZJUGCKUA5,This person likes shopping genres such as Musical Instruments.
A3NPETMZXGIG65,This person likes shopping genres such as Musical Instruments.
AX71EDWGK5ND5,This person likes shopping genres such as Musical Instruments.
A1UYHCCPQKH6GN,"This person likes shopping genres such as Microphones, Recording Equipment, Stage and Studio Cables, Accessories, Accessories and Supplies, Cables, Musical Instruments, Electronics."
AVOFQL8D5NLUO,This person likes shopping genres such as Musical Instruments.
A11FWGZDJHCKAY,This person likes shopping genres such as Musical Instruments.
A1K3LPKZN4OZ66,This person likes shopping genres such as Musical Instruments.
A14O27AIZCIZEG,This person likes shopping genres such as Musical Instruments.
A15UON6342H4YU,This person likes shopping genres such as Musical Instruments.
A3D6VWDWBNIDAA,This person likes shopping genres such as Musical Instruments.
A1OCUKI8ZBUVX3,This person likes shopping genres such as Musical Instruments.
A2RLQKE9NHSSZB,This person likes shopping genres such as Musical Instruments.
A1S0NIJ5PDREYV,This person likes shopping genres such as Musical Instruments.
AU36YCQBO0NY7,"This person likes shopping genres such as Musical Instruments, Recording Equipment, Stage and Studio Cables, Cables."
A1Q8KRGN5G048F,"This person likes shopping genres such as Microphones, Accessories, Accessories and Supplies, Cables, Musical Instruments, Electronics."
A17BUUBOU0598B,This person likes shopping genres such as Musical Instruments.
A2XXBZPQT5EXHV,This person likes shopping genres such as Musical Instruments.
A1JBUBTQ48ITN4,This person likes shopping genres such as Musical Instruments.
A6FIAB28IS79,This person likes shopping genres such as Musical Instruments.
A29MJ4O2EZTG0P,This person likes shopping genres such as Musical Instruments.
A2GX6DZPHMW9BQ,This person likes shopping genres such as Musical Instruments.
A17V6IWPTMUXXY,This person likes shopping genres such as Musical Instruments.
ADVTR7YAZ0TFN,This person likes shopping genres such as Musical Instruments.
A14GQSDDHH5V6E,This person likes shopping genres such as Musical Instruments.
A21U2CZHHWYWAH,This person likes shopping genres such as Musical Instruments.
A3H7KRFR3680XE,This person likes shopping genres such as Musical Instruments.
A1NX6ENN9VUZ6T,This person likes shopping genres such as Musical Instruments.
A1SSL7MB5QADDD,This person likes shopping genres such as Musical Instruments.
A3AD9PRDBV9IUD,This person likes shopping genres such as Musical Instruments.
A1949E61IXT41X,"This person likes shopping genres such as Tools and Home Improvement, Patio Lawn andamp; Garden, Kitchen and Dining."
A3L59H0CYLJUYG,This person likes shopping genres such as Musical Instruments.
