userId,profile
A2M13JN7YVG29U,"This person likes shopping genres such as Office Supplies, Desk Supplies Holders and Dispensers, Office Products, Desk Accessories and Workspace Organizers, Office Tape Dispensers."
A2WNS7JU74GETW,This person likes shopping genres such as Office Products.
A2L0NZR1CSYSBP,"This person likes shopping genres such as Landline Phones, Caller ID Displays, Inkjet Printers, Cordless Telephones, Office Electronics, Accessories and Supplies, Computers and Accessories, Lapdesks, Laptop Accessories, Printers and Scanners, Office Products, Telephone Accessories, Telephones and Accessories, Camera and Photo, Printers, Electronics."
A15PTVG886TDDY,"This person likes shopping genres such as Tools and Home Improvement, Inkjet Printers, Computers and Accessories, Office Products, Printers, Electronics."
AM7XY1D576WY3,"This person likes shopping genres such as Electronics andgt; Office Electronics andgt; Calculators andgt; Basic, Office Products."
A3W13IO9HMT917,"This person likes shopping genres such as Other Office Equipment, Tools and Home Improvement, Office Products andgt; Office Electronics andgt; Other Office Equipment andgt; Shredders, Corded Telephones, Inkjet Printers, VoIP, Cordless Telephones, Office Electronics, Computers and Accessories, Slide and Negative Scanners, Electronics andgt; Camera andamp; Photo andgt; Printers andamp; Scanners andgt; Flatbed andamp; Photo Scanners, Office Products, Shredders, Landline Phones, Telephones and Accessories, Printers, Scanners, Electronics."
AUFW0LEC5N4CS,"This person likes shopping genres such as Mouse Pads and Wrist Rests, Office Supplies, Laser Printers, Computers and Accessories, Mouse Pads, Office Products, Desk Accessories and Workspace Organizers, Printers, Electronics."
A1ODOGXEYECQQ8,"This person likes shopping genres such as Computer Accessories, Printer Ink and Toner, Inkjet Printers, Rollerball Pens, Writing and Correction Supplies, Accessories and Supplies, Inkjet Printer Ink, Educational Supplies, Computers and Accessories, Pens and Refills, Office Products, Liquid Ink Rollerball Pens, Printers, Electronics."
A2MG58QRZ29EUR,"This person likes shopping genres such as Inkjet Printers, Office Electronics, Computers and Accessories, PDAs Handhelds and Accessories, Office Products, PDAs and Handhelds, Printers, Electronics."
AZZKYP9254H32,"This person likes shopping genres such as Calculators, Scientific, Office Electronics, Office Products, Electronics."
A36P0TFBOORV76,"This person likes shopping genres such as Other Office Equipment, Cordless Telephones, Office Electronics, Office Products, Shredders, Landline Phones, Telephones and Accessories, Electronics."
A3DL3JEPALF5CB,"This person likes shopping genres such as Mouse Pads and Wrist Rests, Office Supplies, Mouse Pads, Office Products, Desk Accessories and Workspace Organizers."
A2NZVTLCYIZ6QD,"This person likes shopping genres such as Electronics andgt; Accessories andamp; Supplies andgt; Computer Accessories andgt; Keyboards Mice andamp; Accessories andgt; Keyboard andamp; Mice Accessories andgt; Mouse Pads, Office Products."
A2Q6GLQGHDHBSS,"This person likes shopping genres such as Document Scanners, Cordless Telephones, Office Electronics, Computers and Accessories, Office Products, Landline Phones, Telephones and Accessories, Scanners, Electronics."
A1O3XD02FVMUA1,"This person likes shopping genres such as Industrial and Scientific, Computers and Accessories, Laptop Accessories, Office Products, Lapdesks, Kitchen and Dining."
A8PVJXU67ME69,"This person likes shopping genres such as Keyboard and Mice Accessories, Computer Accessories, Corded Telephones, Arts Crafts and Sewing, Inkjet Printers, Electronics andgt; Camera andamp; Photo andgt; Printers andamp; Scanners andgt; Flatbed andamp; Photo Scanners, Keyboards Mice and Accessories, Accessories and Supplies, Office Electronics, Computers and Accessories, Mouse Pads, Office Products, Landline Phones, Telephones and Accessories, Printers, Electronics."
A9PYGZE1XXGCH,"This person likes shopping genres such as Inkjet Printers, Computers and Accessories, Dot Matrix Printers, Office Products, Printers, Electronics."
A29VWN36ZEJM5K,This person likes shopping genres such as Office Products.
A136DLJX4DI4PN,This person likes shopping genres such as Office Products.
A1VOSRGD4TV1KU,"This person likes shopping genres such as Other Office Equipment, Home and Kitchen, Office Electronics, Office Products, Shredders, Electronics."
A2J9BIMQB5HMWO,"This person likes shopping genres such as Cordless Telephones, Office Electronics, Office Products, Landline Phones, Telephones and Accessories, Electronics."
AEXPLOZQ8HQD0,"This person likes shopping genres such as Cordless Telephones, Office Electronics, Office Products, Landline Phones, Telephones and Accessories, Electronics."
A15LOC2GZEZR5X,"This person likes shopping genres such as Industrial and Scientific, Arts Crafts and Sewing, Calculators, Basic, Office Electronics, Office Products, Electronics."
A37YHAES0WLLGY,"This person likes shopping genres such as Arts Crafts and Sewing, Mouse Pads and Wrist Rests, Office Supplies, Mouse Pads, Office Products, Desk Accessories and Workspace Organizers."
AUYXR6XWMS5LC,"This person likes shopping genres such as Calculators, Basic, Office Electronics, Computers and Accessories, Office Products, Electronics andgt; Office Electronics andgt; Calculators andgt; Basic, Printers, Electronics."
A1KE5HHCCIK57P,"This person likes shopping genres such as Office Products, Computers andamp; Accessories andgt; Computer Accessories andgt; Keyboards Mice andamp; Accessories andgt; Keyboard andamp; Mice Accessories andgt; Mouse Pads."
A23O8WTMV62QUO,"This person likes shopping genres such as Keyboard and Mice Accessories, Computer Accessories, Document Scanners, Printer Ink and Toner, Laser Printer Drums and Toner, Keyboards Mice and Accessories, Accessories and Supplies, Computers and Accessories, Mouse Pads, Office Products, Scanners, Electronics."
A31NQDQHJH5N7Y,"This person likes shopping genres such as Badge Lanyards, Office Supplies, Labels Indexes and Stamps, Office Products, Electronics andgt; Office Electronics andgt; Calculators andgt; Basic, Identification Badges and Supplies."
A1UBI0MQ7TZ5YA,"This person likes shopping genres such as Industrial and Scientific, Office Products."
A1NRMLRE2QKZ08,"This person likes shopping genres such as Other Office Equipment, Calculators, Mouse Pads and Wrist Rests, Office Supplies, Office Electronics, Computers and Accessories, Mouse Pads, Electronics andgt; Accessories andamp; Supplies andgt; Computer Accessories andgt; Keyboards Mice andamp; Accessories andgt; Keyboard andamp; Mice Accessories andgt; Wrist Rests, Laptop Accessories, Office Products, Shredders, Desk Accessories and Workspace Organizers, Lapdesks, Graphing, Stands, Electronics."
A1F41PH89SL6JB,This person likes shopping genres such as Office Products.
A3GGA7PR8P679I,"This person likes shopping genres such as Arts Crafts and Sewing, Envelopes, Cordless Telephones, Office Electronics, Office Products, Landline Phones, Telephones and Accessories, Business Envelopes, Mailroom Supplies, Electronics."
A3J8ZJAQLIO5G6,"This person likes shopping genres such as Home and Kitchen, Office Products."
AMB498Y1CKTXW,"This person likes shopping genres such as Photo Paper, Office Supplies, Office Products, Paper."
A25L7C5LO12LVL,"This person likes shopping genres such as Corded Telephones, Arts Crafts and Sewing, Office Electronics, Computers andamp; Accessories andgt; Computer Accessories andgt; Keyboards Mice andamp; Accessories andgt; Keyboard andamp; Mice Accessories andgt; Mouse Pads, Office Products, Landline Phones, Telephones and Accessories, Electronics."
A2GFDVKEJKYXR6,This person likes shopping genres such as Office Products.
A2W709EYNPW7LO,This person likes shopping genres such as Office Products.
A2Q799T63QD2VM,"This person likes shopping genres such as Printing, Arts Crafts and Sewing, Calculators, Office Electronics, Automotive, Office Products, Electronics."
AILKGRMLEMGXC,"This person likes shopping genres such as Office Products, Arts Crafts and Sewing."
