userId,profile
AC61U16AJQ8X7,"This person likes shopping genres such as Patio Lawn and Garden, Kitchen and Dining."
A2MDF3SN9DQ0D8,"This person likes shopping genres such as Automotive, Patio Lawn and Garden."
A3O5WE4RDC0VSC,This person likes shopping genres such as Patio Lawn and Garden.
A1RALQC5KYXT1X,"This person likes shopping genres such as Patio Lawn and Garden, Home and Kitchen."
A37U07SO3RTS5R,"This person likes shopping genres such as Spades Shovels and Trowels, Home and Kitchen, Gardening, Shovels, Gardening Tools, Patio Lawn and Garden, Kitchen and Dining."
A2AM71T1YE3C4S,This person likes shopping genres such as Patio Lawn and Garden.
ATGLHCY1BZ0TO,This person likes shopping genres such as Patio Lawn and Garden.
A2KJ7WR3TXYXUP,This person likes shopping genres such as Patio Lawn and Garden.
A100OJ8LFVPMPT,This person likes shopping genres such as Patio Lawn and Garden.
A3TM1LR0VOFY18,This person likes shopping genres such as Patio Lawn and Garden.
A38APU19H4TM1K,"This person likes shopping genres such as Garden Sculptures and Statues, Gardening, Patio Lawn and Garden, Gazing Balls."
A281NPSIMI1C2R,This person likes shopping genres such as Patio Lawn and Garden.
A1DXHSUATI73IW,"This person likes shopping genres such as Tools and Home Improvement, Watering Equipment, Industrial and Scientific, Gardening, Patio Lawn and Garden, Nozzles."
AD77ZSX3AFQAH,This person likes shopping genres such as Patio Lawn and Garden.
A2UK9DW3BZM2II,"This person likes shopping genres such as Farm and Ranch, Traps, Patio Lawn and Garden, Pest Control."
A1LPPD9JR3M9C0,This person likes shopping genres such as Patio Lawn and Garden.
A30E3VFBM3HRA6,This person likes shopping genres such as Patio Lawn and Garden.
A24DQKQYF8IXDR,"This person likes shopping genres such as Patio Lawn and Garden, Kitchen and Dining."
A30F45WICMERWS,"This person likes shopping genres such as Tools and Home Improvement, Patio Lawn and Garden, Kitchen and Dining."
A16CJ128Q2UN62,This person likes shopping genres such as Patio Lawn and Garden.
AJLMH8EIZQPGG,"This person likes shopping genres such as Patio Lawn and Garden, Kitchen and Dining."
A2XTR0MSQ0275D,"This person likes shopping genres such as Tools and Home Improvement, Patio Lawn and Garden."
A13SXBRTP9PD30,"This person likes shopping genres such as Patio Lawn and Garden, Industrial and Scientific, Kitchen and Dining."
A2WVO0FDPXJW78,"This person likes shopping genres such as Patio Lawn and Garden, Kitchen and Dining."
A388CP72VWJ4OC,"This person likes shopping genres such as Tools and Home Improvement, Patio Lawn and Garden."
A2NKO8BSARTXMM,This person likes shopping genres such as Patio Lawn and Garden.
A26YBZ8IXF5KBJ,"This person likes shopping genres such as Patio Lawn and Garden, Kitchen and Dining."
A10RNCTB1IQ5JM,"This person likes shopping genres such as Patio Lawn and Garden, Kitchen and Dining."
AV744854NVJXF,This person likes shopping genres such as Patio Lawn and Garden.
AJTSDS4MBLZQ6,This person likes shopping genres such as Patio Lawn and Garden.
A1KS1Y2TMVUTDP,"This person likes shopping genres such as Tools and Home Improvement, Cleaning Tools and Chemicals, Pools Hot Tubs and Supplies, Rakes Skimmers and Nets, Patio Lawn and Garden."
AKYDGCKCY7H9F,This person likes shopping genres such as Patio Lawn and Garden.
