itemId,title,category,description,option1,option2,option3
B00004ZB4I,"Droll Yankees Bird Feeder Tray, Platform Seed Catcher Accessory Attachment, Clear, OMT","Pet Supplies, Birds, Feeding and Watering Supplies, Feeders",", <strong>Droll Yankees Omni Seed Tray</strong>, The Droll Yankeesandnbsp;Omni Seed Tray is an excellent addition to many of our seed dispensing bird feeders, preventing spilled seed from tumbling to the ground where it can rot or be stolen by squirrels. Save money and keep your bird seed available for your birds., <strong>Droll Yankees: About Us</strong>, Combine a wicked sense of humor with Yankee ingenuity and what do you get? andldquo;The Worldandrsquo;s Best Bird Feeders,andrdquo; thatandrsquo;s what!, With over 50 different bird feeder styles to choose from, Droll Yankees bird feeders are very easy to fill and clean, and generations of bird lovers have appreciated their quality construction, functional simplicity, and commitment to American workers. All Droll Yankees items are made entirely in the USA, and weandrsquo;re so confident in the quality of our manufacturing and designs that we offer a Lifetime Warranty. We will replace any defective or squirrel-damaged parts free of charge. Many Droll Yankees customers have used their feeders for over 30 years!, Droll Yankees continues to develop innovative approaches to bird feeding that benefit both the birds and our customers. We say, by using a Droll Yankees product, you will save money and avoid purchasing countless numbers of lesser-quality feeders that only end up in the landfill by the end of the season. More importantly, you will also be helping the environment. And isnandrsquo;t that what we want for the birds, anyway?","SAVE SEED: Platform catches spilled seed from bird feeders to avoid wasted seed and to save money, ATTRACTS GROUND FEEDERS: Allows ground feeding birds like Cardinals to also take advantage of the feeder, EASY INSTALL: No tools needed - connect the Omni Seed Tray to the feeder base with the included threaded black plug., OUTDOOR USE: UV-stabilized polycarbonate is resistant to warping and discoloration from prolonged sunlight exposure, ""COMPATIBILITY: Accessory fits Droll Yankees Classic, New Generation, Ring Pull, and Bird Lovers feeders"", 1/2"" Omni seed tray attaches with threaded plug to all DY tube feeders and other brands",Droll Yankees,4512
B000084EEF,"Bergan Turbo Scratcher Cat Toy, Colors may vary","Pet Supplies, Cats, Beds and Furniture, Scratching Pads","The Turbo Scratcher cat toy offers hours of fun and exercise for your cat while reducing potential furniture damage due to scratching. Catnip and ball included. Scratch pad is replaceable. 16 Diameter x 1.88. Precautions HAZARDS TO ANIMALS: To ensure the safety of your pet, supervise your pet at all times during play. Do not allow your pet to play with the toy if any part of the toy comes loose or separated. This toy is intended to be used only with supervision. This product recently went through a packaging change. Customers may receive old color. New color is shown in images. Related Items Compatible with the Bergan Catnip Cyclone Cat Toy., ""Bergans famous Turbo Scratcher Cat Toy (Colors Vary) is designed to provide hours of fun for your furry companion. When cats have an appropriate outlet for their need to scratch, there is a smaller chance they will damage your upholstery and woodwork. The Turbo Scratcher a channel for a small ball your cat can nudge with its nose or shove with its paw. In the center of the Turbo Scratcher, the textured scratch pad is both durable and replaceable. When you need to replace the pad, order the Bergan Turbo Scratcher Replacement Pad in the handy 2-pack (sold separately). Bergan products are designed to help you enjoy life with your pet.""","N/A, Made in USA, ""Bergans famous Turbo Scratcher Cat Toy (Colors Vary) is designed to provide hours of fun for your furry companion"", The Turbo Scratcher has a channel for a small ball your cat can nudge with its nose or shove with its paw, In the center of the Turbo Scratcher, the textured scratch pad is both durable and replaceable, Includes 1 base (16"" diameter), 1 scratch pad and 1 ball; place ball in track for hours of fun - entertain your cat and protect your furniture from scratching!, Bergan products are designed to help you enjoy an active lifestyle with your pet. Cat scratch toy offers hours of fun and exercise for your cat while reducing potential furniture damage",Bergan,192
B00008URR8,"Bissell Spotlifter Powerbrush Handheld Deep Cleaner, 1716B - Corded","Pet Supplies, Cats, Litter and Housebreaking, Odor and Stain Removers","<div class=""aplus""> <h5>Spotlifter Powerbrush Handheld Deep Cleaner, 1716B</h5>, by BISSELL, Quickly and easily get fresh, stain-free carpets without blotting and scrubbing with our portable carpet deep cleaners. Combined with portable deep cleaning formula, they use strong spray and suction to remove spills, pet accidents, and set-in stains., The Spot Lifter PowerBrush portable deep cleaner has an 18-foot power cord that allows the machine to run for as long as you need to remove a stain from your carpet or upholstery. This means you wont have to waste time and effort blotting, spraying and scrubbing the stain with a rag and cleaning formula. The corded design also allows for the cleaner to have a powerful rotating brush that will scrub the stain for you., Regular carpet cleaning is a way to know your carpets are at their cleanest. But given the choice between an upright machine and a portable machine, which should you choose? Upright carpet cleaners are designed to make it quick and easy to deep clean entire rooms of carpet. What sets many BISSELL upright carpet cleaners apart are the rows of DirtLifter Powerbrushesthey do the hard work so you dont have to. These brushes have stiff bristles placed in a wavy formation on the rotating brush, helping to scrub and lift the dirt and stains your vacuum cant reach. Then powerful suction lifts it away. Portable carpet cleaners are smaller machines that are great for cleaning spots and stains quickly and easily. Theyre convenient to have on hand for unexpected spills, including, wine, juice and pet messes . Having a portable carpet cleaner at the ready helps to keep your home looking and feeling fresh between regular deep cleans., Most owners also regularly clean furniture and automobile upholstery, stairs and mattresses with their BISSELL Carpet Cleaning machines., Traditional vacuums handle dust and dirt, but some spots and stains call for more rigorous measures. The Bissell Spotlifter Powerbrush deep cleaner targets just such problems with powerful rotating brushes and a tank of cleaning solution. During operation, continuous suction ensures that surfaces donandrsquo;t get too wet and that dirt and stains are sucked up quickly and efficiently. The machine includes a manual spray trigger, so you can decide how much solution to use depending on the surface and the damage., The Spotlifter is a fairly maneuverable appliance--about the same to handle as the average large hand vacuum. Filling and emptying the separate clean and dirty water tanks is notably simple--they just slide off the back end of the machine one at a time. The brush roll cartridge is also removable for easy upkeep or replacement of the brushes. The cleaner comes with an 8-ounce starter bottle of Little Green Cleaning Solution. Bissell also includes a circuit interrupting safety device and a one-year warranty.","Handheld carpet cleaner with rotating brush lifts spots, stains and dirt in one easy step, Continuous suction and brushing to target stains and spots on carpet and upholstery. Power Rating: 2 amps, 18ft long power cord for continuous power and cleaning. Rotating brush helps loosen dirt and stains Spray,suction cleans and dries in one step, 12 ounce dirty tank capacity and easy fill water system;Surface Type: Carpet, Low Pile Carpet, Stairs, Upholstery, Trial size 2X Little Green Formula included, Continuous suction and brushing to target stains and spots on carpet, Motorized dual brush roll, Manual spray trigger lets you control cleaning solution, Brush cartridge removes for clean-up and maintenance, Ships in Certified Frustration-Free Packaging",Bissell,5419
B000255QLG,Seachem Flourish Tabs 10 Count,"Pet Supplies, Fish and Aquatic Pets, Aquarium Water Treatments","Sachem Flourish Tablets are growth-stimulating tablets for plant roots. They contain essential trace elements, amino acids, and vitamins. They are rich in iron, manganese, magnesium, calcium, potassium, inositol, choline B12, biotin, and other factors that have been determined to be beneficial to aquatic plant roots. Seachem Flourish Tabs contain no phosphate or nitrate that would promote algae proliferation. Each pack of ten tablets treats a 12 X 30 inch plant bed twice. For best results, use in combination with Flourish.","Gravel bed supplement, For planted aquariums, Essential trace elements, amino acids, and vitamins",Seachem,2151
B000255OUO,"Zoo Med Reptile Lamp Stand, Full Size","Pet Supplies, Reptiles and Amphibians, Terrarium Heat Lamps and Mats, Heat Lamps","Use a Reptile Lamp Stand to safely suspend any of Zoo Meds Clamp Lamp fixtures or Drippers above your enclosure. The Reptile Lamp Stand is available in two sizes, both with adjustable height and length as well as power cord clips and a large base for stability.","The larger stand easily adjusts from 8-15 (20-38 cm) long and 20-38"" (50-97 cm) high to fit most standard size terrariums."", Safely stabilizes suspended lamps, Fits most standard aquariums and terrariums",Zoo Med,8832
B0002568WC,"Kaytee Mixed Berry Flavor Yogurt Chips For Rabbit And Guinea Pig, 3.5-Oz Bag","Pet Supplies, Small Animals, Treats","Kaytee Yogurt Chips are delicious, fortified fruit flavored yogurt treats your pet will crave. Provide these treats as a special reward or as an every day snack.","Tasty, Nutritious Treat, Ideal For Bonding And Playtime, Yogurt Flavored Treat, Specially Formulated For Guinea Pigs",Kaytee,6507
B0002604WQ,"Exo Terra Thermometer, Celsius and Fahrenheit","Pet Supplies, Reptiles andamp; Amphibians, Terrarium Thermometers","The Exo Terra Thermometer monitors temperature levels effectively and easily. It comes equipped with the option to monitor the temperature of your terrarium in either Celsius or Fahrenheit. The Exo Terra Thermometer is easy to read and install. Maintaining the proper temperature and humidity levels in a terrarium is vital for the well-being and health of all reptiles and amphibians. Exo Terra has developed a complete line of terrarium accessories, including the Exo Terra Thermometer that will help you monitor and maintain proper temperature and humidity levels for tropical, rainforest and desert environment.","For monitoring terrarium temperature levels, Easy to read and install, Celsius or Fahrenheit options",Exo Terra,4557
B0002APIJG,Seachem Stability 250ml,"Pet Supplies, Fish andamp; Aquatic Pets, Aquarium Test Kits","SeaChem Stability will rapidly and safely establish the aquarium biofilter in freshwater and marine systems, thereby preventing the #1 cause of fish death: ""new tank syndrome"". Stability is formulated specifically for the aquarium and contains a synergistic blend of aerobic, anaerobic, and facultative bacteria which facilitate the breakdown of waste organics, ammonia, nitrite and nitrate. Unlike competing products, the bacteria employed by Stability are non-sulfur fixing and will not produce toxic hydrogen sulfide. SeaChem Stability is completely harmless to all aquatic organisms as well as aquatic plants, thus there is no danger of over use. SeaChem Stability is the culmination of nearly a decade of research and development and represents the current state of the art in natural biological management.","Superior Tank Starter, ""Cant Overdose"", Fresh and saltwater use, <span class=""a-size-base a-color-secondary"">\n                Product shelf life is 4 years from date of manufacture, see expiration date below.\n            </span>, <span class=""a-size-base a-color-secondary"">\n                Stability should ideally be used in conjunction with biological filtration such as Seachem Matrix. For emergency ammonia control, use Seachem AmGuard.\n            </span>, <span class=""a-size-base a-color-secondary"">\n                Stability is completely harmless to all aquatic organisms as well as aquatic plants, thus there is no danger of over use. \n            </span>, <span class=""a-size-base a-color-secondary"">\n                Stability is the culmination of nearly a decade of research and development and represents the current state of the art in natural biological management. \n            </span>, <span class=""a-size-base a-color-secondary"">\n                The bacteria used in competing products are inherently unstable. The conditions necessary for their growth and development fall into a very narrow range of temperatures, pH, organic loads, etc. \n            </span>, <span class=""a-size-base a-color-secondary"">\n                When any of these parameters are not strictly within the proper range, the bacterial culture quickly crashes and dies. Stability does not contain any of the aforementioned bacteria.\n            </span>",Seachem,6603
B0002AQITK,Marina Floating Thermometer with Suction Cup,"Pet Supplies, Fish and Aquatic Pets, Aquarium Water Treatments","The Marina Floating Thermometer is the perfect way to make sure the water temperature in your aquarium is just right for all your fish friends! The thermometer is easy to read and has a safety zone indicator for most tropical fish, so you know that temperature is just right for your fish. The Marina Floating Thermometer is equipped with suction cups so it will stay stuck on your aquarium at all times.","Easy-to-read floating thermometer with suction cups, Includes a safety zone indicator, Equipped with suction cups, Ensures your aquarium is at a proper temperature, 4.25 inches tall",Marina,654
B0002AQKIO,"Fluval Carbon, 100-gram Nylon Bags - 3-Pack","Pet Supplies, Fish and Aquatic Pets, Aquarium Pumps and Filters, Filter Accessories","Fluval Activated Carbon provides many benefits in both fresh and marine water. The high quality carbon provides a large porous area to trap minute particles. Besides providing a small sieve for mechanical trapping of organic wastes, carbon also removes liquid wastes from water. These include urine, dyes or impurities in solution. This action provides sparkling clear water in the aquarium. The large internal surface area also provides numerous points for important bacterial colonies to form and thrive. Carbon should always be removed during medication. It has also been recently noted that carbon will adsorb a large percentage of many of the nutrients in plant fertilizer products. As such, it should be used carefully when keeping live plants. Carbon loses its activity without outward sign. In general, carbon should be replaced on a monthly basis to ensure that active adsorption is maintained., <div class=""aplus""> <img src=""https://images-na.ssl-images-amazon.com/images/G/01/Hagen/fluvalexpanded._V347497123_.jpg"" style=""vertical-align: middle;""/> <h5>Fluval Carbon</h5>, Fluval Carbon Filter Media Insert is capable of adsorbing most liquified impurities and dyes present in aquarium water. It does not contain phosphates and will not change the pH of the aquarium water. Fluval carbon is very pure activated carbon that is ideal in both fresh and salt water. The inner matrix structure provides a large porous area that permanently traps organic waste while removing liquid wastes such as urine, dyes or many other impurities from the water. The result is sparkling clear aquarium water., Fluval Carbon Filter Media Insert is capable of adsorbing most liquified impurities and dyes present in aquarium water. It does not contain phosphates and will not change the pH of the aquarium water., Fluval Aquarium Filter Foam Blocks provide mechanical straining of particulate waste. It prevents particulate waste from prematurely clogging other filter media in the module stack., Fluval BioMax Media Inserts have a complex pore system creating an optimal environment where beneficial bacteria can thrive., Fluval Ammonia Remover is a natural ion-exchange media designed to remove toxic ammonia as water passes over it. Controlling ammonia levels reduces stress on fish., Clearmax Phosphate Remover traps phosphate, nitrate and nitrite. It also reduces odors, makes maintenance easier and provides crystal clear water to create ideal conditions for fish., Fluval Zeo-Carb is a premium blend of research grade Fluval Carbon and Fluval Ammonia Remover. Working together, these highly effective media eliminate liquefied impurities., Fluval Water Polishing Pads are uniquely designed to fit Fluval Canister Filters. These extra thick micro-fine polyester pads effectively trap micro particles and debris as water passes through., Fluval Pre-Filter is designed to capture solid waste before they reach other media. This prevents premature clogging of finer filters and extends their life, reducing media replacements frequency., Fluval Peat Granules are the all-natural way to soften aquarium water and achieve the pH levels required for breeding and rearing certain tropical fish., Fluval bio-foam combines mechanical and biological filtration. Its porous structure increases surface area for the growth of helpful nitrifying bacteria.","No Fabric, Made in USA or Imported, Premium, research grade, low-ash carbon, Improves water clarity and color, while also removing odors, Effectively removes heavy metals, odors, discolorations, Remove when medication is being administered in aquarium water; Use carefully when keeping live plants, 3-pack; Economical way to purchase inserts",Fluval,1368
