userId,profile
A22CO775VAB6NC,This person likes shopping genres such as Pet Supplies.
AP1RZGWLS0P14,This person likes shopping genres such as Pet Supplies.
AIZD08IEFVNIH,This person likes shopping genres such as Pet Supplies.
A30KQ6MNQ964DD,This person likes shopping genres such as Health and Household.
A33SX40W4IBRC3,This person likes shopping genres such as Pet Supplies.
A1BDHQC62Q77HM,This person likes shopping genres such as Pet Supplies.
AHYXOF77BB4Y7,This person likes shopping genres such as Pet Supplies.
A2KML8U9LNY0Q9,This person likes shopping genres such as Pet Supplies.
AM5LW697PGGXE,This person likes shopping genres such as Pet Supplies.
A3JN1N61W72T8F,"This person likes shopping genres such as Electric Clippers, Electric Clippers and Blades, Dogs, Pet Supplies, Patio Lawn and Garden, Grooming."
A100WO06OQR8BQ,This person likes shopping genres such as Pet Supplies.
A10V4TS7PVXTP5,"This person likes shopping genres such as Bowls and Dishes, Basic Bowls, Dogs, Pet Supplies, Feeding and Watering Supplies."
A3JTV61CGZK99M,This person likes shopping genres such as Patio Lawn and Garden.
A7KN60UMG6547,This person likes shopping genres such as Health and Household.
A3IQ12USN2WPB0,This person likes shopping genres such as Pet Supplies.
AF7NA2LG8FPFO,This person likes shopping genres such as Pet Supplies.
A9DFIJS9GOEFO,"This person likes shopping genres such as Pet Supplies, Home and Kitchen."
A2PJLIHDMJ4OJG,This person likes shopping genres such as Pet Supplies.
A3EED4PI36IVP6,This person likes shopping genres such as Pet Supplies.
A1AGTQEKRYNL9E,This person likes shopping genres such as Pet Supplies.
A3JYUMK5DRS0FS,This person likes shopping genres such as Pet Supplies.
A2H5NM5JW2QJNM,This person likes shopping genres such as Patio Lawn and Garden.
A10R7SV028XDWI,This person likes shopping genres such as Pet Supplies.
A10QMV4IYO6EBX,"This person likes shopping genres such as Collars Harnesses and Leashes, Dogs, Pet Supplies, Collars, Training Collars."
A6LFVO6S4MASM,This person likes shopping genres such as Pet Supplies.
A2PI5852QSJ5MW,This person likes shopping genres such as Pet Supplies.
AYQY1RKFXFF8A,This person likes shopping genres such as Pet Supplies.
A32S91OJW59K9H,This person likes shopping genres such as Pet Supplies.
A6NGEFIV9TPEK,This person likes shopping genres such as Pet Supplies.
A18567T251NCNQ,This person likes shopping genres such as Patio Lawn and Garden.
A30M98HWJ4JJK0,"This person likes shopping genres such as Pet Supplies, Kitchen and Dining."
A3KW75LIXJRZ5D,This person likes shopping genres such as Pet Supplies.
A3O26N290U3VI0,This person likes shopping genres such as Patio Lawn and Garden.
A2E450W0ZWFTNZ,"This person likes shopping genres such as Pet Supplies, Filters, Aquarium Pumps and Filters, Fish and Aquatic Pets."
A1SP5Z8QYDMUEU,This person likes shopping genres such as Pet Supplies.
A1SCPDZC4NN74N,This person likes shopping genres such as Pet Supplies.
A1TCGAI0ABM1S0,This person likes shopping genres such as Pet Supplies.
