itemId,title,category,description,option1,option2,option3
1597750328,TOPO! National Geographic USGS Topographic Maps (California),"Software, Education andamp; Reference, Maps andamp; Atlases","""National Geographics TOPO! State Series CD-ROM equips backcountry explorers with the maps they need to reach mountain peaks, secluded lakes, and every road in between. Just pop this CD-ROM into your computer, and with easy-to-use tools, you can create your routes, generate elevation profiles, and view maps and trails in 3D. You can also transfer routes and waypoints between your computer and your GPS. The State Series uses the most detailed USGS topographic maps available, showing essential landmarks and navigational aids, so youll know where to go on your backpacking, mountain biking, kayaking, and fishing adventures."", ""TOPO! State Series takes the hassle out of finding detailed maps for your next outdoor adventure. Each title contains thousands of high-resolution scans of authentic USGS 7.5 topographic maps. All maps are seamless, and easily printed from your home printer. Add trails, notes, symbols, photos and more with the easy-to-use map creation tools. A 3D mode enables you to preview your route and tour the landscape. Tell your GPS where to go, or download where youve been, with TOPO!s intuitive GPS import/export tool which is compatible with most devices from Garmin, Magellan and more. Take the guess work out of trip planning and calculate true terrain distances and view detailed elevation profiles. TOPO! State Series is available for all 50 U.S States and is both Mac and PC compatible."", ""<strong>Browse 5 Levels of Seamless Detailed Maps</strong><br /> TOPO! gives you five levels of map detail, from two National Geographic Atlas maps to a USGS 1:24,000 scale (7.5) seamless topographic map--the most detailed outdoor recreation maps available. Maps include: Two National Geographic Atlas Maps, for a State perspective. USGS 1:500,000 scale maps, highlights public lands. USGS 1:100,000 Scale Topographic Maps, Mid-scale topos perfect for planning long trips. USGS 1:24,000 Scale Topographic Maps, the most detailed terrain maps available. TOPO! maps are full color, high resolution scans of authentic USGS topographic maps, providing the best image quality available."", ""<strong><br /> Create and Print Your Own Custom Trail Maps</strong><br /> Create your own trail maps or keep a detailed journal of our outdoor activities with TOPO!s easy-to-use map creation tools. Add text, detailed notes, photos, symbols, waypoints, compass headings and more. Customized maps are easily saved for future updates, printing, or sharing with friends. TOPO! was designed to make printing great maps at home hassle-free. Simply center the area you wish to print, select your page size (including support for plotters) and orientation (portrait v. landscape) and print. Users looking for more advanced printing options will find support for setting specific scales, adding coordinate grids and magnetic declination, including elevation profiles of your routes, even printing adjoining maps."", <strong><br /> Tell Your GPS Where to Go!</strong><br /> Using TOPO!\s route tool, simply draw your path on the detailed maps and upload via your GPS manufacturer\s computer connection cable (not supplied). Then hit the trail! Looking to save your adventures or create detailed maps of your favorite park? Use your GPS receiver\s track log feature to collect a ""bread-crumb"" trail of your path. Simply import, and TOPO! will display your path on the detailed maps, ready for your editing and customization. TOPO!\s import/export GPS features are compatible with nearly all devices from Garmin and Magellan, plus select Suunto Wrist-top computers, Lowrance, and Eagle devices. Magellan Triton GPS receivers can also import and display map data!, <strong><br /> View Your Trip in 3D and Calculate Exact Distances</strong><br /> TOPO! features an intuitive 3D view, enabling you to tilt, pan, and fly through the landscape, providing the perfect perspective for visualizing your route and the surrounding terrain. Coupled with the accurate tools for measuring true terrain distances and slope, and determining elevations, geographic coordiantes and compass headings (accounting for magnetic declination), TOPO! gives you the information necessary for navigating the outdoors safely., ""<strong><br /> Packed with Additional Features</strong><br /> Navigation and outdoor pros will a myriad of advanced features to meet their unique needs. Maps from TOPO! can be easily exported for use in other software applications or printed on plotters. TOPO! supports import of the popular GPX file format, as well as delimited text files for parsing lists of coordinate data. Advanced search features enable you to find items of a specific type within a distance radius and instantly create waypoints for them--for example: springs within a mile of camp, summits within two miles of basecamp, or landing strips within 50 miles of the trailhead. Stay up-to-date with TOPO!s built in LiveMap Update utility, enabling you to download new maps or software updates as they become available."", ""<strong><br />About TOPO! California</strong><br /> TOPO! California is one of 28 different TOPO! State Series, contains 2 DVDs and is compatible with both Mac and PC (Including the latest operating systems). TOPO! Califoria contains over 2,500 seamless USGS 1:24,000 scale (7.5) topographic maps, covering the entire State. This includes popular destinations such as Yosemite NP, Sequoia/Kings Canyon NPs, Death Valley NP, Joshua Tree NP, Lake Tahoe, Santa Monica Mountains, Channel Islands, Mt. Shasta, San Francisco Bay Area, and Los Angeles Basin."", <strong><br /> About National Geographic Maps</strong><br /> Founded in 1915 as the Cartographic Group, the first division of the National Geographic Society, National Geographic Maps has been responsible for illustrating the world around us through the art and science of mapmaking for nearly 100 years., Today, National Geographic Maps continues this mission by creating the world s best wall maps, recreation maps, atlases, and globes which inspire people to care about and explore their world. All proceeds from the sale of National Geographic maps go to support the Society s non-profit mission to increase global understanding and promote conservation of our planet through exploration, research, and education., ","Print photo quality USGS topographic maps, ""GPS Ready - Easiest Way to tell your GPS where you want to go and record where youve been"", Navigate in three dimensions with 3D fly-thru and instant elevation profiling, Customize maps with photos, notes and icons, Live Map Update ensures you always have the most current maps and software",National Geographic,8663
B00000K4CS,Axis &amp; Allies - PC,"Software, ""Childrens"", </span></span></span>, The Time: Spring 1942, The Place: The World at War, The Challenge: Change the Course of History! Mobilize your country, command your forces and attack the enemy on land, sea and air.","""Platform:WINDOWS 98/ME/2000/XPPublisher:HASBRO Packaging:JEWEL CASERating:EVERYONEThe Time: Spring 1942 The Place: The World at War The Challenge: Change the Course of History! Mobilize your country command your forces and attack the enemy on land sea and air. March massive armies of tanks and infantry into the enemys heartland. Dominate the worlds oceans with your mighty fleets. Launch grand scale bombing raids and destroy the enemys ability to wage war. It is all in your hands. Decide the fate of your nation and the destiny of the world. Game Features:  Solo or Multi-player gaming up to 5 players Customize your units strengths and movement ability Play an opponent over the LAN or modem-to-modem or the Internet via Microsofts Gaming Zone  The Ultimate World War II Strategy Game The year is 1942. Five world powers are struggling for supremacy. The Axis war machine of Germany and Japan appears invincible. The Balkans have fallen. Pearl Harbor has been attacked. Wake Island is in Japanese hands. Rommel has the British on the run in North Africa. Challenging this expansionism are the Allied powers of the United Kingdom the U.S.S.R. and the United States. At this explosive moment in history you take command. System Requirements Pentium 133mhz or faster  16MB RAM  40MB HD 4x cd-rom drive Sound Card Mouse"", ""The year is 1942. The Axis war machine appears invincible. The Balkans have fallen. Pearl Harbor has been attacked. Wake Island is in Japanese hands. And Rommel has the British on the run in North Africa. Only one game can put you in the middle of such a realistic wartime scenario. And that game is <i>Axis andamp; Allies</i>. As the world powers battle for supremacy in 1942, you must spearhead your countrys military drive. You will decide where to strike and when to strike: whether you make a strategic bombing raid, sneak submarine attack, hit-and-run infantry attack, or anti-aircraft barrage. Plan your attack. Move into the embattled territory with your forces and resolve the conflict. The economic destiny of your nation is also at stake. Buy armaments and develop secret weapons from your stockpile with an income based on successful territorial expansion. Whether played solo, multiplayer, or over the Internet, Axis and Allies will challenge you to decide the outcome of World War II.""","The Time: Spring 1942, The Place: The World at War, The Challenge: Change the Course of History! Mobilize your country, command your forces and attack the enemy on land, sea and air.","by
    
    MicroProse",8220
B00004Z0C8,Garmin MapSource U.S.A. Topographical Map CD-ROM (Windows),"Software, Education andamp; Reference, Maps andamp; Atlases","""With the U.S. Topo CD and your PC, you can download topographic detail to your compatible GPS. Youll see terrain contour, elevation information, shoreline detail, bathymetric contours, hiking and snowmobile trails and more. You can also use MapSource to create routes and waypoints on your PC and transfer them to your GPS. Similar to USGS 1;100,000 topographic paper maps. Three-CD set includes highways, trails, streams, rivers, elevation cuntours, bathymetrics, summits, churches and schools. Shows inland shore detail of lakes, rivers, boat ramps, marinas and facilities, and provides US nav aids. The map download feature of this product is recommended for use with the GPS III Plus, NavTalk, GPS 12MAP, and GPSMAP 162/168. It is compatible with StreetPilot GPS, StreetPilot ColorMap, GPSMAP 295, and eMap, which require a blank 8 or 16MB cartridge to upload map data to these compatible units.<!-- garmin-store-cartography -->"", ""Garmins United States TOPO MapSource CD-ROM is similar to U.S. Geological Survey 1:100,000-scale topographic paper maps. It includes trip and waypoint management functions that allow you to transfer waypoints, routes, and tracks between your PC and nearly all Garmin GPS units (excluding the GPS 100 family and panel-mount aviation units). With MapSource, you can view highways, roads, hiking trails, snowmobile trails, backwoods trails, elevation contours, point and summit elevations, some bathymetric contours, geographic names, churches, and schools. Shoreline detail is included for lakes, reservoirs, small bodies of water, waterways, rivers, and streams. Icons represent boat ramps, dams, marinas, campgrounds, public facilities, mile markers, first aid stations, picnic sites, swimming areas, ski areas, wrecks, fuel locations, and dangerous and restricted areas."", In addition, nautical navigational aids for the 50 states are provided, including radio beacons, RACONs, and fog signals; river, harbor, and other lights; and day beacons and lighted and unlighted buoys. Shipwrecks, submerged rocks, obstructions, and other hazards to nautical navigation are also displayed., <b>Note on compatibility:</b> The trip and waypoint management functions of this product work with nearly all Garmin GPS units, excluding the GPS 100 family and panel-mount aviation units. Specifically, the map-download features of this product work with the eTrex Legend, eTrex Vista, eMap, GPS V, StreetPilot, StreetPilot ColorMap, StreetPilot III, and GPSMAP 76, 162, 168, 176, and 295. Some units may require a Garmin data card to upload map data.","Similar to U.S. Geological Survey 1:100,000-scale topographic paper maps, View highways, roads, hiking trails, snowmobile trails, backwoods trails, and shoreline detail, Icons represent boat ramps, campgrounds, public facilities, swimming, and ski areas, Transfer waypoints, routes, and tracks between your PC and nearly all Garmin GPS units, See Product Description for compatible Garmin products",Garmin,6276
B00004Z0C9,Garmin MapSource WorldMap (CD-ROM),"Software, Education and Reference, Maps and Atlases","""If youre heading for remote parts of the world, WorldMap has you covered. WorldMap provides basic worldwide maps for your Garmin device, including areas where no other detailed maps are available. These general maps display political boundaries, coastlines, cities and towns, major interstates and highways, lakes and rivers, and urban areas and railroads. WorldMap also includes U.S. Interstate exit information, including fuel and service stations, restaurants, hotels, campsites, hospitals, and banks. WorldMap is most useful for those parts of the world where no other detailed Garmin maps are available."", ""Garmins WorldMap MapSource CD-ROM provides worldwide coverage with base map-level detail, including political boundaries, cities, towns, major motorways and/or interstates, and principal highways; lakes, major streams, and rivers; and urban areas and railroads. WorldMap displays excellent coastline detail that includes many offshore islands, as well as worldwide nautical navigation aids such as day beacons, radio beacons, RACONs, fog signals, lights, and buoys. Also shown are U.S. interstate exit information, such as service stations, gas stations, restaurants, hotels, campsites, hospitals, banks, and more. WorldMap includes management functions that allow you to transfer waypoints, routes, and tracks between your PC and nearly all Garmin GPS units (excluding the GPS100 family and panel mount aviation units) while viewing base map-level maps on your PC screen."", It is recommended for use with the GPS III Plus, NavTalk, GPS 12MAP, and GPSMAP 162/168. It is compatible with StreetPilot GPS, StreetPilot ColorMap, GPSMAP 295, and eMap, which require a blank 8 or 16 MB cartridge for loading map data.","Worldwide coverage with base map-level detail (v4), Includes political boundaries, cities, towns, and principal highways, Displays U.S. interstate exit information, Management functions allow you to transfer waypoints, routes, and tracks between your PC and nearly all Garmin GPS units, See Product Description for compatible Garmin products",Garmin,8212
B00005QSRJ,Magellan 980611 MapSend Topo in the US,"Software, Education and Reference, Maps and Atlases","Magellan GPS Map 410 Vehicle Mount Bracket with Suction Cup, Maximize the potential of your Magellan GPS receiver. The MapSend Topo for the United States CD-ROM provides the capability to download highly detailed maps into your Meridian and MAP 330 family of products. These are detailed topographic maps including  trails, streets, rivers, lakes, coastlines, and recreational points of interest for the entire United States. Customize the map sizes and regions to your needs., Create waypoints and routes and then download them directly into your Meridian or MAP 330 for use in the field or save them to your PC. Download your tracks from your GPS handheld to view on MapSend. Use the search function to easily find elevations, trails, street addresses, cities, lakes and waterways, parks, airports, campgrounds, geysers, waterfalls, towers, caves, mines, summits, dams, bridges, and more., ""Magellans topographic maps are derived from the U.S. Governments Digital Elevation Model (DEM). This allows elevation readouts for every location on the map for both the PC and the Magellan receiver."", The MapSend Topo for the United States CD-ROM is compatible with Windows 95, 98, and NT 4.0 or later. You will also need PC cable for both the Meridian series and the MAP 330 series.",,Magellan,7094
B0001KFLOY,Garmin MapSource Trip and Waypoint Manager,"Software, Education and Reference, Maps and Atlases","Simplify pre-trip planning for your next outdoor adventure or business trip by using MapSource Trip and Waypoint Manager to transfer waypoints, routes and tracks between your Garmin GPS and PC. Simply plan your next trip on a PC, download GPS data to your Garmin unit, and go. Do not forget to use Trip and Waypoint Manager to archive GPS data for future use. Back up waypoints, routes and tracks that you have saved on your Garmin GPS to your PC using the Trip and Waypoint Manager software. Trip and Waypoint Manager comes with a general worldwide database that provides basic cartography, including interstates, motorways, oceans, and various other general reference detail to help you plan your next trip. Map detail also includes political boundaries, principal cities and towns. This trip planning CD is designed for use with Garmin units that have no built-in map detail or city point database. See the product compatibility table (above right) for a list of products that Garmin recommends with this software, The Garmin MapSource Trip and Waypoint Manager is the complete tool for managing your compatible Garmin GPS unit. By using a combination of governmental and private data sources, Garmin MapSource delivers outstanding map details for a wide array of countries and geographic data that you can view on your computer or load on your GPS unit. This software will help you to transfer MapSource information to your Garmin GPS and get the most out of your MapSource data., <table align=right width=150 cellpadding=10> <tr> <td> <a href=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page/maps-2-lg.jpg""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page/maps-2-sm.jpg"" border=1 align=top></a><br><small><i><b>Mark waypoints, such as hotels, parks, or airports. <a href=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page/maps-2-lg.jpg"">View larger</a>.</b></i></small></td></tr> <tr> <td> <a href=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page/maps-3-lg.jpg""><img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page/maps-3-sm.jpg"" border=1 align=top></a><br><small><i><b>Transfer routes between your Garmin GPS and your PC. <a href=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page/maps-3-lg.jpg"">View larger</a>.</b></i></small></td></tr> </table> <table align=left width=200 cellpadding=10> <tr> <td> <img src=""https://images-na.ssl-images-amazon.com/images/G/01/electronics/detail-page/maps-1-lg.jpg"" border=0 align=top><a/><br><small><i><b>The MapSource Trip and Waypoint manger will make pre-trip planning a breeze.</b></i> <small></td></tr></table> The MapSource window contains five main components: the toolbars, data tabs, splitter bar, graphic map, and status bar. Using the Map Select tool, you can highlight a section from a detailed map that you intend to use on your trip. The map selection will then turn pink, and you can transfer that section to your Garmin GPS unit. This feature allows you to download only the information that you\ll need. If the map set is too big, you can deselect some regions or shrink the selected area to fit the memory of your Garmin GPS. The MapSource software makes it easy to customize your maps to fit your needs and your GPS unit\s capacity., ""You can simplify your pre-trip planning for your next outdoor adventure or business trip by using the MapSource software to transfer waypoints, routes, and tracks between your Garmin GPS and PC. Plan your next trip on your PC, download customized GPS data to your Garmin unit, and hit the road. The Trip and Waypoint Manager also lets you archive your GPS data for future use. And with this software, you can back up waypoints, routes, and tracks that youve saved on your Garmin GPS to your PC, ensuring that youll always have quick access to all the travel information that youll need."", This software comes with a general worldwide database that provides basic cartography, including interstates, motorways, oceans, and various other general reference details to help you plan your next trip. Map detail also includes political boundaries and principal cities and towns. This trip-planning CD is designed for use with Garmin units that have no built-in map detail or city point database and is compatible with a wide array Garmin products., <br clear=""all""> <b>Note:</b> This product does not contain any detailed maps and is not compatible with iQue. See the product\s Technical Data for a full list of compatible Garmin GPS units.","Helps you get the most out of your Garmin GPS unit, Select particular sections of the Garmin maps to upload to your GPS, Customize the size of your selected map sets to fit the memory of your GPS unit, Simplifies pre-trip planning by utilizing your PC to plot and transfer routes, Designed for use with Garmin units that have no built-in map detail",Garmin,6879
B0001LUH9M,FileMaker Pro 7,"Software, Programming and Web Development, Database, Filemaker","""FileMaker Pro 7 is a revamped version of the already-powerful database tool. The newest version of this database tool has enhanced relational capabilities, easier integration with enterprise databases, and deeper security. Combined with support for new file formats and other development tools, its a new way of organizing data, according to your needs!"", FileMaker Pro 7 database software is simply the fastest, easiest way to effortlessly manage people, projects, images, and information. It helps you gain insights into your business so you can make more informed decisions. FileMaker Pro 7 helps you organize, manage, and share all of your data regardless of file type, so you can uncover critical business information. Now you can turn your ideas into productive, creative, and customized solutions that you can tailor to solve your specific business problems, and share them securely with your whole workgroup., Top Five Features: <ul> <li>NEW! File management--store or link to files from any popular format including PDF, PowerPoint, Excel, Word, JPEG, and more <li>NEW! Multiple views--open more than one window in your database to get multiple views of your information <li>NEW! Dramatically increase the capacity of your database--up to 8 terabytes (4,000 times current limit) <li>NEW! More accurate data entry, safer updates--confirm all record and layout changes before they are saved <li>NEW! Relational model--improved relational architecture allows you to link data through a visual map of your database </ul>, Organize all your information in one place, ""Finally you can have all your information in one place so youll have instant access to the information and files you need. <ul> <li>Track any type of information, including text, numbers, pictures, movies, sounds, Microsoft Word documents, Excel spreadsheets, Adobe Acrobat files, and more. <li>Store as much information as you want because database size is virtually unlimited. <li>Find any detail instantly by simply switching to Find mode and entering your search terms. <li>Organize and view related information by easily linking data to show a more complete picture of the information. For example, instead of just viewing a single customers contact details, you can see all their related invoices and every contact in your database for that company. </ul>"", Be productive instantly, ""Get up and running in minutes whether you want to manage a simple mailing list or a complex inventory tracking system. With FileMaker Pro 7, its easy to create solutions that meet todays challenges and be ready for tomorrows. <ul> <li>Comes complete with 30 starter solutions that are ready to use right away. <li>Import virtually any type of information including Excel files, Access data, digital pictures, movies, and more--no data entry required! <li>Use the Layout and Report Assistant to guide you through creating layouts, labels, and reports so your screens and reports look just the way you want. <li>When youre ready to expand, tap into the network of FileMaker users and developers around the world for customized solutions and ideas on how FileMaker can automate even more of your business. </ul>"", Securely share your data, ""The value of data increases exponentially when its shared. FileMaker Pro 7 helps you securely share critical business data by: <ul> <li>Extending rich business solutions to coworkers, customers, vendors, and others, peer to peer or with Instant Web Publishing <li>Ensuring more accurate data entry and safer updates <li>Controlling your user privileges and access through a new, advanced security system </ul>""","Track and manage people, projects, images, and data, Do more, faster with 30 starter solutions, Exchange data with a virtually limitless number of applications, Store, track, and archive files and documents, Secure data with assigned accounts and privileges",Filemaker Inc.,7024
B00000K4CS,Axis &amp; Allies - PC,"Software, ""Childrens"", </span></span></span>, The Time: Spring 1942, The Place: The World at War, The Challenge: Change the Course of History! Mobilize your country, command your forces and attack the enemy on land, sea and air.","""Platform:WINDOWS 98/ME/2000/XPPublisher:HASBRO Packaging:JEWEL CASERating:EVERYONEThe Time: Spring 1942 The Place: The World at War The Challenge: Change the Course of History! Mobilize your country command your forces and attack the enemy on land sea and air. March massive armies of tanks and infantry into the enemys heartland. Dominate the worlds oceans with your mighty fleets. Launch grand scale bombing raids and destroy the enemys ability to wage war. It is all in your hands. Decide the fate of your nation and the destiny of the world. Game Features:  Solo or Multi-player gaming up to 5 players Customize your units strengths and movement ability Play an opponent over the LAN or modem-to-modem or the Internet via Microsofts Gaming Zone  The Ultimate World War II Strategy Game The year is 1942. Five world powers are struggling for supremacy. The Axis war machine of Germany and Japan appears invincible. The Balkans have fallen. Pearl Harbor has been attacked. Wake Island is in Japanese hands. Rommel has the British on the run in North Africa. Challenging this expansionism are the Allied powers of the United Kingdom the U.S.S.R. and the United States. At this explosive moment in history you take command. System Requirements Pentium 133mhz or faster  16MB RAM  40MB HD 4x cd-rom drive Sound Card Mouse"", ""The year is 1942. The Axis war machine appears invincible. The Balkans have fallen. Pearl Harbor has been attacked. Wake Island is in Japanese hands. And Rommel has the British on the run in North Africa. Only one game can put you in the middle of such a realistic wartime scenario. And that game is <i>Axis andamp; Allies</i>. As the world powers battle for supremacy in 1942, you must spearhead your countrys military drive. You will decide where to strike and when to strike: whether you make a strategic bombing raid, sneak submarine attack, hit-and-run infantry attack, or anti-aircraft barrage. Plan your attack. Move into the embattled territory with your forces and resolve the conflict. The economic destiny of your nation is also at stake. Buy armaments and develop secret weapons from your stockpile with an income based on successful territorial expansion. Whether played solo, multiplayer, or over the Internet, Axis and Allies will challenge you to decide the outcome of World War II.""","The Time: Spring 1942, The Place: The World at War, The Challenge: Change the Course of History! Mobilize your country, command your forces and attack the enemy on land, sea and air.","by
    
    MicroProse",8220
B00004Z0C8,Garmin MapSource U.S.A. Topographical Map CD-ROM (Windows),"Software, Education andamp; Reference, Maps andamp; Atlases","""With the U.S. Topo CD and your PC, you can download topographic detail to your compatible GPS. Youll see terrain contour, elevation information, shoreline detail, bathymetric contours, hiking and snowmobile trails and more. You can also use MapSource to create routes and waypoints on your PC and transfer them to your GPS. Similar to USGS 1;100,000 topographic paper maps. Three-CD set includes highways, trails, streams, rivers, elevation cuntours, bathymetrics, summits, churches and schools. Shows inland shore detail of lakes, rivers, boat ramps, marinas and facilities, and provides US nav aids. The map download feature of this product is recommended for use with the GPS III Plus, NavTalk, GPS 12MAP, and GPSMAP 162/168. It is compatible with StreetPilot GPS, StreetPilot ColorMap, GPSMAP 295, and eMap, which require a blank 8 or 16MB cartridge to upload map data to these compatible units.<!-- garmin-store-cartography -->"", ""Garmins United States TOPO MapSource CD-ROM is similar to U.S. Geological Survey 1:100,000-scale topographic paper maps. It includes trip and waypoint management functions that allow you to transfer waypoints, routes, and tracks between your PC and nearly all Garmin GPS units (excluding the GPS 100 family and panel-mount aviation units). With MapSource, you can view highways, roads, hiking trails, snowmobile trails, backwoods trails, elevation contours, point and summit elevations, some bathymetric contours, geographic names, churches, and schools. Shoreline detail is included for lakes, reservoirs, small bodies of water, waterways, rivers, and streams. Icons represent boat ramps, dams, marinas, campgrounds, public facilities, mile markers, first aid stations, picnic sites, swimming areas, ski areas, wrecks, fuel locations, and dangerous and restricted areas."", In addition, nautical navigational aids for the 50 states are provided, including radio beacons, RACONs, and fog signals; river, harbor, and other lights; and day beacons and lighted and unlighted buoys. Shipwrecks, submerged rocks, obstructions, and other hazards to nautical navigation are also displayed., <b>Note on compatibility:</b> The trip and waypoint management functions of this product work with nearly all Garmin GPS units, excluding the GPS 100 family and panel-mount aviation units. Specifically, the map-download features of this product work with the eTrex Legend, eTrex Vista, eMap, GPS V, StreetPilot, StreetPilot ColorMap, StreetPilot III, and GPSMAP 76, 162, 168, 176, and 295. Some units may require a Garmin data card to upload map data.","Similar to U.S. Geological Survey 1:100,000-scale topographic paper maps, View highways, roads, hiking trails, snowmobile trails, backwoods trails, and shoreline detail, Icons represent boat ramps, campgrounds, public facilities, swimming, and ski areas, Transfer waypoints, routes, and tracks between your PC and nearly all Garmin GPS units, See Product Description for compatible Garmin products",Garmin,6276
B00004Z0C9,Garmin MapSource WorldMap (CD-ROM),"Software, Education and Reference, Maps and Atlases","""If youre heading for remote parts of the world, WorldMap has you covered. WorldMap provides basic worldwide maps for your Garmin device, including areas where no other detailed maps are available. These general maps display political boundaries, coastlines, cities and towns, major interstates and highways, lakes and rivers, and urban areas and railroads. WorldMap also includes U.S. Interstate exit information, including fuel and service stations, restaurants, hotels, campsites, hospitals, and banks. WorldMap is most useful for those parts of the world where no other detailed Garmin maps are available."", ""Garmins WorldMap MapSource CD-ROM provides worldwide coverage with base map-level detail, including political boundaries, cities, towns, major motorways and/or interstates, and principal highways; lakes, major streams, and rivers; and urban areas and railroads. WorldMap displays excellent coastline detail that includes many offshore islands, as well as worldwide nautical navigation aids such as day beacons, radio beacons, RACONs, fog signals, lights, and buoys. Also shown are U.S. interstate exit information, such as service stations, gas stations, restaurants, hotels, campsites, hospitals, banks, and more. WorldMap includes management functions that allow you to transfer waypoints, routes, and tracks between your PC and nearly all Garmin GPS units (excluding the GPS100 family and panel mount aviation units) while viewing base map-level maps on your PC screen."", It is recommended for use with the GPS III Plus, NavTalk, GPS 12MAP, and GPSMAP 162/168. It is compatible with StreetPilot GPS, StreetPilot ColorMap, GPSMAP 295, and eMap, which require a blank 8 or 16 MB cartridge for loading map data.","Worldwide coverage with base map-level detail (v4), Includes political boundaries, cities, towns, and principal highways, Displays U.S. interstate exit information, Management functions allow you to transfer waypoints, routes, and tracks between your PC and nearly all Garmin GPS units, See Product Description for compatible Garmin products",Garmin,8212
