userId,profile
A3RDF3PT1CUYKM,This person likes shopping genres such as Software.
A7QWB0G58H9XJ,This person likes shopping genres such as Software.
A1ZS70JDVF4EDP,This person likes shopping genres such as Software.
A2K4I7IMWGCG8R,This person likes shopping genres such as Software.
A2K8NUOWYX6UMP,"This person likes shopping genres such as GPS and Navigation, Electronics."
A2YJ1K8M0KPHMF,This person likes shopping genres such as Software.
A3UO195ZCOA59U,This person likes shopping genres such as Software.
AXUJFOFQZNTN,This person likes shopping genres such as Software.
A14SVIOLT1RIO1,This person likes shopping genres such as Software.
A2Z60PVKWFO3SW,This person likes shopping genres such as Software.
A320GPH4KAB92A,This person likes shopping genres such as Software.
A2A7HB1D8X7LJA,"This person likes shopping genres such as GPS and Navigation, Software, Electronics."
A3FQN64RU3V4TZ,This person likes shopping genres such as Software.
A9V3420IFFZ9E,This person likes shopping genres such as Software.
A1N265AU36HHPB,This person likes shopping genres such as Software.
A3LFZWTYVJ1FXI,This person likes shopping genres such as Software.
AHS85540O5ZVV,This person likes shopping genres such as Software.
A31RL370LTK0ZX,This person likes shopping genres such as Software.
A38EGJ2ORIVDW4,This person likes shopping genres such as Software.
A2OB8V9SE7VTA9,This person likes shopping genres such as Software.
A1T69WTKDDU8VL,This person likes shopping genres such as Software.
A3V3UIDW166HFK,This person likes shopping genres such as Software.
AF1CC2C8YGLEC,This person likes shopping genres such as Software.
A1TIV15EUON66M,This person likes shopping genres such as Software.
A241XBT4L2CJJQ,This person likes shopping genres such as Software.
A2BQRCN4SE2X8B,This person likes shopping genres such as Software.
A3NG176OAAT0TT,This person likes shopping genres such as Software.
A5JFBFG0JE0VG,"This person likes shopping genres such as GPS and Navigation, Electronics."
A1AQU21VPSUEAZ,This person likes shopping genres such as Software.
A263ANQB9E8BIP,This person likes shopping genres such as Software.
AEQXGCBZGQ4KS,This person likes shopping genres such as Software.
A1IC1KFUZJCC77,This person likes shopping genres such as Software.
A161L8HS9PTQCV,This person likes shopping genres such as Software.
A1LE88MJQXN4UU,This person likes shopping genres such as Software.
AF5NYJZ2HRWIA,This person likes shopping genres such as Software.
A31DPYEBXJHXMR,This person likes shopping genres such as Software.
A3K174P2M430IO,"This person likes shopping genres such as GPS and Navigation, Electronics."
A2IW2P4EKR3ILI,This person likes shopping genres such as Software.
