userId,itemId,rating
A7LLIXTVFFP9W,B00004YT59,5.0
A2DAVZ0XIKHHLM,B0000789T2,5.0
A1J4M8PD9S79B6,B0000789T2,5.0
AF3N76PUNB4D8,B0000789T2,5.0
A25VI4VZ61487N,B0000789T2,4.0
A2688ZPBOPBVVO,B0000789T2,5.0
A35UBZDESLIOHE,B0000789T2,5.0
A6JV90PMDIYYX,B0000789T2,5.0
A2F2YYFUNIJLIF,B0000789T2,5.0
A1YWHJXSXCWTUV,B0000789T2,5.0
A394NF2N8EP7MT,B0000789T2,5.0
A3H8PA7AG48K33,B0000789T2,5.0
A2WXH0N26SJTN8,B0000789T2,5.0
A2OKO0O6QEW25I,B0000789T2,5.0
A37UQS6EWRMCQO,B0000789T2,5.0
AN5OOFEH45W46,B0000789T2,5.0
AILKGRMLEMGXC,B0000789T2,4.0
A14CPE16HGLDW2,B0000789T2,5.0
A11KQADBYE0UZL,B0000789T2,5.0
AJGU56YG8G1DQ,B0000789T2,5.0
A3U0CG57HIXDSD,B00009XVLO,5.0
A3Q092SGOGQUHV,B00009XVLO,5.0
A2AQ172NIYWHYS,B00009XVLO,5.0
A1X8IWQAZFN1TC,B00009XVLO,1.0
A1143YEAZYMYHJ,B00009XVLO,5.0
A1U5IJHJK84S54,B00009XVLO,3.0
A2NP9CGUSFP22E,B00009XVLO,5.0
A3TNQMD5FMZQLK,B0000C1Y10,5.0
ASDVD5E6WX76R,B0000C1Y10,5.0
A1QAX2EHA1Q5Z9,B0000C1Y10,5.0
AAY3WZSAPD0VV,B0000C1Y10,5.0
ALRLABYC88EV0,B0000C1Y10,5.0
A2CHDO0ZQFKUAW,B0000C1Y10,5.0
A1ECMCK3G8888A,B0000C1Y10,5.0
A2K5ENSC9ANISE,B0000C1Y10,5.0
A2KZWL4NQ65C7P,B0000C1Y10,5.0
A34NEPY29QSI1J,B0000C1Y10,5.0
A20U47A43A2RRK,B0000C1Y10,5.0
AGBEYJQKOQ83E,B0000C1Y10,5.0
APTN4M3EHBHUY,B0000C1Y10,5.0
ARQLGEUTKUL2V,B0000V0L9Y,5.0
A1VB56IPAIV1NS,B0000V0L9Y,5.0
A3SU4GZUTD5347,B0000V0L9Y,3.0
AH5J4JXKWF8PS,B0000V0L9Y,5.0
A2ZP3KILQERAZA,B0000V0L9Y,4.0
A10N1GV3MSUQBE,B0000V0L9Y,5.0
A5CDMTW6JKV5G,B0000V0L9Y,5.0
AACXZSAREHUHR,B0000V0L9Y,5.0
A3NNM295B5M7T3,B0000XMRRG,4.0
A12UGM39O9MLC9,B0002862UW,4.0
A18UVMEYZLT86Y,B0002862UW,5.0
A2ZWI4PIH18PDW,B0002862UW,4.0
AGGAQLXPVGM5D,B0002862UW,5.0
A3AZLBKXPVIBDU,B0002862UW,5.0
A1H6SBO7R007I8,B0002862UW,4.0
A3LAQ6T7Z3B7GA,B0002862UW,5.0
A1V0LN6UUSIMSK,B0002862UW,3.0
A2XYQXDHT7S8RM,B0002862UW,4.0
AJGV4AWBYXSX9,B0002862UW,5.0
A35MTYUO9EEHCI,B0002862UW,5.0
AT4JXBA04NV0J,B0002862UW,5.0
A3RS9CEHLVB55Y,B0002862UW,5.0
A3TBMAWIIHKHFN,B0002862UW,3.0
A1J1O33DW929DG,B0002862UW,1.0
A14SPPSJGJGGNW,B0002862UW,5.0
A2RNYW2HIQBGSM,B0002862UW,4.0
A2N9EJ4JPZ1513,B0002862UW,5.0
A5PM3LGUYI5R0,B0002862UW,5.0
A3BO00RVMMRVIK,B0002862UW,5.0
A2YW2W4WXU53QL,B0002862UW,5.0
A18U05IGMK1FVV,B0002862UW,2.0
AW68KVDV7BBRS,B0002862UW,2.0
A2UO64HDPXWM9V,B0002862UW,4.0
A2PU4LK158HLIA,B0002862UW,3.0
A2V1J3JT5OOZFO,B0002862UW,3.0
AFX5K00LCITU6,B0002862UW,4.0
A1PZMMLHIUZLGH,B0002862UW,5.0
A1DZFC5D7FZEFB,B0002TT36G,3.0
A1RJCTWRZ13D3F,B0002YTO7E,5.0
A1VQC0MWX3V260,B0002YTO7E,5.0
A1I5FHDX7AN19T,B0002YTO7E,5.0
A2EQ5HG8MCUF7U,B0002YTO7E,5.0
ARPLC1VTYN2M2,B0002YTO7E,5.0
AAZAF46N59MY0,B0002YTO7E,5.0
A2VI1E12R9TEV3,B0002YTO7E,3.0
A1O0F7CHHDY3XA,B0002YTO7E,5.0
AT28RL25Q2OLK,B0002YTO7E,2.0
A4YFNY6OQIY2T,B0002YTO7E,5.0
ASM0CR8PD60WP,B0002YTO7E,4.0
A3LGQM5TWG65CT,B0002YTO7E,5.0
A2BUJ5A48LTDF9,B0002YTO7E,5.0
A14PLGJJ0LL6EO,B0002YTO7E,5.0
AKG32LN6JGEUS,B0002YTO7E,4.0
AOIADNJYCHZI3,B0002YTO7E,5.0
A7EPWJU58QSBW,B0002YTO7E,5.0
A2M0R5SHEEDXME,B0002YTO7E,5.0
AA5NMORH5NH4E,B0002YTO7E,4.0
A3RS9CEHLVB55Y,B0002YTO7E,5.0
A1V0KACF1M3AP8,B0002YTO7E,5.0
A8VI7KMUHI7ZH,B0002YTO7E,5.0
A8VI7KMUHI7ZH,B0002YTO7E,5.0
A8VI7KMUHI7ZH,B0002YTO7E,5.0
A8VI7KMUHI7ZH,B0002YTO7E,5.0
A8VI7KMUHI7ZH,B0002YTO7E,5.0
A8VI7KMUHI7ZH,B0002YTO7E,5.0
A8VI7KMUHI7ZH,B0002YTO7E,5.0
A8VI7KMUHI7ZH,B0002YTO7E,5.0
A8VI7KMUHI7ZH,B0002YTO7E,5.0
A8VI7KMUHI7ZH,B0002YTO7E,5.0
A8VI7KMUHI7ZH,B0002YTO7E,5.0
A3ASZFX7T4WHF0,B0002YTO7E,5.0
A1E4DX33NQPERJ,B0002YTO7E,5.0
A9YPWQ4AGCKER,B0002YTO7E,1.0
A2FYDPARBQSF65,B0002YTO7E,5.0
A1X8IWQAZFN1TC,B0002YTO7E,5.0
A1ZWFVS5GZXHVN,B0002YTO7E,5.0
A1XOWUOC7MGN35,B0002YTO7E,5.0
A1RPTVW5VEOSI,B0002YTO7E,5.0
A11GXCQUGG1185,B0002YTO7E,5.0
A2E2SU4HELG9FJ,B0002YTO7E,5.0
A13TA5ETD8V1IX,B0002YTO7E,5.0
A3L5O06B22B8LA,B0002YTO7E,5.0
AH0FK2XOXJ26F,B0002YTO7E,5.0
A2K6UMEC9UEGUJ,B0002YTO7E,4.0
AZE084MMZVEYT,B0002YTO7E,5.0
A1O5PQBK194NZ1,B0002YTO7E,4.0
AYL3CH1Y1DOB8,B0002YTO7E,5.0
A29NE6TCPNSVDU,B0002YTO7E,5.0
A2UL7PXTJYGLDQ,B0002YTO7E,5.0
A1C7NGOV4SQ711,B0002YTO7E,5.0
A3PTW5IV3OJLS0,B0002YTO7E,5.0
A3CDF58LB8IMQE,B0002YTO7E,5.0
A389U7BPUTJRG3,B0002YTO7E,5.0
AIS15FUQE0PS4,B0002YTO7E,5.0
A22ZDOX8AXTE63,B0002YTO7E,5.0
A1KCI96DKAK1JA,B0002YTO7E,5.0
A3JAN65PHJB9E6,B0002YTO7E,5.0
A227BIJ309IRM5,B0002YTO7E,4.0
A1AA1JLOJMLKSR,B0002YTO7E,5.0
A3TXA107MAOKW7,B0002YTO7E,5.0
A28VO2EWAADJ3N,B0002YTO7E,5.0
A1C666MXUKA0O3,B0002YTO7E,5.0
AHA4XNFLSG7JH,B0002YTO7E,5.0
A3FR717Z42AW1Z,B0002YTO7E,5.0
A3G5VUO3634M68,B0002YTO7E,5.0
A1V3PCKVCJ3TTZ,B0002YTO7E,5.0
ATVRG7T4CEFN2,B0002YTO7E,5.0
A2CMSTLI2O4ZAD,B0002YTO7E,5.0
A18CH6ZOMZNAEF,B0002YTO7E,5.0
A2JJC5A3GKWCKW,B0002YTO7E,5.0
A2013X1OLSB1O9,B0006VORDY,5.0
AQYSW4FD3ST00,B0006VORDY,5.0
A1YS2AHPP7QF8J,B0006VORDY,5.0
A33NE0451FTU7L,B0006VORDY,5.0
AV0B6NGGOAISO,B0006VORDY,5.0
AJVZ486QJB9DS,B0006VORDY,5.0
A6MS2AWM4TRV3,B0006VORDY,5.0
A3RU7GBRZMUT2B,B0006VORDY,5.0
AZTTJC7BNQ7BI,B0006VORDY,5.0
A3P55SA7UJ3R0K,B0006VORDY,4.0
A1GO8WM1AXFVQR,B0006VORDY,5.0
A1JHT78OA3N8HU,B0006VORDY,1.0
AS6OFES8ZXRTE,B0006VORDY,5.0
A2AW5V07ESKVCN,B0006VORDY,5.0
A23FPDLYKQUZ8K,B0006VORDY,5.0
A38T55CCT4B3E6,B0006VORDY,5.0
A3CLSULLPTL4Y2,B00076ZE0I,1.0
A2NNU83XV63C73,B00076ZE0I,5.0
A37J00AA85LT5A,B00076ZE0I,5.0
A3GBBTB5FHVVP1,B00076ZE0I,5.0
A3CDNW1RV9CM0S,B00076ZE0I,5.0
A3M4FM3FPUAZ5I,B00076ZE0I,5.0
A71X7KJCTWZM8,B00076ZE0I,5.0
A2FCIK8VD2JZ12,B00076ZE0I,5.0
A3GQS4W3A07Q86,B00076ZE0I,5.0
A2GIX9PLVPHFMM,B00076ZE0I,5.0
A1QWW70ZFIPMOY,B00076ZE0I,5.0
A3HICRL1GPX5QR,B00076ZE0I,3.0
AGI9JBF1PKW0D,B00076ZE0I,5.0
A14Z6D3IRJ23F7,B00076ZE0I,4.0
A1TI9X4B9UVK8B,B00076ZE0I,5.0
A1CE6EZ8B4XUBQ,B00076ZE0I,3.0
A2ZRD95BYP7EUR,B00076ZE0I,4.0
ABQWMANK4AR63,B00076ZE0I,1.0
A3OVZ3PDXZ4NGJ,B0007P2E3E,5.0
A2AQ172NIYWHYS,B0007P2E3E,5.0
A8H2YKW9QYEYD,B0007P2E3E,4.0
A7EPWJU58QSBW,B0007P2E3E,5.0
A3IO9C78ZC84SK,B0007P2E3E,5.0
AD0QZ6LQXQ2OY,B00095M5DQ,5.0
A36LZUI6NO6WT3,B00095M5DQ,5.0
A3Q1A4XQBGZI3U,B00095M5DQ,5.0
A1Z9EMZHIH849F,B00095M5DQ,5.0
A28VUO6NEX8N6,B00095M5DQ,5.0
A27HNWFDRFCLDL,B00095M5DQ,5.0
A2M6FDER5M1XKT,B00095M5DQ,5.0
A1E1L0V24GCLV5,B00095M5DQ,5.0
A2VYN8HWJSMTFA,B00095M5DQ,4.0
A234A2YCROBK42,B00095M5DQ,5.0
A1KU8DS7KA7OYT,B00095M5DQ,5.0
A149MAPHAM573X,B00095M5DQ,5.0
A2I6POLD5HOV86,B00095M5DQ,5.0
A3J2K2YOVVXCR3,B00095M5DQ,5.0
A3Q9EXDQSLQAYJ,B00095M5DQ,5.0
A32BVF20RU1S5X,B00095M5DQ,5.0
A3Q2HBEE6FMWBM,B00095M5DQ,5.0
A12BNZ07ZBMHZ3,B00095M5DQ,5.0
AJGU56YG8G1DQ,B00095M5DQ,5.0
AD7KM7Q2E07M,B0009PUGOG,5.0
ATSODMO2F50L3,B0009PUGOG,5.0
AWBBFXTYT2ZNA,B0009PUQM8,5.0
A36KQ6WI86T9BU,B0009PUQM8,3.0
A6JV90PMDIYYX,B0009PUQM8,5.0
ACSA4CBJMEE4O,B0009PUQM8,5.0
A1GDGX206VQVP4,B0009PUQM8,5.0
A79FRM7526481,B0009PUQM8,2.0
A2RGVO7DDWF8R2,B0009PUQM8,5.0
A3OINTCRG7OMH4,B0009QZSS4,5.0
ARQ4A9XDLULVM,B0009QZSS4,5.0
ARQ4A9XDLULVM,B0009QZSS4,5.0
A1U8H0PMHI2EFD,B0009TUEJE,4.0
A3U5HKDHPYBAK3,B0009TUEJE,5.0
A2GRYRS1K24HXL,B0009TUEJE,5.0
A2Q4S5D08LGR6H,B0009TUEJE,4.0
A3PUHDE1RMJ38Y,B0009TUEJE,5.0
A7LLIXTVFFP9W,B0009TUEJE,5.0
AJP7IKVQXDJ7G,B0009TUEJE,3.0
A28N7SV9HXLBS6,B0009TUEJE,5.0
A55J8SGM92IF,B0009TUEJE,5.0
A1JG96BTL9ALFC,B0009TUEJE,5.0
A1PR5F6L09MA5D,B0009TUEJE,5.0
AGMWHAKINRBZ0,B0009TUEJE,4.0
A2CJGEOA1675DB,B0009TUEJE,5.0
A1FNK2ILGTZ5CX,B0009TUEJE,5.0
A338I0BH83UEK4,B0009TUEJE,5.0
A3RDTNYY8H1FIZ,B0009TUEJE,5.0
A1WNI4YEQQPYSD,B0009TUEJE,5.0
AGN9UXBHDS7AO,B0009TUEJE,4.0
AN5BGB3G666DY,B0009TUEJE,5.0
A8X1YH87FXCPR,B0009TUEJE,4.0
A2C1Y5F8DE9H6P,B0009TUEJE,5.0
AYVW3O6W8S5S4,B0009TUEJE,3.0
A1SNV89T2L42T7,B0009TUEJE,5.0
A1KZ7VGELAJ0NI,B0009TUEJE,5.0
A10B1TXA36HP2W,B0009TUEJE,5.0
A1M8VAPAGG48PG,B0009TUEJE,5.0
A2LS6XCSYZAEVH,B0009TUEJE,4.0
A27A00G8ZVI1JP,B0009TUEJE,5.0
A3OXHLG6DIBRW8,B0009TUEJE,5.0
A31USZFZNDYNAV,B000B6ACGA,3.0
A3TXA107MAOKW7,B000B6ACGA,4.0
A18WVNL2D18S9L,B000B6ACGA,3.0
ASKXES7E37VFQ,B000B6ACGA,5.0
A1ZA0LWYGQLWOO,B000B6ACGA,5.0
A20X15ZA7T98CY,B000B6ACGA,4.0
A2VM3BY9UHIXQJ,B000B6ACGA,4.0
A3FAO2GXZ1G8S7,B000B6ACGA,5.0
ABVMMGV446AKC,B000B6ACGA,4.0
A3187CD6WIHEYH,B000B6ACGA,4.0
A3KHRW6ZC2EQIL,B000B6ACGA,5.0
A1X9EQHKLOLBEZ,B000B6ACGA,5.0
A1VBH7TSVG7FNQ,B000B6ACGA,5.0
A3PDHOLLWP6IXT,B000B6ACGA,4.0
A1EZ7YN888XH9N,B000B6ACGA,3.0
A3A892H0MFAY22,B000B6ACGA,5.0
ASTN4Q9E5IX9Y,B000B6ACGA,3.0
AMW1OYXWOGZGJ,B000B6ACGA,5.0
A21FPW30FL40BF,B000B6ACGA,5.0
A26ADSHJRL325O,B000B6ACGA,4.0
A3TRIH4MG9XM8H,B000B6ACGA,5.0
A8X1YH87FXCPR,B000B6ACGA,3.0
A3MI0WR96XRZLW,B000B6ACGA,4.0
ASRKVN49P62YY,B000B6ACGA,2.0
A34DWH5OU2W4BX,B000B6ACGA,4.0
A3OXHLG6DIBRW8,B000B6ACGA,4.0
A3MB7MDDXNLY56,B000B8JDU4,5.0
A2CHDO0ZQFKUAW,B000B8JDU4,5.0
A1M36SLCLKAIIE,B000B8JDU4,5.0
A39FWK1CZKQFS5,B000B8JDU4,4.0
A2NLZI9U4GWBX5,B000B8JDU4,5.0
A2WFJL0S1HB0ZS,B000B8JDU4,5.0
AUU0L54R1TE4H,B000B8JDU4,4.0
A2E2SU4HELG9FJ,B000B8JDU4,5.0
ACRMQUNZFVQ3Y,B000B8JDU4,5.0
A1V9ERND16JVQM,B000B8JDU4,5.0
A19I6Z5SL826DB,B000B8JDU4,4.0
A2UL7PXTJYGLDQ,B000B8JDU4,4.0
A324A1T21UI0NN,B000B8JDU4,5.0
A3VWEACXWK4O4O,B000B8JDU4,5.0
A23I152X4N77CR,B000B8JDU4,4.0
ALIP2QJCOWRVK,B000B8JDU4,5.0
