userId,profile
A7LLIXTVFFP9W,"This person likes shopping genres such as Tools and Home Improvement, Kitchen and Dining."
A2DAVZ0XIKHHLM,This person likes shopping genres such as Tools and Home Improvement.
A1J4M8PD9S79B6,"This person likes shopping genres such as Automotive, Kitchen and Dining."
AF3N76PUNB4D8,This person likes shopping genres such as Tools and Home Improvement.
A25VI4VZ61487N,This person likes shopping genres such as Patio Lawn and Garden.
A2688ZPBOPBVVO,This person likes shopping genres such as Kitchen and Dining.
A35UBZDESLIOHE,This person likes shopping genres such as Kitchen and Dining.
A6JV90PMDIYYX,This person likes shopping genres such as Tools and Home Improvement.
A2F2YYFUNIJLIF,This person likes shopping genres such as Kitchen and Dining.
A1YWHJXSXCWTUV,This person likes shopping genres such as Tools and Home Improvement.
A394NF2N8EP7MT,This person likes shopping genres such as Tools and Home Improvement.
A3H8PA7AG48K33,This person likes shopping genres such as Tools and Home Improvement.
A2WXH0N26SJTN8,"This person likes shopping genres such as Outdoor Recreation, Pedometers, Sports and Outdoors, Accessories, Toys and Games, Heart Rate Monitors, Electronics."
A2OKO0O6QEW25I,This person likes shopping genres such as Tools and Home Improvement.
A37UQS6EWRMCQO,This person likes shopping genres such as Tools and Home Improvement.
AN5OOFEH45W46,"This person likes shopping genres such as Tools and Home Improvement, Baby."
AILKGRMLEMGXC,"This person likes shopping genres such as Tools and Home Improvement, Outdoor Recreation, Sports and Outdoors, Accessories, Fitness Trackers, Electronics."
A14CPE16HGLDW2,This person likes shopping genres such as Tools and Home Improvement.
A11KQADBYE0UZL,This person likes shopping genres such as Kitchen and Dining.
AJGU56YG8G1DQ,This person likes shopping genres such as Tools and Home Improvement.
A3U0CG57HIXDSD,This person likes shopping genres such as Tools and Home Improvement.
A3Q092SGOGQUHV,"This person likes shopping genres such as Outdoor Recreation, Sports and Outdoors, Accessories, Fitness Trackers, Kitchen and Dining, Electronics."
A2AQ172NIYWHYS,This person likes shopping genres such as Kitchen and Dining.
A1X8IWQAZFN1TC,This person likes shopping genres such as Kitchen and Dining.
A1143YEAZYMYHJ,This person likes shopping genres such as Kitchen and Dining.
A1U5IJHJK84S54,This person likes shopping genres such as Tools and Home Improvement.
A2NP9CGUSFP22E,"This person likes shopping genres such as Camera and Photo, Home and Kitchen, Outlet, Electronics."
A3TNQMD5FMZQLK,This person likes shopping genres such as Tools and Home Improvement.
ASDVD5E6WX76R,This person likes shopping genres such as Kitchen and Dining.
A1QAX2EHA1Q5Z9,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
AAY3WZSAPD0VV,This person likes shopping genres such as Tools and Home Improvement.
ALRLABYC88EV0,This person likes shopping genres such as Tools and Home Improvement.
