userId,profile
ABXMSM9FQ3L54,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Automotive, Electronics."
ASHKZADM38FZY,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A23FZ9T87YQDWX,"This person likes shopping genres such as Automotive, Patio Lawn and Garden, Tools and Home Improvement."
A20IG57D8MTCSK,"This person likes shopping genres such as Tools and Home Improvement, Patio Lawn and Garden, Industrial and Scientific, Arts Crafts and Sewing."
AVKN33PLGIUBI,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A1THUMJ11003WZ,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A1MG36AY1P8OSK,This person likes shopping genres such as Tools and Home Improvement.
A32UVU47R1KXCJ,"This person likes shopping genres such as Tools and Home Improvement, Patio Lawn and Garden."
A53OHUEVKIWLS,This person likes shopping genres such as Tools and Home Improvement.
A3SS4LSH1TKY5J,"This person likes shopping genres such as Tools and Home Improvement, Musical Instruments."
A18WSTFDAF2391,This person likes shopping genres such as Tools and Home Improvement.
A2EVO0EL3WB6HO,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
ALX5YTXMB9QV5,"This person likes shopping genres such as Tools and Home Improvement, Electrical, Arts Crafts and Sewing, Electrical Connectors."
A2PB93OF2M6UNM,This person likes shopping genres such as Tools and Home Improvement.
A1053TBGTIEQ8V,"This person likes shopping genres such as Tools and Home Improvement, Automotive."
AQFIU93PHXRF4,"This person likes shopping genres such as Tools and Home Improvement, Camera and Photo."
A2VURO65CTPUKN,"This person likes shopping genres such as Tools and Home Improvement, Automotive, Kitchen and Dining."
AJBO8EU9DHZ9C,This person likes shopping genres such as Tools and Home Improvement.
A1C09SL7N2FH5B,This person likes shopping genres such as Tools and Home Improvement.
AGBM4IIL7HS7,This person likes shopping genres such as Tools and Home Improvement.
A37MGDKOB963E7,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A3B0WK4W4XH54D,"This person likes shopping genres such as Tools and Home Improvement, Arts Crafts and Sewing."
A10GWGBM0IA0Q,"This person likes shopping genres such as Tools and Home Improvement, Patio Lawn and Garden."
A3MDRUXBMOCUH6,"This person likes shopping genres such as Tools and Home Improvement, Home and Kitchen."
A183XN1WTON9I0,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A32DWYFABEN6K0,This person likes shopping genres such as Tools and Home Improvement.
AQPGVFRAWYFTS,This person likes shopping genres such as Tools and Home Improvement.
A22X68L900QE1Q,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Kitchen and Dining."
A1R42G8S6JIOEI,"This person likes shopping genres such as Tools and Home Improvement, Building Supplies, HVAC, Registers Grilles and Vents."
A2O7CJ74PZK8X5,This person likes shopping genres such as Tools and Home Improvement.
AXNZEGVAVISGN,"This person likes shopping genres such as Tools and Home Improvement, Musical Instruments."
A250RU6TSUYTJF,"This person likes shopping genres such as Tools and Home Improvement, Arts Crafts and Sewing."
A9HFK3UYR94AF,This person likes shopping genres such as Tools and Home Improvement.
A15DEDDB5L2SWH,"This person likes shopping genres such as Tools and Home Improvement, Kitchen and Dining."
A29R4E1S0T2KH2,"This person likes shopping genres such as Tools and Home Improvement, Automotive."
A2OQ8CB7DZ7XL5,"This person likes shopping genres such as Tools and Home Improvement, Office Products."
A2BZBGGO5MUH5B,This person likes shopping genres such as Tools and Home Improvement.
A2RW35AHDNAHVH,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A3RT1T5QI8MLNC,"This person likes shopping genres such as Tools and Home Improvement, Kitchen and Dining."
A14XK91BJ4SAFK,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Lighting Components, Light Bulbs, Industrial Electrical, LED Bulbs."
A17CFTF37V37M2,"This person likes shopping genres such as Tools and Home Improvement, Patio Lawn and Garden, Industrial and Scientific."
A1660JZPHFX90N,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Lava Lamps, Lighting and Ceiling Fans, Novelty Lighting."
A2A2YHWS3RQJ9W,This person likes shopping genres such as Tools and Home Improvement.
A2HRZFF7OV955A,This person likes shopping genres such as Tools and Home Improvement.
A27YDOZXSXJTYA,"This person likes shopping genres such as Tools and Home Improvement, Automotive."
A3J18C4T2JWI2F,"This person likes shopping genres such as Tools and Home Improvement, Automotive."
A31698WARABSD8,"This person likes shopping genres such as Tools and Home Improvement, Home and Kitchen, Electronics, Office Products."
A313A8XCJYE79T,This person likes shopping genres such as Tools and Home Improvement.
A3CI8U9MMGRRPT,This person likes shopping genres such as Tools and Home Improvement.
A32UJ87I6YGQMJ,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A8PS6YTA2Y0UX,This person likes shopping genres such as Tools and Home Improvement.
A35GMMSUPSAY5H,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A29962YZGR73YN,This person likes shopping genres such as Tools and Home Improvement.
A37CQY2C76IP5N,"This person likes shopping genres such as Tools and Home Improvement, Electronics."
A2A3ZKEQ0CPAKH,"This person likes shopping genres such as Tools and Home Improvement, Home and Kitchen, Arts Crafts and Sewing, Computers and Accessories, Automotive, Patio Lawn and Garden, Electronics."
A1E0RW9F27TFI5,"This person likes shopping genres such as Tools and Home Improvement, Automotive."
A318DRANGQCO04,This person likes shopping genres such as Tools and Home Improvement.
A36N3GMS29JXAW,"This person likes shopping genres such as Tools and Home Improvement, Home and Kitchen."
ANER03PXJGHYL,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Automotive."
A283P189BT5YUL,"This person likes shopping genres such as Tools and Home Improvement, Automotive."
AD5XM3XO4U0EV,"This person likes shopping genres such as Automotive, Tools and Home Improvement."
A20YMARO1FI619,This person likes shopping genres such as Tools and Home Improvement.
A1W6QE59WQCCTY,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A2Q2GU12DR2DD5,This person likes shopping genres such as Tools and Home Improvement.
A2MGTV2LP27Z7K,This person likes shopping genres such as Tools and Home Improvement.
A3LKJ0Y9WPTD49,This person likes shopping genres such as Tools and Home Improvement.
A11R7SBXZGHCFG,This person likes shopping genres such as Tools and Home Improvement.
A2OMPXZ1H7LCJP,"This person likes shopping genres such as Automotive, Tools and Home Improvement, Kitchen and Dining."
A3GA1W6ZO09FN5,This person likes shopping genres such as Tools and Home Improvement.
A3I8N6OHM5DS4Q,This person likes shopping genres such as Tools and Home Improvement.
A1K1651IORVYA1,"This person likes shopping genres such as Automotive, Industrial and Scientific, Tools and Home Improvement."
A2OB533I9U19K1,"This person likes shopping genres such as Tools and Home Improvement, Patio Lawn and Garden, Arts Crafts and Sewing."
A13X3KB8XPS0ZX,This person likes shopping genres such as Tools and Home Improvement.
A2UEH0U5CV3053,"This person likes shopping genres such as Tools and Home Improvement, Testers, Arts Crafts and Sewing, Electrical, Voltage Testers."
ABHYYOD5F78GF,This person likes shopping genres such as Tools and Home Improvement.
AC4A4QXXRDYEF,This person likes shopping genres such as Tools and Home Improvement.
A30Y7M0Q0L60EF,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Arts Crafts and Sewing."
A1V2HFSMZL3CUN,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Office Products."
A3CN9M7GGK0F9E,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Automotive, Office Products, Musical Instruments."
A1DIPVFBDL4W6R,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Automotive, Electronics."
A1RNX0XRPOHHZF,"This person likes shopping genres such as Tools and Home Improvement, Automotive."
A2JH13U593OLMR,This person likes shopping genres such as Tools and Home Improvement.
A3PU3EDJ2FG1AW,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific."
A32QLWM37QPRYF,"This person likes shopping genres such as Tools and Home Improvement, Industrial and Scientific, Musical Instruments."
ANFJYYQ0P35CW,"This person likes shopping genres such as Tools and Home Improvement, Automotive."
A3KDRLIBWILPMJ,This person likes shopping genres such as Tools and Home Improvement.
A2HH22URVI2HDJ,"This person likes shopping genres such as Tools and Home Improvement, Wall Plates, Electrical, Wall Plates and Accessories."
A31WOST3LOT5TG,"This person likes shopping genres such as Tools and Home Improvement, Electrical, Testers, Electrical Connectors."
A5UEJECI2GJEX,"This person likes shopping genres such as Tools and Home Improvement, Hinges, Arts Crafts and Sewing, Automotive, Hardware, Door Hardware and Locks."
