userId,profile
AQUSHG6GWFCXK,This person likes shopping genres such as Toys and Games.
A3O7M3EJJSLENH,This person likes shopping genres such as Toys and Games.
AIL4HD8BRUHV9,This person likes shopping genres such as Toys and Games.
A19YHF2NUIQ6BS,"This person likes shopping genres such as Camera and Photo, Toys and Games."
A3HS9B074UO9I2,This person likes shopping genres such as Toys and Games.
A2Q4A3S2QHQARJ,"This person likes shopping genres such as Amazon Launchpad, Toys and Games."
A2G0OL2CNZLB6C,"This person likes shopping genres such as Industrial and Scientific, Toys and Games."
A11ABA0AOBTX20,This person likes shopping genres such as Toys and Games.
A18A0QSQ7AH0SJ,"This person likes shopping genres such as Arts Crafts and Sewing, Toys and Games."
A2AP9C0B716IZN,This person likes shopping genres such as Toys and Games.
A2GGPR6ZJRVY3K,This person likes shopping genres such as Toys and Games.
AXBNC8KNV3MY0,This person likes shopping genres such as Toys and Games.
A2OY938ZNE1GTB,This person likes shopping genres such as Toys and Games.
A2OHSW0FLGM8LX,"This person likes shopping genres such as Industrial and Scientific, Arts Crafts and Sewing, Toys and Games."
A1YXPZMYHCKIBM,This person likes shopping genres such as Toys and Games.
ARS1GMA6C6RT0,This person likes shopping genres such as Toys and Games.
A8UGT15A8SP85,This person likes shopping genres such as Toys and Games.
AEVI5OBZI0VQA,"This person likes shopping genres such as Amazon Launchpad, Toys and Games."
A2DCS39GFBJV24,This person likes shopping genres such as Toys and Games.
A22VGWCYVFRJVD,This person likes shopping genres such as Toys and Games.
A3U2751IP8BDLP,This person likes shopping genres such as Video Games.
AKYKJIBQH7PGS,"This person likes shopping genres such as Home and Kitchen, Toys and Games."
A35SARHM1GQCHU,This person likes shopping genres such as Toys and Games.
A279ROONL78QGD,"This person likes shopping genres such as Amazon Launchpad, Toy Balls, Novelty and Gag Toys, Toys and Games."
A3O2YGJ7CMAHM8,This person likes shopping genres such as Toys and Games.
A1WVA7V02PQOY6,This person likes shopping genres such as Toys and Games.
A2PFE2JRZ6GWWK,This person likes shopping genres such as Toys and Games.
A1WL8S4JGHGOMG,This person likes shopping genres such as Toys and Games.
A3C247UW9PRF57,This person likes shopping genres such as Toys and Games.
A3SBS0HRRBM8NZ,"This person likes shopping genres such as Patio Lawn and Garden, Toys and Games."
A3H7MCCVL5Z73D,This person likes shopping genres such as Toys and Games.
A237YUREBZ5VP4,This person likes shopping genres such as Toys and Games.
A141Y3FKO02XGC,This person likes shopping genres such as Toys and Games.
A2OY6AMY2MAB0H,This person likes shopping genres such as Toys and Games.
A3H73JMUSF0JMV,This person likes shopping genres such as Toys and Games.
AFDC6M70FWQC8,This person likes shopping genres such as Toys and Games.
A1FN623I5HYBIA,"This person likes shopping genres such as Battling Tops, Games, Toys and Games."
A272RQUCB7VP9B,This person likes shopping genres such as Toys and Games.
A19R37PLMYGVIE,This person likes shopping genres such as Toys and Games.
AO6TF4458HWDS,This person likes shopping genres such as Video Games.
A1POXQHV2OPVGH,This person likes shopping genres such as Toys and Games.
AJGU56YG8G1DQ,This person likes shopping genres such as Toys and Games.
A3BVDW4DOLJAN0,This person likes shopping genres such as Toys and Games.
A3Q9HY0LU7MN6E,This person likes shopping genres such as Toys and Games.
A81UQY2JL2F6A,"This person likes shopping genres such as Amazon Launchpad, Toys and Games."
A3F7WD829VEXTP,"This person likes shopping genres such as Toys and Games, Video Games."
A3EX36SNRYD5VL,"This person likes shopping genres such as Camera and Photo, Toys and Games."
ACWD5LRO2PDKE,"This person likes shopping genres such as Musical Instruments, Toys and Games."
AU89GTPU0PM2G,This person likes shopping genres such as Toys and Games.
A2COLXSJH2D67A,This person likes shopping genres such as Toys and Games.
A3EFCPRSJTNLDL,This person likes shopping genres such as Toys and Games.
A2374KS5MTBWKI,This person likes shopping genres such as Toys and Games.
AFY8QLS51NVI3,This person likes shopping genres such as Toys and Games.
A3TQCEBAINJQT4,This person likes shopping genres such as Toys and Games.
A2RM5ZSZJQL7WY,"This person likes shopping genres such as Patio Lawn and Garden, Office Products, Toys and Games, Kitchen and Dining."
A3NZBDQ7COJZ10,This person likes shopping genres such as Toys and Games.
A1RI676ZCGXUWF,This person likes shopping genres such as Toys and Games.
A16X6LSRF2XILN,This person likes shopping genres such as Toys and Games.
A2Q9NO9I02W9IF,This person likes shopping genres such as Toys and Games.
A23A39G7KZ7X3Q,This person likes shopping genres such as Toys and Games.
A3DO9873AA7BR7,"This person likes shopping genres such as Home and Kitchen, Toys and Games."
A5KJXEISS2385,This person likes shopping genres such as Toys and Games.
A1UMQAXW7F9W3L,This person likes shopping genres such as Video Games.
A2PGJCKHQ3WFRY,This person likes shopping genres such as Toys and Games.
A2UIZEDZIWM8QU,This person likes shopping genres such as Toys and Games.
A1GQ3XWRU254NM,This person likes shopping genres such as Toys and Games.
A16FBYMLEARIW7,This person likes shopping genres such as Toys and Games.
AIWGYBEVV09B1,This person likes shopping genres such as Toys and Games.
A5ERTDVOHXILF,This person likes shopping genres such as Toys and Games.
A3DLCY98104CGF,This person likes shopping genres such as Toys and Games.
A4KX2IEG191QO,This person likes shopping genres such as Toys and Games.
A1V0GLV2R0YNU7,This person likes shopping genres such as Toys and Games.
A1JZYYLXAOJEUD,This person likes shopping genres such as Toys and Games.
A1VRJTQEK1AVIT,"This person likes shopping genres such as Office Products, Video Games."
A3GZ2RKG1VVMZ3,"This person likes shopping genres such as Amazon Launchpad, Toys and Games."
AU0M4YT0Q29ZL,This person likes shopping genres such as Toys and Games.
A54AQFXQTCRYY,This person likes shopping genres such as Toys and Games.
A6JV90PMDIYYX,"This person likes shopping genres such as Amazon Launchpad, Toys and Games."
A2QP0VYB6DEGTB,This person likes shopping genres such as Toys and Games.
A1XIXX2QFHVTD3,This person likes shopping genres such as Toys and Games.
A2UQEJAVVZ2B59,"This person likes shopping genres such as Amazon Launchpad, Toys and Games."
A3USHWXC39BMHU,This person likes shopping genres such as Toys and Games.
ABGO12NBSMI3C,This person likes shopping genres such as Toys and Games.
A2E0PQIH2IX7MT,This person likes shopping genres such as Toys and Games.
A12XNQ6GYVSFFO,This person likes shopping genres such as Toys and Games.
AIYTOK86QCYSV,This person likes shopping genres such as Toys and Games.
A2PIFHCSPHDU60,This person likes shopping genres such as Toys and Games.
A3CHDNGTJQA7DU,This person likes shopping genres such as Toys and Games.
A13J2PGKNMJG1K,"This person likes shopping genres such as Science, Amazon Launchpad, Toys and Games, Telescopes, Learning and Education."
AW698I21HTP6E,This person likes shopping genres such as Toys and Games.
A3FQ6AQ9FOTBM4,"This person likes shopping genres such as Office Products, Toys and Games."
A2CO0SYHGOSBZD,This person likes shopping genres such as Toys and Games.
A37QEL2B3U2ANU,"This person likes shopping genres such as Musical Instruments, Toys and Games."
A18NDNA3TO6CJF,This person likes shopping genres such as Toys and Games.
A3V3FSKK2RZQR9,This person likes shopping genres such as Toys and Games.
A3PD9Z8VAYDKPR,"This person likes shopping genres such as Camera and Photo, Toys and Games."
A2TJP6FCZ4630R,This person likes shopping genres such as Toys and Games.
A5XGX5AAGF32P,"This person likes shopping genres such as Home and Kitchen, Industrial and Scientific, Toys and Games."
ATZBQYX5M8P31,This person likes shopping genres such as Toys and Games.
AKMEY1BSHSDG7,This person likes shopping genres such as Toys and Games.
