userId,profile
A138ECK1FNYQOX,This person likes shopping genres such as Video Games.
A2G3TAUPAI5PC2,"This person likes shopping genres such as Computer Accessories, PC Game Hardware, Computers and Accessories, Video Games, Game Hardware, Gaming Mice."
A30EX4R3GLHIFZ,This person likes shopping genres such as Video Games.
A2CDMJQ7I44ZBL,This person likes shopping genres such as Video Games.
A3W5T8TCHZB8F,"This person likes shopping genres such as Computers and Accessories, Video Games."
A3VLU135Y2SVYJ,This person likes shopping genres such as Video Games.
A2Y1UOIQUDTCHU,This person likes shopping genres such as Video Games.
A20FCDYJBFBHW0,"This person likes shopping genres such as Video Games, Electronics."
A1ZVPEC9L7ASJI,This person likes shopping genres such as Video Games.
A91BVZEDZYEWW,"This person likes shopping genres such as Computer Accessories, PC Game Hardware, Computers and Accessories, Video Games, Gaming Mice, PC Games, Mac Game Hardware, Gaming Keyboards, Game Hardware, Headsets."
AW9TN9DNDROZK,"This person likes shopping genres such as Computer Accessories, PC Game Hardware, Computers and Accessories, Video Games, Controllers, Game Hardware, PC Games, Gaming Keyboards, Gaming Mice."
A3V8LHNY0UWI5H,"This person likes shopping genres such as Computers and Accessories, Video Games."
A2NMICZ97JQ8QO,This person likes shopping genres such as Video Games.
A3OWVA2CIISPVP,This person likes shopping genres such as Video Games.
A3NF8KDLBE9JXI,This person likes shopping genres such as Video Games.
A29S8MIBFU2CCT,This person likes shopping genres such as Video Games.
A1ITVHRZE96PW5,"This person likes shopping genres such as Computer Accessories, Headsets, PC Game Hardware, Accessories and Supplies, Computers and Accessories, Video Games, Controllers, Gaming Mice, PC Games, Game Hardware, Electronics."
A16EXYH55SAOJ9,"This person likes shopping genres such as Joysticks, Computer Accessories, PC Game Hardware, Accessories and Supplies, Video Games, Controllers, Game Hardware, Electronics."
AGH22LH74Z4OE,This person likes shopping genres such as Video Games.
A3OU09O34BC73,This person likes shopping genres such as Video Games.
A1ZTHW8CSTPZQD,This person likes shopping genres such as Video Games.
AHL3ES7DCWZJC,"This person likes shopping genres such as Video Games, Electronics."
AGWLFXSGKU50L,This person likes shopping genres such as Video Games.
A1G5LJ8T1IGYC5,"This person likes shopping genres such as Computer Accessories, PC Game Hardware, Computers and Accessories, Video Games, Gaming Mice, PC Games, Mac Game Hardware, Game Hardware."
