,itemId,title,category,description,option
3,9253,Steins;Gate,"Sci-Fi, Thriller",TV,24
13,2904,Code Geass: Hangyaku no Lelouch R2,"Action, Drama, Mecha, Military, Sci-Fi, Super Power",TV,25
20,263,Hajime no Ippo,"Comedy, Drama, Shounen, Sports",TV,75
24,164,Mononoke Hime,"Action, Adventure, Fantasy",Movie,1
42,30654,Ansatsu Kyoushitsu (TV) 2nd Season,"Action, Comedy, School, Shounen",TV,25
47,22135,Ping Pong The Animation,"Psychological, Seinen, Sports",TV,11
58,24415,Kuroko no Basket 3rd Season,"Comedy, School, Shounen, Sports",TV,25
80,10162,Usagi Drop,"Josei, Slice of Life",TV,11
88,5941,Cross Game,"Comedy, Drama, Romance, School, Sports",TV,50
91,13125,Shinsekai yori,"Drama, Horror, Mystery, Sci-Fi, Supernatural",TV,25
95,14719,JoJo no Kimyou na Bouken (TV),"Action, Adventure, Shounen, Supernatural, Vampire",TV,26
102,11981,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,"Drama, Magic, Psychological, Thriller",Movie,1
106,6594,Katanagatari,"Action, Adventure, Historical, Martial Arts, Romance",TV,12
113,30503,Noragami Aragoto,"Action, Adventure, Shounen, Supernatural",TV,13
126,10863,Steins;Gate: Oukoubakko no Poriomania,"Sci-Fi, Thriller",Special,1
128,5420,Kemono no Souja Erin,"Drama, Fantasy",TV,50
141,23755,Nanatsu no Taizai,"Action, Adventure, Ecchi, Fantasy, Shounen, Supernatural",TV,24
155,20651,Natsume Yuujinchou: Itsuka Yuki no Hi ni,"Drama, Fantasy, Shoujo, Slice of Life, Supernatural",OVA,1
167,5690,Nodame Cantabile Finale,"Comedy, Josei, Music, Romance",TV,11
174,16664,Kaguya-hime no Monogatari,"Fantasy, Historical",Movie,1
199,28223,Death Parade,"Drama, Game, Mystery, Psychological, Thriller",TV,12
207,27821,Fate/stay night: Unlimited Blade Works - Prologue,"Action, Fantasy, Magic, Shounen, Supernatural",Special,1
242,31174,Osomatsu-san,"Comedy, Parody",TV,25
269,2581,Mobile Suit Gundam 00,"Action, Drama, Mecha, Military, Sci-Fi, Space",TV,25
318,135,Hikaru no Go,"Comedy, Game, Shounen, Supernatural",TV,75
319,6045,Kimi ni Todoke,"Romance, School, Shoujo, Slice of Life",TV,25
326,1486,Kodomo no Omocha (TV),"Comedy, Drama, Romance, Shoujo",TV,102
336,731,Interstella5555: The 5tory of The 5ecret 5tar 5ystem,"Adventure, Drama, Music, Sci-Fi",Music,1
340,31149,Persona 3 the Movie 4: Winter of Rebirth,"Action, Fantasy, Seinen, Supernatural",Movie,1
366,4053,Prince of Tennis: The National Tournament Finals,"Comedy, School, Shounen, Sports",OVA,7
370,4059,"Clannad: Mou Hitotsu no Sekai, Tomoyo-hen","Drama, Romance, School, Slice of Life",Special,1
378,9963,Detective Conan Movie 15: Quarter of Silence,"Adventure, Comedy, Mystery, Police, Shounen",Movie,1
379,32551,Digimon Adventure tri. 3: Kokuhaku,"Action, Adventure, Comedy, Drama",Movie,1
387,1023,Wolf&#039;s Rain OVA,"Adventure, Drama, Psychological, Sci-Fi, Supernatural",OVA,4
405,2159,Ookiku Furikabutte,"Comedy, Sports",TV,25
409,6505,There She Is!!,"Comedy, Romance",ONA,5
425,5781,Isekai no Seikishi Monogatari,"Action, Comedy, Ecchi, Fantasy, Harem, Mecha, School",OVA,13
