movieId,description
1,Star Wars
2,American Beauty
3,Pirates of the Caribbean: The Curse of the Black Pearl
4,2001: A Space Odyssey
5,Leon: The Professional
6,48 Hrs.
7,Edward Scissorhands
8,28 Days Later
9,Saw
10,Minority Report
11,A Clockwork Orange
12,Saw II
13,Stand by Me
14,High Noon
15,Terminator 3: Rise of the Machines
16,Once Upon a Time in the West
17,Batman Returns
18,"The Good, the Bad and the Ugly"
19,The Day After Tomorrow
20,Psycho
21,Die Hard
22,Titanic
23,Men in Black II
24,Final Fantasy VII: Advent Children
25,Harry Potter and the Goblet of Fire
26,Pulp Fiction
27,The Sixth Sense
28,Finding Neverland
29,Cars
30,Dawn of the Dead
31,Galaxy Quest
32,Madagascar
33,Die Hard 2
34,School of Rock
35,Sister Act
36,While You Were Sleeping
37,American Pie
38,The Perfect Storm
39,The Bourne Identity
40,The Bourne Supremacy
41,The Woman in Red
42,The Orphanage
43,Pirates of the Caribbean: Dead Man's Chest
44,War of the Worlds
45,Tron
46,Back to the Future
47,The Lord of the Rings: The Return of the King
48,Donnie Darko
49,Seven Samurai
50,Alien
51,Terminator Salvation
52,Fight Club
53,Annie Hall
54,Ice Age: The Meltdown
55,Mission: Impossible
56,Mission: Impossible II
57,The Thing
58,The Prestige
59,300
60,Kill Bill: Vol. 1
61,True Romance
62,Ice Age
63,The Green Mile
64,The Matrix Revolutions
65,Heat
66,Hulk
67,Zodiac
68,Twilight
69,The Fifth Element
70,Blade Runner
71,Charlie and the Chocolate Factory
72,King Kong
73,Batman Begins
74,Schindler's List
75,Vertigo
76,Catch Me If You Can
77,Harry Potter and the Half-Blood Prince
78,Planet of the Apes
79,Mulholland Drive
80,The Departed
81,Iron Man
82,The Patriot
83,Finding Nemo
84,The Godfather
85,Underworld
86,Terminator 2: Judgment Day
87,The Last Samurai
88,Life Is Beautiful
89,The Shining
90,Citizen Kane
91,Gladiator
92,The English Patient
93,One Flew Over the Cuckoo's Nest
94,"Monsters, Inc."
95,Harry Potter and the Prisoner of Azkaban
96,No Country for Old Men
97,Superbad
98,American History X
99,Raiders of the Lost Ark
100,The Lord of the Rings: The Two Towers
101,The Terminator
102,The Godfather: Part III
103,Apollo 13
104,Harry Potter and the Philosopher's Stone
105,Spy Game
106,Bill & Ted's Excellent Adventure
107,The Mummy Returns
108,Superman
109,Bandidas
110,Basic Instinct 2
111,Night at the Museum
112,National Treasure
113,Kill Bill: Vol. 2
114,The Godfather: Part II
115,Forrest Gump
116,"Crouching Tiger, Hidden Dragon"
117,Dead Poets Society
118,Good Will Hunting
119,Trainspotting
120,The Flintstones
121,Mary Poppins
122,Kingdom of Heaven
123,Batman & Robin
124,Jackie Brown
125,Antz
126,The Shawshank Redemption
127,Lara Croft: Tomb Raider
128,9 Songs
129,The Dark Knight
130,Snow White and the Seven Dwarfs
131,The Matrix
132,Shrek 2
133,Mission: Impossible III
134,Pan's Labyrinth
135,The Contender
136,Highlander
137,Sin City
138,Mr. & Mrs. Smith
139,Cube²: Hypercube
140,Aliens
141,Ghostbusters
142,DragonHeart
143,Tomorrow Never Dies
144,GoodFellas
145,Pirates of the Caribbean: On Stranger Tides
146,Badlands
147,Rear Window
148,A Real Young Girl
149,Field of Dreams
150,Indiana Jones and the Temple of Doom
151,The Mummy
152,Ghostbusters II
153,The Princess Bride
154,Batman
155,Along Came Polly
156,Memento
157,Sin City: A Dame to Kill For
158,Die Hard: With a Vengeance
159,Captain America: The First Avenger
160,The Empire Strikes Back
161,A Mighty Heart
162,Open Range
163,Shrek
164,The Dirty Dozen
165,Identity
166,Into the Wild
167,The Wizard of Oz
168,Spirited Away
