userId,profile
U10022,"This person likes news genres such as music, sports."
U10027,"This person likes news genres such as health, news."
U10039,"This person likes news genres such as tv, news, lifestyle."
U10045,"This person likes news genres such as autos, finance, sports."
U10052,"This person likes news genres such as music, tv, news."
U10062,"This person likes news genres such as music, foodanddrink, travel, lifestyle, sports, tv, news."
U10064,This person likes news genres such as news.
U10070,"This person likes news genres such as finance, tv, sports."
U10072,"This person likes news genres such as tv, sports."
U10096,"This person likes news genres such as finance, health, news."
U10098,"This person likes news genres such as foodanddrink, travel, entertainment, lifestyle, sports, news."
U10099,This person likes news genres such as news.
U10103,"This person likes news genres such as movies, foodanddrink, finance, autos, news."
U10104,"This person likes news genres such as movies, finance, lifestyle, sports, autos, news."
U10105,"This person likes news genres such as tv, weather."
U10120,"This person likes news genres such as music, tv."
U10123,This person likes news genres such as news.
U10133,"This person likes news genres such as foodanddrink, health, news."
U10135,"This person likes news genres such as travel, weather."
U10145,"This person likes news genres such as music, entertainment, tv, news."
U10149,"This person likes news genres such as autos, finance, news, lifestyle."
U10160,This person likes news genres such as finance.
U10167,"This person likes news genres such as finance, travel."
U10168,"This person likes news genres such as news, sports."
U10181,"This person likes news genres such as health, lifestyle."
U10182,"This person likes news genres such as music, entertainment, news, lifestyle."
U10185,"This person likes news genres such as finance, travel, lifestyle, sports."
U10188,"This person likes news genres such as music, finance, news."
U10189,This person likes news genres such as sports.
U10191,"This person likes news genres such as travel, news, lifestyle."
U10201,"This person likes news genres such as finance, sports."
U10218,This person likes news genres such as finance.
U10233,"This person likes news genres such as movies, foodanddrink, finance, travel, health, lifestyle, news."
U10235,"This person likes news genres such as finance, news."
U10237,"This person likes news genres such as health, tv, sports."
U10239,This person likes news genres such as finance.
U10257,This person likes news genres such as news.
U1028,"This person likes news genres such as entertainment, weather, lifestyle."
U10280,"This person likes news genres such as music, foodanddrink, entertainment, health, sports, tv, news."
U10294,"This person likes news genres such as music, foodanddrink, lifestyle."
U10295,"This person likes news genres such as health, lifestyle."
U1030,"This person likes news genres such as news, lifestyle."
U10305,"This person likes news genres such as finance, news, lifestyle."
U10306,"This person likes news genres such as music, foodanddrink, travel, finance, lifestyle, sports, autos, news."
U1031,"This person likes news genres such as movies, finance, travel, sports, tv, news."
U10313,"This person likes news genres such as foodanddrink, finance, news, travel."
U10321,"This person likes news genres such as health, sports."
U10333,"This person likes news genres such as music, foodanddrink, health, lifestyle, news."
U10338,"This person likes news genres such as foodanddrink, travel, entertainment, health, sports, autos, tv, news."
U10361,"This person likes news genres such as news, sports."
U10388,This person likes news genres such as news.
U10392,"This person likes news genres such as movies, music, finance, sports, news."
U10396,"This person likes news genres such as finance, news."
U10404,"This person likes news genres such as news, sports."
U10406,This person likes news genres such as news.
U10427,"This person likes news genres such as finance, lifestyle."
U10438,"This person likes news genres such as news, sports."
U10439,"This person likes news genres such as finance, health, lifestyle, tv, news."
U1045,"This person likes news genres such as foodanddrink, tv, news."
U10457,"This person likes news genres such as tv, lifestyle."
U10482,"This person likes news genres such as autos, foodanddrink, news, lifestyle."
U10503,This person likes news genres such as news.
U10507,"This person likes news genres such as finance, news."
U10534,"This person likes news genres such as music, entertainment, autos, tv, news."
U10554,"This person likes news genres such as music, finance, tv, news."
U10563,"This person likes news genres such as movies, foodanddrink, finance, health, lifestyle, sports, tv, news."
U10566,"This person likes news genres such as foodanddrink, finance, lifestyle, tv, news."
U10578,"This person likes news genres such as health, weather, autos, tv, news."
U10583,"This person likes news genres such as finance, tv, news, sports."
U10584,"This person likes news genres such as movies, news."
U10585,"This person likes news genres such as music, travel, lifestyle, weather, sports, autos, news."
U10604,"This person likes news genres such as movies, music, entertainment, autos, news."
U10612,"This person likes news genres such as music, finance, news, lifestyle."
U10623,"This person likes news genres such as movies, health, lifestyle, sports, tv, news."
U10633,"This person likes news genres such as movies, video, news, sports."
U10635,"This person likes news genres such as movies, music, foodanddrink, entertainment, lifestyle, sports, news."
U10640,"This person likes news genres such as music, tv, news."
U10660,This person likes news genres such as news.
U10665,"This person likes news genres such as music, lifestyle, sports."
U10668,"This person likes news genres such as foodanddrink, tv."
U10673,This person likes news genres such as news.
U10686,This person likes news genres such as lifestyle.
U10698,This person likes news genres such as news.
U10700,This person likes news genres such as lifestyle.
U10703,"This person likes news genres such as video, news."
U10704,This person likes news genres such as news.
U1071,This person likes news genres such as music.
U1072,This person likes news genres such as tv.
U10722,This person likes news genres such as sports.
U10725,"This person likes news genres such as autos, tv, foodanddrink, news."
U10738,"This person likes news genres such as foodanddrink, tv."
U10741,"This person likes news genres such as foodanddrink, finance, health, lifestyle, tv."
U10747,"This person likes news genres such as movies, music, travel, finance, video, lifestyle, sports, tv, news."
U1076,"This person likes news genres such as movies, tv, lifestyle."
U10760,"This person likes news genres such as music, finance, lifestyle, tv, news."
U10764,"This person likes news genres such as music, finance, video, lifestyle."
U10779,"This person likes news genres such as entertainment, lifestyle."
U10784,"This person likes news genres such as health, tv, news, lifestyle."
U10792,"This person likes news genres such as finance, travel, lifestyle, tv, news."
U10795,"This person likes news genres such as movies, music, foodanddrink, finance, entertainment, health, lifestyle, autos, tv, news."
U10822,"This person likes news genres such as music, entertainment, health, finance, tv."
U10839,"This person likes news genres such as music, movies, sports."
U10849,"This person likes news genres such as foodanddrink, travel, news."
U10859,"This person likes news genres such as finance, lifestyle."
U10862,"This person likes news genres such as music, sports."
U10869,This person likes news genres such as autos.
U10886,"This person likes news genres such as news, lifestyle."
U10887,"This person likes news genres such as finance, tv, news, sports."
U10896,"This person likes news genres such as tv, news, lifestyle."
U10902,"This person likes news genres such as health, tv, news."
U10916,"This person likes news genres such as video, finance, tv, news."
U10920,"This person likes news genres such as video, finance, news."
U10928,"This person likes news genres such as entertainment, lifestyle, sports, autos, news."
U10931,"This person likes news genres such as finance, news, lifestyle."
U10934,This person likes news genres such as news.
U1094,"This person likes news genres such as movies, health, news."
U10940,"This person likes news genres such as music, finance, health, entertainment, lifestyle, sports, tv."
U10942,"This person likes news genres such as autos, health, news, lifestyle."
U10944,"This person likes news genres such as finance, lifestyle."
U10950,"This person likes news genres such as music, finance, news, lifestyle."
U10953,"This person likes news genres such as movies, finance."
U1097,"This person likes news genres such as travel, news, lifestyle."
U1098,"This person likes news genres such as foodanddrink, finance, travel, health, lifestyle, sports, tv, news."
U10980,"This person likes news genres such as music, entertainment."
U10984,This person likes news genres such as news.
U10988,"This person likes news genres such as foodanddrink, travel, news."
U1099,"This person likes news genres such as movies, foodanddrink, tv, lifestyle."
U110,"This person likes news genres such as autos, news, sports."
U11010,"This person likes news genres such as foodanddrink, entertainment."
U11014,"This person likes news genres such as music, foodanddrink, sports, autos, news."
U1103,This person likes news genres such as lifestyle.
U11049,"This person likes news genres such as music, travel, health."
U11058,"This person likes news genres such as movies, foodanddrink, entertainment, health, news."
U11073,This person likes news genres such as finance.
U11099,"This person likes news genres such as finance, news."
U11101,"This person likes news genres such as news, lifestyle."
U11106,"This person likes news genres such as music, health, sports, autos, news."
U11112,"This person likes news genres such as video, tv, news, lifestyle."
U11113,This person likes news genres such as news.
U11120,"This person likes news genres such as travel, news, lifestyle."
U11124,This person likes news genres such as tv.
U1113,"This person likes news genres such as finance, news."
U11146,"This person likes news genres such as finance, news, entertainment."
U1115,"This person likes news genres such as foodanddrink, travel, autos, lifestyle."
U11152,This person likes news genres such as news.
U11165,"This person likes news genres such as news, lifestyle."
U11171,"This person likes news genres such as foodanddrink, finance, lifestyle, sports."
U11176,"This person likes news genres such as foodanddrink, health, lifestyle, autos, tv, news."
U11182,This person likes news genres such as autos.
U11197,This person likes news genres such as entertainment.
U11217,"This person likes news genres such as music, entertainment, health, sports, news."
U11232,"This person likes news genres such as foodanddrink, finance, health, lifestyle, tv, news."
U11236,"This person likes news genres such as foodanddrink, finance, health, lifestyle, sports, autos, tv, news."
U11241,"This person likes news genres such as music, finance, health, travel, autos, news."
U11250,"This person likes news genres such as music, health, news, lifestyle."
U11251,"This person likes news genres such as finance, foodanddrink, travel, news."
U11255,"This person likes news genres such as finance, news."
U11264,"This person likes news genres such as news, sports."
U11272,"This person likes news genres such as foodanddrink, finance, health, tv, news."
U11278,"This person likes news genres such as foodanddrink, travel."
U11292,"This person likes news genres such as news, lifestyle."
U11297,"This person likes news genres such as travel, finance, lifestyle, autos, news."
U11304,This person likes news genres such as news.
U11310,This person likes news genres such as tv.
U11318,"This person likes news genres such as autos, finance, foodanddrink, news."
U11322,This person likes news genres such as news.
U11324,This person likes news genres such as news.
U11335,"This person likes news genres such as music, finance, video, sports, autos, news."
U11340,"This person likes news genres such as foodanddrink, lifestyle."
U11341,"This person likes news genres such as news, lifestyle."
U11373,"This person likes news genres such as music, foodanddrink, sports."
U11379,"This person likes news genres such as music, foodanddrink, entertainment, health, lifestyle, sports, news."
U11385,"This person likes news genres such as travel, lifestyle."
U11399,"This person likes news genres such as music, sports, news, lifestyle."
U114,This person likes news genres such as sports.
U11423,This person likes news genres such as foodanddrink.
U11436,"This person likes news genres such as travel, lifestyle."
U11454,"This person likes news genres such as music, travel, finance, lifestyle, sports, tv, news."
U11473,"This person likes news genres such as lifestyle, sports."
U1148,"This person likes news genres such as music, entertainment, lifestyle, sports, news."
U11489,"This person likes news genres such as foodanddrink, finance, entertainment, health, lifestyle, news."
U11490,"This person likes news genres such as finance, news."
U11511,"This person likes news genres such as movies, foodanddrink, travel, news."
U11519,This person likes news genres such as autos.
U1152,"This person likes news genres such as music, finance, lifestyle, tv, news."
U11522,"This person likes news genres such as music, finance, lifestyle, sports, news."
U11524,This person likes news genres such as news.
U11527,"This person likes news genres such as tv, news."
U11531,This person likes news genres such as news.
U11536,This person likes news genres such as news.
U11541,"This person likes news genres such as movies, lifestyle."
U11556,This person likes news genres such as foodanddrink.
U11567,"This person likes news genres such as news, lifestyle."
U11577,"This person likes news genres such as music, finance, lifestyle, weather, sports, news."
U1158,"This person likes news genres such as foodanddrink, news."
U11593,"This person likes news genres such as finance, sports."
U11595,"This person likes news genres such as music, finance, news, sports."
U11600,"This person likes news genres such as music, health, news."
U11616,This person likes news genres such as sports.
U11623,"This person likes news genres such as movies, music, foodanddrink, lifestyle, sports, news."
U11634,"This person likes news genres such as finance, health, tv, news."
U11646,"This person likes news genres such as lifestyle, finance, news, sports."
U1165,This person likes news genres such as finance.
U11676,"This person likes news genres such as weather, news, lifestyle."
U11711,"This person likes news genres such as music, foodanddrink, finance, video, lifestyle, tv, news."
U11712,"This person likes news genres such as tv, news, lifestyle."
U11720,"This person likes news genres such as news, lifestyle."
U11722,"This person likes news genres such as movies, foodanddrink, finance, health, lifestyle, weather, sports, autos, news."
U11731,"This person likes news genres such as finance, news."
U11737,"This person likes news genres such as news, lifestyle."
U11757,"This person likes news genres such as music, foodanddrink, health."
U11797,This person likes news genres such as news.
U11828,"This person likes news genres such as music, entertainment, news, lifestyle."
U1183,"This person likes news genres such as music, finance, travel, lifestyle, sports, autos, tv, news."
U11838,"This person likes news genres such as finance, health."
U11841,"This person likes news genres such as movies, music, foodanddrink, finance, entertainment, health, travel, tv, news."
U11850,"This person likes news genres such as movies, music, foodanddrink, travel, lifestyle, sports, tv, news."
U11858,This person likes news genres such as news.
U11863,This person likes news genres such as travel.
U11876,"This person likes news genres such as foodanddrink, health, news."
U11888,"This person likes news genres such as movies, entertainment."
U11894,"This person likes news genres such as autos, news."
U11897,"This person likes news genres such as music, lifestyle, sports."
U11919,"This person likes news genres such as health, tv, lifestyle."
U11920,"This person likes news genres such as movies, entertainment, lifestyle."
U11921,"This person likes news genres such as music, finance, entertainment, lifestyle, weather, sports, autos, tv, news."
U11945,This person likes news genres such as health.
U11980,"This person likes news genres such as movies, weather, news."
U11984,"This person likes news genres such as finance, news, sports."
U11992,This person likes news genres such as news.
U11997,"This person likes news genres such as music, tv, news, lifestyle."
U12001,"This person likes news genres such as travel, health."
U12005,"This person likes news genres such as travel, news."
U12023,"This person likes news genres such as music, entertainment, health, finance, lifestyle, news."
U12027,"This person likes news genres such as music, travel, lifestyle, sports, news."
U12050,"This person likes news genres such as music, foodanddrink, health, lifestyle, news."
U12051,"This person likes news genres such as finance, news."
U12059,"This person likes news genres such as lifestyle, finance, news, sports."
U12067,"This person likes news genres such as movies, finance, news, sports."
U12073,This person likes news genres such as lifestyle.
U12091,"This person likes news genres such as autos, news."
U12093,"This person likes news genres such as music, finance, sports, lifestyle."
U1210,This person likes news genres such as autos.
U12106,This person likes news genres such as lifestyle.
U12108,"This person likes news genres such as lifestyle, sports, autos, tv, news."
U12122,"This person likes news genres such as finance, travel, news, sports."
U12129,"This person likes news genres such as news, sports."
U12130,"This person likes news genres such as movies, foodanddrink, finance, lifestyle, sports, autos, news."
U12136,"This person likes news genres such as music, lifestyle."
