itemId,title,category,description,option1,option2,option3
42500,DogFighter,"Action,Indie","DogFighter is a fast paced, arcade aerial combat game with arena style gameplay values. Players can compete against up to 15 opponents in 4 multiplayer modes, or go solo in 7 single player game modes, using beefed up biplanes sporting over 20 different offensive and defensive weapons... Key features: Take to the skies against up to 15 players in classic online multiplayer game modes such as Deathmatch, Team Deathmatch and Capture the flag flag as well as the all new Wolf Pack Co-Op game mode. Use several advanced server options to enable variations on the normal game modes by including the likes of Insta-Gib, Turbo Mode and Black Death. 'Easy-to-fly' flight model with the controls you need to execute advanced manoeuvres such as Barrel Roll and Immelmann Turn. Beautifully created environments that are as much a player in the game as the people piloting the craft. With 8 unique craft and over 20 different weapons and defensive measures, DogFighter caters to all game play styles. Online leaderboards and friend tracking. Steam Cloud supported. Includes Steam Achievements. Updates so far: Joystick Support New Map: The Old Gods New Craft: Mongoose Added: Tutorial Mode Added Game Modes: Lone Wolf and Wolf Pack ... and that’s just the start. Since its launch, DogFighter has been updated on numerous occasions. As well as the usual bug fixes and polish we have introduced... Joystick Support Weapon and Control completely rebalanced A new map, new co-op game mode “Wolf Pack” and the new craft; The Mongoose. Configurable Xbox Controller Support Take to the skies and deal lead death to your enemy using a state-of-the-art flight model that gives players unprecedented command of DogFighter’s craft. Complete control of the craft, combined with easily executed advanced manoeuvres such as the Barrel Roll, give DogFighter players the tools they need to master the skies. With environments built to both slay and save you, the environments in DogFighter offer the player a more interactive experience than is usual for the genre. Players can enjoy piloting their craft down mining tunnels, through pyramids and active volcanoes, in environments designed to deliver a more varied, more interactive gaming experience. Fly low, fly fast!","Single-player,Multi-player,Co-op,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Action,Indie,Flight,Arcade,Multiplayer,Singleplayer","Jun 14, 2010"
262150,Vanguard Princess,"Action,Casual,Indie","Government experiments on a young girl triggered a cosmic shock wave that gifted many young girls with mystical powers. She re-emerges into the world and vows to destroy all of mankind in an act of revenge. A brave group of girls who embraced their powers heads to the battlefield to confront her; not just for the sake of the world, but to pursue their own personal motives and dreams. Choose from ten girls with unique fighting skills and pair them with a powerful partner to form an unstoppable team. Navigate the adventures of a Vanguard Princess in the Story Mode or engage in head-to-head battles in the Versus Mode. / / /","Single-player,Multi-player,PvP,Shared/Split Screen PvP,Shared/Split Screen,Steam Trading Cards,Captions available,Steam Workshop,Partial Controller Support,Remote Play Together","Anime,Fighting,2D Fighter,Indie,Female Protagonist,Action,Nudity,Casual,2D,Mature,Cute,Arcade,Sexual Content,Singleplayer,Beat 'em up,Local Multiplayer,Local Co-Op,Multiplayer,Great Soundtrack,Cartoon","Mar 3, 2014"
231330,Deadfall Adventures,"Action,Adventure","Deadfall Adventures is an action-driven first-person shooter, spiced up with elements from action-adventure games. Become an adventurer, hunt for treasures, explore unknown regions of the world and rescue the damsel in distress from the clutches of enemies, both earthly and not-so-earthly. Join James Lee Quatermain on his journey across the globe! The Story The year is 1938. James Lee Quatermain is a man of many talents, yet holding on to money isn't one of them. James is an adventurer by trade, just like his legendary great-grandfather Allan Quatermain. And he knows how to squeeze money out of this famous name of his, while at the same time despising it. Despising those who believe his great-grandfather's tales of the supernatural and those who make fun of them alike. Accordingly, Quatermain isn't all too keen on escorting Jennifer Goodwin, an US agent and former colleague of his, to an Egyptian temple structure in order to retrieve an ancient artifact - The Heart of Atlantis. Neither does he believe in the reputed invigorating qualities of this artifact, nor does he care the least that a division of the Ahnenerbe, the Nazi department specialized in the occult, is after The Heart as well. But life has its ways of changing one's perspective. Quatermain soon finds himself part of a hunt across the globe - from the stormy deserts of Egypt to the icy depths of the Arctic, and all the way to the steaming jungles of Guatemala. In long forgotten temple structures the thrill of the chase awakens the true adventurer in Quatermain, as he and agent Goodwin strive to be one step ahead of the Nazis and the Russians, one step closer to obtaining the Heart of Atlantis. And deep in these temples, where age-old guardians awake from their eternal slumber, James soon learns that his great-grandfather's stories are not as crazy as he had always believed. For all things live forever, though at times they sleep and are forgotten... Key Features Action -Adventure gameplay from a first-person perspective Set in the Quatermain-universe, created by H. R. Haggard Fast-paced action and intense, accurate FPS gun battles Adventurer equipment: compass, treasure maps, notebook and flashlight – necessary to solve ancient puzzles, find treasures and even to defeat certain types of enemies Puzzles that encourage you to explore the game environment and interact with it Environmental traps that can be used to eliminate enemies in many spectacular ways Exotic, picturesque locations from around the world – Egypt, Arctic and forgotten Mayan ruins in the jungles of Guatemala Compelling story faithful to the spirit of classic action-adventure movies 1930’s setting, including detailed weapon designs Unique adventurer-style multiplayer features and modes","Single-player,Multi-player,Co-op,Steam Achievements,Steam Trading Cards,Partial Controller Support,Steam Cloud,Steam Leaderboards","Adventure,Action,FPS,Shooter,Multiplayer,First-Person,Singleplayer,Puzzle,Zombies,Co-op,Indie,Horror,Survival,Exploration,Open World,Action-Adventure,World War II,Strategy","Nov 15, 2013"
12140,Max Payne,Action,"Max Payne is a man with nothing to lose in the violent, cold urban night. A fugitive undercover cop framed for murder, hunted by cops and the mob, Max is a man with his back against the wall, fighting a battle he cannot hope to win. Max Payne is a relentless story-driven game about a man on the edge, fighting to clear his name while struggling to uncover the truth about his slain family amongst a myriad of plot-twists and twisted thugs in the gritty bowels of New York during the century's worst blizzard. The groundbreaking original cinematic action-shooter, Max Payne introduced the concept of Bullet Time® in videogames. Through its stylish slow-motion gunplay combined with a dark and twisted story, Max Payne redefined the action-shooter genre.",Single-player,"Action,Noir,Classic,Third-Person Shooter,Bullet Time,Story Rich,Atmospheric,Dark,Third Person,Singleplayer,Shooter,Great Soundtrack,Detective,Cinematic,Linear,Crime,Violent,Adventure,Horror,Psychological Horror","Jan 6, 2011"
301700,Numba Deluxe,Casual,"An exciting, all-new gaming experience which is fun, challenging and will help you increase your overall mental fitness! Create Numba chains in various sequences. Sound easy? Get ready for some great fun and absorbing gameplay through 3 testing game modes as you strive to become the ultimate Numba Champion in this all-new puzzler. Features: Stunning Graphics and Effects Combos, Bonuses, Gems and more High Score Tables for all your scores",Single-player,"Casual,Puzzle,Singleplayer","May 23, 2014"
242530,The Chaos Engine,Action,"Prepare for the dark world of The Chaos Engine, a steampunk Victorian age in which one or two players must fight the hostile creations of the Chaos Engine across four dynamic landscapes and take part in the ultimate battle. Choose from six hard-nailed mercenaries each with their own unique weapons and skills. Those who have the strength and skill to overturn the Chaos Engine will be remembered. (The Chaos Engine was originally known as Soldiers of Fortune in North America) Game Features Battle through four unique worlds in single player or online and local co-op modes. Play in ‘Enhanced mode’ or ‘Classic mode’ with its original graphics and controls for the true Amiga experience. Gamepad support with optional 16-directional movement. Steam achievements to test the mettle of both new players and old fans. Relive the classic 90’s Richard Joseph soundtrack.","Single-player,Multi-player,Co-op,Shared/Split Screen,Steam Achievements,Steam Trading Cards,Captions available,Partial Controller Support,Steam Cloud,Steam Leaderboards,Remote Play Together","Action,Retro,Co-op,Steampunk,Top-Down,Classic,Shooter,Singleplayer,2D,Local Co-Op","Aug 29, 2013"
338190,Just Get Through,"Action,Adventure,Casual,Indie,Racing","The procedurally generated platformer Just Get Through, a game by the german, one-man game studio Retrific, features various gamemodes, daily runs, steam leaderboards and trading cards, a sandbox, user-generated levels, explosions, traps, precise walljumping and more. Together with roguelike elements like permadeath, procedural generation, an endless amount of challenging levels and more this underrated game forms your next platformer challenge. You play as a dude trapped somewhere in a jungle-like environment. You try to escape but there is no exit - only those portals. And everytime you jump through one of them, you just land in another dungeon with even more traps. Use your skill and your explosives to get through an infinite amount of levels and to reach the first place in the global online highscore. Or play user-made custom levels, that were created in the powerful sandbox mode. Features: A slower platformer with long runs Various game modes Daily Runs Destructible Environment Endless fun in different randomly generated levels Weekly Runs Steam Cloud for Custom Levels and Progress Upgrades Beautiful particles and effects Gamepad Support Dozens of unlockable color themes Sandbox Mode User-generated levels Consistent Style Start a run within seconds Steam Trading Cards Smooth 60fps Detailed stats Create, play and publish custom levels ingame No microtransactions Throwable TNT to destroy walls and traps Steam Leaderboards Steam Achievements Permadeath and much more Try the demo for a glimpse of the game! This game was made by Retrific's founder Jonathan Mannshoven.","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Captions available,Steam Cloud,Stats,Steam Leaderboards,Includes level editor","Action Roguelike,Indie,Casual,Action,Adventure,Platformer,Procedural Generation,Rogue-lite,Pixel Graphics,Level Editor,Rogue-like,Difficult,Sandbox,2D,Puzzle,Singleplayer,Destruction,Racing","Jan 30, 2015"
220900,Jack Lumber,"Action,Casual,Indie,Strategy","A tree killed his granny and now he is out for revenge. Meet Jack Lumber, the supernatural lumberjack who hates trees, loves animals, and hates trees. Did we say that twice? The guy really hates trees, and boy does he have an axe to grind. Use the supernatural powers of Jack Lumber to massacre the forest in this time-warping, line-drawing, log-slicing, pun-filled lumberjacking mashup! Bust out your flannel to muster the strength and burlyness to solve the skill and logic puzzles (flannel not actually required). Fight the forest and make Granny proud! Eff trees! Key Features Chug the blood of your foes; drink Granny's magical syrups to enhance your log-chopping powers. Stack beards like you'd stack a pile of flapjacks; more beards add more challenge! Poke at the adorable forest animals living in your cabin after you’ve destroyed their forest homes. Unlock Infinitree Mode; chop till you drop! Pining for puns? Yule love the quirky humor and piles of puns packed into Jack Lumber (alliteration is a bonus!) Unlockable missions, player driven challenges, and inventive syrup power-up combos make replaying this game a real tree-t.","Single-player,Steam Achievements,Steam Trading Cards,Steam Leaderboards","Casual,Indie,Action,Strategy,Touch-Friendly,Arcade,Puzzle","Apr 30, 2013"
108200,Ticket to Ride,"Casual,Indie,Strategy","Set off with your friends and family to re(discover) Ticket to Ride, the classic boardgame. In this railway adventure, you’ll need to be the quickest to link up your cities and reach your destinations. In this strategy game for all ages, try out different tactics, block your competitors’ lines and take over routes before the others do. With so many different strategies to try, each new game is a unique experience. Travel the world from Europe to India, passing through the legendary China, facing new challenges by purchasing additional maps with their own special rules (available in expansion packs). A tutorial teaches you the rules of the game so you can head off quickly on your adventure. Play in single-player mode, online multi-player against the whole world, or local multi-player with your friends.","Single-player,Multi-player,PvP,Online PvP,LAN PvP,Shared/Split Screen PvP,Shared/Split Screen,Cross-Platform Multiplayer,Steam Achievements,Steam Turn Notifications,Remote Play on Phone,Remote Play on Tablet,Remote Play Together","Board Game,Strategy,Tabletop,Casual,Multiplayer,Turn-Based,Indie,Trains,Family Friendly,Singleplayer,Touch-Friendly,Addictive,Local Multiplayer,Turn-Based Tactics,Turn-Based Strategy,2D,Competitive,Replay Value,Asynchronous Multiplayer,Hand-drawn","May 24, 2012"
302610,Boson X,"Action,Indie","Quantum jump your way to critical velocity in Boson X: the rotational runner set in a particle collider. Build up speed inside a massive particle accelerator and generate high-energy collisions to discover strange new particles. Use precise timing and fast reflexes to navigate a subatomic world where floors and ceilings don't exist. Be fast enough to find the elusive Boson X. Features: Fast-paced, unforgiving gameplay 18 challenging levels to master 3 highly qualified physicists to play as Steam leaderboards and achievements No superfluous powerups, coins or XP systems - just deadly serious scientific research WARNING: This game contains flashing lights.","Single-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Leaderboards","Difficult,Action,Arcade,Runner,Minimalist,Parkour,Science,Psychedelic,Fast-Paced,3D Platformer,Singleplayer,Female Protagonist,Platformer,Sci-fi,Third Person,Stylized,Indie,Precision Platformer,Colorful,Unforgiving","Sep 15, 2014"
