userId,profile
5250,"This person likes game genres such as Action,Adventure."
76767,"This person likes game genres such as Action,Adventure, Action, Indie,Simulation,Strategy."
86540,"This person likes game genres such as Action,Adventure, Action."
181212,This person likes game genres such as Action.
229911,This person likes game genres such as Action.
298950,"This person likes game genres such as Action,Adventure,Indie,RPG, Action, Action,Adventure, Adventure, Action,Free to Play, Simulation,Strategy, RPG, Action,Adventure,Indie,RPG,Simulation,Strategy,Early Access, Action,Adventure,Indie,Massively Multiplayer,RPG, Action,RPG, Adventure,Indie,RPG, Action,Adventure,Casual,Indie,RPG."
547685,This person likes game genres such as Action.
554278,"This person likes game genres such as Action,Free to Play,Massively Multiplayer,Simulation."
561758,"This person likes game genres such as Action,Adventure, Action, Casual,Indie."
622362,"This person likes game genres such as Action,Free to Play, Action."
748719,"This person likes game genres such as Action,Adventure,Massively Multiplayer."
861238,This person likes game genres such as Action.
975449,"This person likes game genres such as Action,Adventure,Indie,RPG, Indie,Strategy, Action, Action,Adventure, Action,RPG, Action,Free to Play, Action,Indie, Action,Free to Play,Strategy, Action,Indie,RPG."
994489,"This person likes game genres such as Action,Free to Play,Strategy, Action."
1072465,This person likes game genres such as Action.
1129452,This person likes game genres such as Action.
1364546,This person likes game genres such as Action.
1612666,"This person likes game genres such as Action,Adventure, Action,Free to Play,Strategy, Action, Adventure,Strategy."
1936551,"This person likes game genres such as Adventure,RPG,Strategy, Casual,Simulation,Strategy, Indie, Casual,Indie,Strategy, Simulation,Strategy, RPG, Indie,RPG, Casual, Adventure,Indie, Indie,Simulation, RPG,Strategy, Indie,Strategy, Action,Adventure, Action,Indie,Strategy, Action,RPG, Action,Adventure,Casual,Indie, Casual,Indie,Simulation,Strategy, Adventure,Casual,Indie, Simulation, Adventure,Indie,Simulation, Indie,Simulation,Strategy, Indie,RPG,Strategy, Adventure,Indie,RPG, Free to Play,Strategy."
1950243,"This person likes game genres such as Strategy, Action, Action,Free to Play, RPG, Action,Free to Play,Indie,RPG,Strategy, Action,RPG, Action,Indie,RPG,Strategy."
2039434,"This person likes game genres such as Action,Free to Play."
2083767,"This person likes game genres such as RPG, Action,Indie,Strategy, Adventure,Casual,Free to Play,Indie,RPG,Simulation,Strategy, Action,Casual,Free to Play,Indie,RPG, Action,Adventure,Indie,RPG,Strategy, Action,Adventure,Free to Play,Indie,Massively Multiplayer,RPG."
2110581,"This person likes game genres such as Action,Adventure, Action,Free to Play,Strategy, Action."
2184507,This person likes game genres such as Action.
2259650,"This person likes game genres such as Action, Action,Adventure, Action,Free to Play, RPG, Action,RPG."
2428602,"This person likes game genres such as Action,Free to Play,Strategy."
2643609,"This person likes game genres such as Action,Adventure, Action."
2753525,"This person likes game genres such as RPG,Strategy, Action,Adventure,Indie,RPG,Simulation, Action,Adventure,Indie,RPG, Action, Action,Adventure, Action,Free to Play, Action,Free to Play,Massively Multiplayer, Action,Free to Play,RPG, Action,Adventure,Indie,Massively Multiplayer,RPG, Action,Free to Play,Strategy, Indie,Simulation."
