sentence,label
[CLS] user_75 [SEP] movie_38 movie_4 movie_17 movie_60 [SEP] 4.0 4.5 5.0 [MASK],4.5
[CLS] user_21 [SEP] movie_110 movie_29 movie_51 movie_120 [SEP] 4.0 4.0 5.0 [MASK],4.0
[CLS] user_53 [SEP] movie_3 movie_90 movie_117 movie_3 [SEP] 5.0 3.0 4.0 [MASK],5.0
[CLS] user_44 [SEP] movie_1 movie_17 movie_101 movie_23 [SEP] 3.0 3.0 3.0 [MASK],4.0
[CLS] user_65 [SEP] movie_65 movie_123 movie_75 movie_9 [SEP] 3.0 3.0 5.0 [MASK],4.0
[CLS] user_66 [SEP] movie_29 movie_110 movie_11 movie_34 [SEP] 4.0 2.0 2.0 [MASK],2.0
[CLS] user_55 [SEP] movie_23 movie_106 movie_71 movie_34 [SEP] 4.5 3.0 3.0 [MASK],4.0
[CLS] user_64 [SEP] movie_13 movie_33 movie_48 movie_23 [SEP] 4.0 3.5 4.0 [MASK],4.5
[CLS] user_13 [SEP] movie_4 movie_34 movie_30 movie_23 [SEP] 4.0 3.0 5.0 [MASK],5.0
[CLS] user_23 [SEP] movie_33 movie_65 movie_29 movie_65 [SEP] 4.0 5.0 5.0 [MASK],5.0
[CLS] user_53 [SEP] movie_90 movie_114 movie_3 movie_85 [SEP] 3.0 4.0 5.0 [MASK],4.0
[CLS] user_13 [SEP] movie_23 movie_32 movie_17 movie_17 [SEP] 5.0 4.0 3.0 [MASK],3.0
[CLS] user_30 [SEP] movie_133 movie_29 movie_125 movie_34 [SEP] 1.5 5.0 4.0 [MASK],3.0
[CLS] user_29 [SEP] movie_59 movie_14 movie_105 movie_2 [SEP] 2.0 3.0 4.0 [MASK],3.0
[CLS] user_56 [SEP] movie_14 movie_27 movie_87 movie_9 [SEP] 5.0 4.0 3.0 [MASK],5.0
[CLS] user_14 [SEP] movie_32 movie_37 movie_59 movie_13 [SEP] 5.0 4.0 4.0 [MASK],0.5
[CLS] user_50 [SEP] movie_8 movie_141 movie_19 movie_55 [SEP] 2.0 2.5 2.5 [MASK],4.0
[CLS] user_7 [SEP] movie_72 movie_19 movie_6 movie_19 [SEP] 4.0 4.0 4.0 [MASK],4.0
[CLS] user_5 [SEP] movie_17 movie_83 movie_88 movie_69 [SEP] 5.0 3.0 3.0 [MASK],4.0
[CLS] user_74 [SEP] movie_44 movie_101 movie_3 movie_128 [SEP] 4.0 4.0 4.0 [MASK],4.0
[CLS] user_30 [SEP] movie_129 movie_44 movie_90 movie_39 [SEP] 4.5 3.0 2.0 [MASK],5.0
[CLS] user_76 [SEP] movie_13 movie_23 movie_51 movie_13 [SEP] 5.0 5.0 4.0 [MASK],5.0
[CLS] user_48 [SEP] movie_117 movie_1 movie_4 movie_15 [SEP] 2.5 1.5 2.5 [MASK],4.5
[CLS] user_10 [SEP] movie_27 movie_87 movie_108 movie_109 [SEP] 4.0 4.0 5.0 [MASK],4.0
[CLS] user_42 [SEP] movie_4 movie_118 movie_12 movie_22 [SEP] 5.0 1.0 3.0 [MASK],4.0
[CLS] user_43 [SEP] movie_6 movie_63 movie_50 movie_63 [SEP] 3.0 4.0 4.0 [MASK],4.0
[CLS] user_33 [SEP] movie_31 movie_18 movie_17 movie_1 [SEP] 5.0 1.0 4.0 [MASK],3.0
[CLS] user_10 [SEP] movie_105 movie_32 movie_109 movie_30 [SEP] 4.0 5.0 4.0 [MASK],5.0
[CLS] user_28 [SEP] movie_98 movie_64 movie_8 movie_87 [SEP] 4.0 4.0 3.0 [MASK],4.0
[CLS] user_13 [SEP] movie_19 movie_33 movie_59 movie_35 [SEP] 2.0 2.0 4.0 [MASK],3.0
[CLS] user_65 [SEP] movie_122 movie_47 movie_8 movie_6 [SEP] 1.0 4.0 4.0 [MASK],3.0
[CLS] user_55 [SEP] movie_25 movie_15 movie_2 movie_9 [SEP] 2.0 5.0 3.0 [MASK],3.0
[CLS] user_62 [SEP] movie_2 movie_23 movie_15 movie_54 [SEP] 3.5 5.0 5.0 [MASK],4.5
